account_id,ml_indicator,checking_only_indicator,prior_ctr_indicator,address_change_2x_indicator,cross_border_trx_indicator,in_person_contact_indicator,linkedin_indicator,atm_deposit_indicator,trx_10ksum_indicator,common_merchant_indicator,direct_deposit_indicator,marital_status,primary_transfer_cat,citizenship_country_risk,occupation_risk,num_transactions,num_acctbal_chgs_gt2000,distance_to_employer,distance_to_bank,income,credit_score,ml_indicator_type,marital_status_type,primary_transfer_cat_type,id_suspicious_activity_reported,id_identified_by_employee,id_account_activity_1w
28,0,0,0,0,1,1,0,1,0,0,1,1,1,2,7,22,98,2,3,125690,671,no_money_launder,married,check,false,false,false
29,0,0,0,1,1,1,0,0,0,0,1,1,1,7,0,54,14,3,3,57282,724,no_money_launder,married,check,false,false,false
30,0,0,0,0,1,1,0,0,0,0,1,2,2,0,0,95,8,5,2,90937,702,no_money_launder,divorced,wire,false,false,true
31,0,0,1,1,0,0,0,1,0,0,1,2,1,3,1,15,202,1,1,74594,672,no_money_launder,divorced,check,false,false,true
32,0,1,0,0,1,1,0,1,0,0,1,2,1,6,2,370,12,1,1,63410,626,no_money_launder,divorced,check,false,false,false
33,0,0,0,0,0,1,0,1,0,0,0,1,1,0,6,400,139,4,20,70795,672,no_money_launder,married,check,false,false,false
34,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,48,103,4,2,53526,720,no_money_launder,married,check,false,false,true
35,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,299,215,1,4,9339,722,no_money_launder,single,check,false,false,true
36,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,89,243,5,11,65257,726,no_money_launder,married,check,true,false,true
37,0,0,0,1,0,1,0,1,0,1,0,1,1,3,2,57,37,3,4,62481,542,no_money_launder,married,check,true,false,false
38,0,0,0,1,1,1,0,0,0,0,1,2,1,4,2,72,65,3,16,68656,720,no_money_launder,divorced,check,true,true,false
39,0,0,0,0,1,1,0,1,0,0,0,1,1,1,5,254,105,1,4,8331,646,no_money_launder,married,check,false,false,true
40,0,0,0,0,0,1,0,1,0,1,1,1,1,0,2,149,53,5,1,242286,688,no_money_launder,married,check,false,false,false
41,0,0,1,0,0,1,1,0,0,1,1,1,1,3,0,135,23,2,12,49145,684,no_money_launder,married,check,false,false,false
42,0,0,0,0,0,0,0,1,0,0,1,2,1,2,1,27,19,1,14,37532,663,no_money_launder,divorced,check,false,false,true
43,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,101,16,1,3,18493,783,no_money_launder,single,check,false,false,false
44,0,0,1,0,1,1,1,0,0,0,1,0,1,2,0,78,20,4,1,17996,736,no_money_launder,single,check,false,false,false
45,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,277,202,1,1,62870,752,no_money_launder,married,check,false,false,false
46,0,0,0,1,1,1,0,1,0,0,1,1,2,0,0,79,22,5,11,69875,713,no_money_launder,married,wire,false,false,false
47,0,1,0,0,0,1,1,1,0,1,1,1,2,6,0,5,204,2,13,64133,659,no_money_launder,married,wire,false,false,true
48,0,0,0,0,0,1,0,1,0,0,1,0,2,6,2,99,121,11,16,70304,665,no_money_launder,single,wire,false,false,false
49,0,0,0,0,1,1,0,0,0,0,0,2,1,3,0,51,48,1,3,67658,603,no_money_launder,divorced,check,false,false,false
50,0,0,0,0,1,1,1,0,0,0,1,2,2,0,0,53,6,3,5,120823,728,no_money_launder,divorced,wire,false,false,true
51,0,0,0,0,0,1,1,0,0,0,0,1,1,3,0,233,34,4,17,65826,716,no_money_launder,married,check,false,false,false
52,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,29,229,2,17,8979,707,no_money_launder,single,check,false,false,false
53,0,0,0,0,1,0,1,0,0,0,1,0,0,2,1,94,11,1,3,16929,738,no_money_launder,single,cash,false,false,true
54,0,0,1,0,1,0,0,1,0,0,1,1,2,2,0,171,15,4,5,57594,746,no_money_launder,married,wire,false,false,false
55,0,0,1,0,0,1,1,0,0,1,1,0,1,3,3,283,25,4,6,6589,798,no_money_launder,single,check,false,false,true
56,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,158,25,1,7,37579,660,no_money_launder,married,cash,false,true,false
57,0,1,1,1,1,1,1,0,0,0,1,2,1,0,1,27,43,9,17,74354,736,no_money_launder,divorced,check,false,false,true
58,0,0,1,0,0,0,0,0,0,0,1,1,1,0,5,78,106,2,17,71677,513,no_money_launder,married,check,false,false,true
59,0,0,0,0,0,0,1,0,0,0,1,0,1,6,1,184,47,5,2,13808,748,no_money_launder,single,check,false,false,false
60,0,0,1,0,0,0,1,1,0,1,1,1,2,2,2,78,169,1,1,29497,652,no_money_launder,married,wire,false,false,false
61,0,0,0,0,1,1,1,0,0,1,1,0,2,0,4,235,30,3,5,71454,690,no_money_launder,single,wire,false,false,false
62,0,0,1,0,1,1,1,1,0,0,1,1,1,7,2,48,2,18,16,33563,820,no_money_launder,married,check,false,false,false
63,0,0,1,0,1,1,0,0,0,0,1,1,2,1,1,45,23,4,5,42491,792,no_money_launder,married,wire,false,false,false
64,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,126,15,5,12,89177,692,no_money_launder,married,check,false,false,true
65,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,26,13,11,4,17379,695,no_money_launder,married,check,false,true,false
66,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,15,60,4,14,5383,633,no_money_launder,married,check,false,true,true
67,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,281,9,5,13,41860,681,no_money_launder,married,check,false,false,true
68,0,0,0,0,1,1,0,0,0,0,1,1,2,1,3,233,238,4,43,70662,692,no_money_launder,married,wire,true,false,true
69,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,345,31,8,12,58899,614,no_money_launder,married,check,true,false,true
70,0,1,0,0,1,1,0,1,0,0,1,1,1,5,5,103,139,5,1,19312,702,no_money_launder,married,check,false,false,true
71,0,0,0,1,1,1,0,1,0,0,0,1,1,0,2,349,94,7,14,5241,703,no_money_launder,married,check,false,false,true
72,0,1,1,0,0,0,0,0,0,0,1,1,1,1,2,201,128,1,23,67076,690,no_money_launder,married,check,false,false,false
73,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,137,1,2,2,40367,692,no_money_launder,single,check,false,false,false
74,0,1,1,0,1,0,1,0,0,0,1,1,1,4,0,19,10,1,2,62578,632,no_money_launder,married,check,false,false,false
75,0,0,1,1,0,0,0,0,0,0,1,2,2,0,3,84,15,13,5,26378,538,no_money_launder,divorced,wire,false,false,false
76,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,174,6,5,3,49371,706,no_money_launder,married,check,false,false,false
77,0,0,0,0,1,0,1,1,0,0,1,1,1,7,3,162,30,1,3,7356,669,no_money_launder,married,check,false,false,true
78,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,85,11,1,2,92296,762,no_money_launder,married,check,false,false,true
79,0,0,0,1,1,1,1,0,0,0,0,0,1,3,0,288,3,12,2,20126,653,no_money_launder,single,check,false,false,true
80,0,0,0,0,0,1,0,1,0,0,1,1,2,0,3,26,146,24,1,71376,697,no_money_launder,married,wire,false,false,false
81,0,0,0,0,0,1,1,0,0,0,1,2,1,1,0,24,44,1,5,71334,686,no_money_launder,divorced,check,false,false,false
82,0,0,1,0,1,0,1,1,0,1,0,2,1,1,0,38,24,21,28,57084,551,no_money_launder,divorced,check,false,false,true
83,0,0,0,0,0,0,0,1,0,0,1,0,1,7,1,31,20,1,2,8059,711,no_money_launder,single,check,false,false,false
84,0,0,1,0,0,1,1,0,0,0,1,2,1,0,2,119,45,4,11,17989,662,no_money_launder,divorced,check,false,false,true
85,0,1,0,0,1,0,1,0,0,0,1,0,0,2,6,28,11,4,1,96263,703,no_money_launder,single,cash,false,false,false
86,0,0,1,1,0,0,0,1,0,0,1,1,1,3,2,314,17,2,11,115511,784,no_money_launder,married,check,true,false,true
87,0,1,0,0,1,1,0,1,0,0,1,0,1,0,3,135,36,5,36,31164,791,no_money_launder,single,check,false,false,true
88,0,0,1,0,1,1,1,1,0,1,1,2,0,2,1,62,37,1,4,100221,694,no_money_launder,divorced,cash,false,false,false
89,0,1,0,0,1,1,1,0,0,0,1,2,1,3,0,171,9,4,7,58970,737,no_money_launder,divorced,check,false,false,false
90,0,0,0,0,1,0,1,0,0,0,1,2,1,1,0,22,108,2,20,67417,698,no_money_launder,divorced,check,false,false,true
91,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,35,41,2,3,24037,710,no_money_launder,married,check,false,false,false
92,0,0,0,0,1,1,1,0,1,0,0,1,2,0,0,50,12,2,1,95283,676,no_money_launder,married,wire,false,false,false
93,0,0,1,0,1,0,1,0,0,0,0,2,1,6,1,55,60,2,2,68776,671,no_money_launder,divorced,check,false,false,false
94,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,100,21,4,3,99507,607,no_money_launder,single,cash,false,false,false
95,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,93,2,2,4,64911,773,no_money_launder,divorced,check,false,false,true
96,0,0,0,1,1,1,0,1,0,0,1,1,1,0,7,34,146,15,4,75791,728,no_money_launder,married,check,true,false,false
97,0,0,1,0,1,1,1,1,0,0,1,1,1,0,3,15,35,2,5,34111,743,no_money_launder,married,check,false,false,false
98,0,0,0,1,1,0,1,0,0,0,1,0,1,3,0,174,250,9,11,13841,634,no_money_launder,single,check,false,false,true
99,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,203,2,3,47,82812,738,no_money_launder,single,check,false,false,false
100,0,0,0,0,1,0,1,0,0,0,1,2,1,1,0,241,208,5,2,44140,755,no_money_launder,divorced,check,false,false,true
101,0,0,1,0,0,0,1,1,0,0,1,1,1,1,7,54,67,4,4,60286,744,no_money_launder,married,check,false,false,false
102,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,39,29,1,5,27223,795,no_money_launder,divorced,check,false,false,true
103,0,0,1,1,0,1,1,0,0,0,1,1,2,1,0,334,1,5,4,60227,642,no_money_launder,married,wire,false,false,false
104,0,0,0,0,1,0,1,1,0,0,0,2,1,0,1,46,34,5,4,6715,563,no_money_launder,divorced,check,false,false,true
105,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,176,9,5,4,64843,677,no_money_launder,married,cash,false,false,true
106,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,75,231,1,1,60199,662,no_money_launder,married,check,false,false,false
107,0,1,0,0,0,1,1,0,0,0,0,1,2,0,2,312,15,41,12,14247,677,no_money_launder,married,wire,false,false,false
108,0,0,1,0,1,0,1,0,0,0,1,1,1,3,3,2,4,27,1,46996,729,no_money_launder,married,check,false,false,false
109,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,95,133,3,1,148700,694,no_money_launder,married,check,false,false,true
110,0,1,1,0,1,1,1,0,1,0,1,2,2,0,0,131,13,1,5,42859,714,no_money_launder,divorced,wire,false,false,true
111,0,0,1,0,1,1,1,0,0,1,1,0,1,2,0,105,9,8,12,5444,735,no_money_launder,single,check,false,false,false
112,0,0,0,0,1,0,1,0,0,0,1,2,1,3,1,156,38,2,13,61345,743,no_money_launder,divorced,check,false,false,false
113,0,1,0,0,1,1,1,0,0,0,1,2,2,0,2,25,101,3,26,69958,711,no_money_launder,divorced,wire,false,false,false
114,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,77,38,5,4,43249,586,no_money_launder,married,check,false,false,false
115,0,1,0,0,0,1,0,0,0,0,0,2,1,6,4,94,217,8,27,61754,719,no_money_launder,divorced,check,false,false,false
116,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,29,236,4,5,264247,664,no_money_launder,married,check,false,false,true
117,0,0,0,1,0,0,1,0,0,0,1,0,1,2,0,24,15,2,5,70755,698,no_money_launder,single,check,false,false,false
118,0,1,1,1,1,1,1,0,1,0,1,2,1,0,0,66,78,11,8,74860,692,no_money_launder,divorced,check,false,false,true
119,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,15,139,1,15,52238,732,no_money_launder,single,check,false,false,false
120,0,0,1,0,0,0,1,1,0,0,1,0,0,2,0,66,87,4,5,57545,662,no_money_launder,single,cash,false,false,true
121,0,0,0,0,1,1,1,1,0,0,1,2,1,0,0,226,42,1,2,101319,658,no_money_launder,divorced,check,false,false,false
122,0,0,0,0,1,1,0,0,0,0,1,1,1,0,3,37,3,3,3,59455,743,no_money_launder,married,check,false,false,false
123,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,154,24,5,1,81630,674,no_money_launder,single,check,false,false,false
124,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,89,34,4,12,35782,680,no_money_launder,married,check,false,false,false
125,0,0,0,0,1,1,1,0,0,0,0,1,1,1,4,204,19,2,5,44401,799,no_money_launder,married,check,false,false,false
126,0,1,0,0,0,1,1,1,0,0,1,1,1,2,2,21,13,5,35,9694,797,no_money_launder,married,check,false,false,false
127,0,0,1,1,1,1,1,0,0,0,0,2,1,0,1,90,10,7,14,53382,701,no_money_launder,divorced,check,true,false,false
128,0,0,0,0,1,1,0,0,0,1,1,2,1,0,0,201,14,2,23,54501,719,no_money_launder,divorced,check,false,false,false
129,0,0,0,0,1,0,1,1,0,0,0,2,2,0,0,167,127,4,12,61624,772,no_money_launder,divorced,wire,false,true,true
130,0,0,1,1,1,0,0,0,0,1,0,1,1,2,0,94,154,1,10,33366,726,no_money_launder,married,check,false,false,false
131,0,0,0,0,1,1,0,0,0,1,1,2,1,1,3,62,15,1,12,74752,751,no_money_launder,divorced,check,false,false,false
132,0,1,1,0,1,1,0,0,0,0,1,1,1,6,0,11,15,17,15,59972,726,no_money_launder,married,check,false,false,false
133,0,0,1,1,1,0,0,1,0,1,1,2,2,2,0,130,210,2,7,19184,737,no_money_launder,divorced,wire,false,false,false
134,0,0,0,0,0,1,1,1,0,0,0,1,2,3,6,56,17,18,17,60288,695,no_money_launder,married,wire,false,false,false
135,0,0,1,1,1,1,0,1,0,0,1,2,1,6,1,26,2,3,20,14271,663,no_money_launder,divorced,check,false,false,true
136,0,0,0,0,1,1,1,1,1,0,1,1,0,2,1,98,13,2,5,105549,714,no_money_launder,married,cash,false,false,true
137,0,0,0,0,1,0,1,0,0,0,1,1,1,4,4,178,75,2,8,56784,665,no_money_launder,married,check,false,false,true
138,0,1,0,1,1,1,0,1,1,0,1,2,0,0,0,166,3,5,4,22429,610,no_money_launder,divorced,cash,false,false,true
139,0,0,1,0,1,0,0,1,0,0,1,2,1,2,0,302,17,4,5,30308,662,no_money_launder,divorced,check,false,false,true
140,0,0,1,1,1,1,0,1,0,0,0,0,1,4,0,222,146,2,30,53652,736,no_money_launder,single,check,false,false,true
141,0,0,0,0,0,1,0,1,0,0,1,0,1,4,0,357,107,1,7,28405,583,no_money_launder,single,check,false,false,false
142,0,0,1,0,0,1,1,1,0,0,1,1,1,5,1,83,81,2,4,84224,717,no_money_launder,married,check,false,false,true
143,0,0,1,0,1,1,0,1,0,0,1,1,1,0,6,70,104,1,8,31447,737,no_money_launder,married,check,false,false,false
144,0,1,1,1,0,1,0,0,0,0,1,2,1,2,0,30,241,2,16,171999,763,no_money_launder,divorced,check,false,false,true
145,0,1,1,1,1,0,0,0,0,0,1,1,1,0,5,232,10,2,12,47574,655,no_money_launder,married,check,false,false,false
146,0,0,1,1,1,0,0,1,0,0,1,1,1,6,1,17,1,2,5,49981,626,no_money_launder,married,check,false,false,false
147,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,19,18,19,5,71278,660,no_money_launder,married,check,false,false,false
148,0,0,1,0,0,0,0,0,0,0,1,2,1,2,1,11,7,2,7,73855,552,no_money_launder,divorced,check,false,false,false
149,0,1,1,0,1,0,0,1,0,0,0,1,2,1,3,135,2,4,15,87983,707,no_money_launder,married,wire,false,false,false
150,0,0,0,0,0,1,1,0,0,0,1,1,1,2,0,80,25,4,4,50020,793,no_money_launder,married,check,false,false,false
151,0,1,0,0,1,1,0,1,0,0,1,1,1,2,1,31,153,5,8,57185,797,no_money_launder,married,check,false,false,true
152,0,1,0,0,1,0,1,1,0,0,1,2,1,3,1,324,152,3,1,79607,745,no_money_launder,divorced,check,false,false,false
153,0,1,1,0,0,0,1,1,0,0,1,1,0,4,1,18,90,1,1,24160,761,no_money_launder,married,cash,false,false,false
154,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,344,174,7,20,65834,692,no_money_launder,married,check,true,false,true
155,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,496,133,3,4,59904,776,no_money_launder,single,check,false,false,true
156,0,0,1,0,1,1,0,0,0,0,1,1,1,2,0,87,132,15,30,75761,670,no_money_launder,married,check,true,false,false
157,0,0,0,1,1,0,1,1,0,1,0,0,1,0,4,14,7,2,17,73781,673,no_money_launder,single,check,false,false,true
158,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,142,106,9,4,56525,597,no_money_launder,married,cash,false,true,false
159,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,188,15,4,5,47490,611,no_money_launder,married,check,true,false,false
160,0,0,1,0,0,1,0,0,0,0,1,2,1,2,0,142,3,2,25,53884,644,no_money_launder,divorced,check,false,false,true
161,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,309,79,5,11,68140,657,no_money_launder,married,check,false,false,true
162,0,0,1,1,1,1,1,0,0,1,1,0,1,2,0,63,49,29,1,41770,748,no_money_launder,single,check,false,false,false
163,0,0,1,0,0,0,1,1,0,0,1,2,1,0,0,44,7,4,3,74486,798,no_money_launder,divorced,check,false,false,true
164,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,79,7,1,2,46406,706,no_money_launder,married,check,false,false,false
165,0,0,0,0,0,1,0,0,0,0,1,1,0,2,4,66,26,2,1,40661,657,no_money_launder,married,cash,false,false,true
166,0,1,1,1,0,0,1,1,0,0,1,2,2,0,0,65,91,3,5,47567,750,no_money_launder,divorced,wire,false,false,false
167,0,0,1,1,0,1,1,0,0,0,1,1,2,4,1,41,193,8,7,82569,728,no_money_launder,married,wire,false,false,false
168,0,1,1,0,1,0,1,0,0,1,1,0,1,2,1,31,1,1,3,68758,739,no_money_launder,single,check,false,false,false
169,0,0,1,1,0,1,1,1,0,0,1,2,1,3,3,240,12,5,4,67010,745,no_money_launder,divorced,check,false,false,true
170,0,1,0,1,1,1,0,0,0,0,1,0,1,2,0,46,148,5,48,59273,676,no_money_launder,single,check,false,false,false
171,0,0,0,0,1,1,1,1,0,0,1,2,1,1,1,354,28,5,13,79070,529,no_money_launder,divorced,check,false,false,true
172,0,0,0,1,1,0,1,0,0,0,1,0,0,2,0,73,6,1,13,93339,737,no_money_launder,single,cash,false,false,true
173,0,0,0,0,0,1,0,1,0,1,0,2,2,1,0,2,3,1,5,5924,811,no_money_launder,divorced,wire,false,false,false
174,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,25,45,4,11,63124,750,no_money_launder,married,check,false,false,true
175,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,40,213,18,11,26196,758,no_money_launder,single,check,false,false,false
176,0,0,1,1,0,0,1,0,0,0,1,2,1,3,0,82,45,5,11,53159,763,no_money_launder,divorced,check,false,false,false
177,0,0,0,0,1,0,0,0,0,0,1,2,2,1,4,170,49,5,18,65256,689,no_money_launder,divorced,wire,false,false,true
178,0,0,0,0,0,0,1,1,0,0,1,2,1,1,2,58,32,1,3,10049,806,no_money_launder,divorced,check,false,false,true
179,0,0,0,0,1,1,1,0,1,0,1,2,2,0,0,129,47,12,4,54406,676,no_money_launder,divorced,wire,false,false,true
180,0,0,1,0,0,1,0,0,0,1,1,1,1,2,2,270,30,1,18,55218,724,no_money_launder,married,check,false,false,false
181,0,1,0,1,1,1,1,1,0,0,1,1,1,2,0,157,17,2,1,16787,735,no_money_launder,married,check,false,true,true
182,0,0,1,0,0,1,0,1,0,0,0,1,1,2,0,168,15,4,2,59826,747,no_money_launder,married,check,false,false,false
183,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,87,143,5,8,46192,749,no_money_launder,single,check,false,false,false
184,0,0,0,0,0,1,0,0,0,0,1,1,0,2,1,58,206,5,1,39973,679,no_money_launder,married,cash,false,false,false
185,0,0,0,0,1,0,0,0,0,0,1,2,1,1,1,21,9,2,14,41733,767,no_money_launder,divorced,check,false,false,true
186,0,0,0,0,1,1,1,1,0,0,0,1,1,1,5,320,9,2,5,58499,756,no_money_launder,married,check,false,false,false
187,0,1,0,0,1,1,1,0,0,1,0,2,1,3,2,88,170,3,2,71783,663,no_money_launder,divorced,check,false,true,false
188,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,30,2,13,6,57760,778,no_money_launder,single,check,false,false,false
189,0,0,1,0,0,0,1,0,1,0,1,2,1,4,3,157,9,4,11,7155,674,no_money_launder,divorced,check,false,false,true
190,0,0,1,0,0,0,0,1,0,0,0,1,0,4,3,36,85,4,11,68525,720,no_money_launder,married,cash,false,false,false
191,0,1,0,1,0,0,1,1,0,0,1,2,1,2,6,49,30,4,4,90294,749,no_money_launder,divorced,check,false,false,false
192,0,0,1,0,1,1,1,0,0,0,1,1,1,2,2,26,18,10,2,94468,631,no_money_launder,married,check,false,false,false
193,0,1,0,1,0,0,0,0,0,1,0,2,1,2,1,63,8,5,15,71400,645,no_money_launder,divorced,check,false,false,true
194,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,63,50,5,4,15400,660,no_money_launder,single,check,false,false,false
195,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,158,21,6,13,194622,720,no_money_launder,married,cash,false,true,true
196,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,41,176,5,11,112330,634,no_money_launder,married,check,false,false,false
197,0,1,1,0,1,1,1,0,0,0,0,2,1,1,3,49,33,45,2,95043,699,no_money_launder,divorced,check,false,false,false
198,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,353,10,9,9,6963,760,no_money_launder,married,check,false,true,true
199,0,0,0,0,1,1,1,0,0,0,1,1,2,2,1,76,6,1,13,27210,670,no_money_launder,married,wire,false,false,false
200,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,46,41,3,13,37010,711,no_money_launder,single,check,false,false,false
201,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,290,47,18,12,21084,673,no_money_launder,married,check,false,false,true
202,0,0,1,0,1,0,1,1,0,0,1,2,1,0,1,22,14,3,1,63192,701,no_money_launder,divorced,check,false,false,false
203,0,0,0,0,1,0,1,1,0,0,1,2,1,1,3,142,77,3,2,75530,727,no_money_launder,divorced,check,false,false,false
204,0,0,1,0,1,1,0,1,0,0,1,1,1,0,3,319,237,32,4,58729,569,no_money_launder,married,check,false,false,false
205,0,0,1,0,1,0,1,0,0,0,1,2,1,3,0,37,47,6,12,45533,712,no_money_launder,divorced,check,false,false,false
206,0,0,0,0,0,1,0,0,1,0,0,2,1,0,2,196,7,5,1,24375,753,no_money_launder,divorced,check,false,false,true
207,0,0,0,0,0,1,1,1,0,0,1,1,1,2,0,141,115,13,1,52182,789,no_money_launder,married,check,false,false,false
208,0,0,0,0,1,1,1,1,0,0,0,1,1,2,1,43,3,15,15,51429,714,no_money_launder,married,check,false,false,false
209,0,1,1,0,1,0,1,1,0,0,0,2,1,0,0,89,118,20,4,80422,606,no_money_launder,divorced,check,true,false,false
210,0,0,1,1,1,0,1,0,0,0,0,2,1,0,1,21,41,3,8,27906,671,no_money_launder,divorced,check,false,false,true
211,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,52,38,5,6,55822,670,no_money_launder,married,check,false,false,true
212,0,1,1,0,0,1,1,0,0,0,1,0,1,5,7,76,18,9,23,50781,774,no_money_launder,single,check,true,false,true
213,0,0,0,1,1,1,0,0,0,0,0,1,1,2,0,23,134,2,7,57204,687,no_money_launder,married,check,false,false,false
214,0,0,1,0,0,0,1,0,0,0,1,2,1,0,0,78,37,4,4,48372,821,no_money_launder,divorced,check,false,false,false
