advisor,advisor_event_indicator,sf_face_2_face,sf_call_outbound,sf_call_inbound,sf_email_inbound,channel_bank,channel_wirehouse,channel_ria,primary_prod_sold_fixed,primary_prod_sold_va,sf_email_campaigns,advisor_hh_children,annuity_mkt_opp,advisor_advising_years,advisor_aum,advisor_annuity_selling_years,advisor_age,advisor_net_worth,advisor_credit_hist_mos,advisor_firm_changes,advisor_credit_score,wholesaler,region_ca,region_ny,region_fl,region_tx,region_ne,region_so,region_mw,region_we,sf_email_responses,analytic_partition
71,0,1,0,0,0,1,0,0,0,1,2,4,3.5924002656,0.0416823622,0.146252355,0.0141910621,0.4371422307,-0.19026814,0.1229821457,5,0.9128804365,19,0,0,0,0,0,0,1,0,2,1
72,0,0,0,1,1,0,0,1,0,1,1,4,-0.083791694,-0.710216512,-0.300324338,-0.437773655,0.7001986942,0.9032926544,-0.317384075,4,0.5885799202,14,0,0,0,0,0,0,1,0,2,1
73,0,0,1,0,1,1,0,0,1,0,3,0,-0.678080362,-0.522241794,-0.321634916,-0.437773655,-0.549319507,-0.771794201,0.6612075268,2,0.7507301784,4,1,0,0,0,0,0,0,0,0,2
74,0,0,1,0,1,1,0,0,0,1,2,4,-0.642866725,-0.99217859,0.7720049952,-0.437773655,-1.14119655,-0.298470326,1.1505033277,4,0.6001620815,3,0,0,1,0,0,0,0,0,4,0
75,0,1,0,0,1,1,0,0,0,1,6,7,-0.294165609,-0.428254434,-0.030557394,-0.437773655,1.8839527799,-0.865376414,-0.268454495,4,-0.002110306,25,0,0,0,0,0,1,0,0,0,2
76,0,1,1,1,0,1,0,0,0,1,1,0,0.0625218488,-0.804203872,1.4560914959,-0.437773655,-0.615083623,-0.88695571,-0.219524915,5,-2.191138791,25,0,0,0,0,1,0,0,0,1,2
77,0,0,0,0,0,0,1,0,0,1,2,2,-0.192778372,-0.428254434,-0.485189702,1.068775403,-0.943904203,-0.523512412,1.0037145874,5,0.9823734043,22,0,0,0,0,1,0,0,0,5,1
78,0,0,0,1,0,1,0,0,0,1,3,3,-0.652478531,-0.428254434,3.6161327618,-0.437773655,0.1083216513,-0.687179383,1.1994329078,6,0.8318053074,14,0,1,0,0,0,0,0,0,5,2
79,0,0,0,1,0,1,0,0,0,1,6,7,-0.473865646,0.5116191587,-0.638688376,0.0141910621,-1.206960666,-0.338398018,0.7590666869,4,0.658072888,15,0,0,0,0,0,0,1,0,0,0
80,0,1,0,0,0,0,1,0,1,0,5,6,-0.670124784,-0.616229153,-0.671247875,-0.437773655,-1.338488898,-0.225292536,0.5633483666,6,0.4843404686,19,0,0,0,0,0,1,0,0,4,2
81,0,1,1,0,0,1,0,0,0,1,3,2,3.9970645303,-0.052304997,-0.4912009,-0.437773655,-0.220498928,-0.28714719,0.4654892064,2,-0.940265371,16,0,1,0,0,0,0,0,0,0,2
82,0,0,1,1,0,0,1,0,1,0,1,5,0.1644021877,-0.052304997,-0.666723064,-0.437773655,0.4371422307,0.4101158279,0.1229821457,0,0.7970588235,20,0,0,1,0,0,0,0,0,3,1
83,0,1,0,0,0,1,0,0,0,1,2,6,2.4696385772,0.7935812367,-0.518807471,-0.437773655,-0.286263044,0.8668356328,-1.932060218,6,-0.048438951,2,0,0,1,0,0,0,0,0,0,1
84,0,0,1,1,1,0,1,0,1,0,1,7,0.1942325048,-0.428254434,-0.668345837,-0.437773655,0.831726926,-0.815246511,1.1994329078,4,0.5885799202,14,0,0,0,1,0,0,0,0,0,2
85,0,1,1,0,0,0,1,0,0,1,4,6,3.2871155601,-0.522241794,0.7729911423,-0.28711875,0.1740857672,0.0788376694,0.9058554272,1,0.032636178,8,0,0,1,0,0,0,0,0,1,2
86,0,1,1,1,0,1,0,0,1,0,1,0,-0.413746499,6.0568733579,-0.686353078,-0.437773655,-1.535781245,1.3393682662,-0.415243235,5,0.9244625978,20,0,0,1,0,0,0,0,0,2,2
87,0,1,0,1,0,0,1,0,1,0,6,5,-0.721098226,-0.522241794,-0.147461828,1.8220499323,0.1083216513,-0.243670903,-2.225637699,2,1.364584727,17,0,0,0,0,0,1,0,0,1,2
88,0,1,0,1,0,0,0,1,1,0,3,3,-0.648734659,-0.804203872,-0.395969511,1.3700852147,1.8181886641,1.0751177986,0.9547850073,0,0.8897161139,12,0,1,0,0,0,0,0,0,0,2
89,0,0,0,1,1,0,1,0,1,0,2,1,0.092159862,0.0416823622,3.840450483,-0.437773655,-1.009668319,0.2065151705,0.807996267,5,-0.002110306,3,0,1,0,0,0,0,0,0,3,0
90,0,0,1,0,0,0,1,0,0,1,5,3,-0.105153426,0.0416823622,1.1234839118,-0.437773655,-1.535781245,-0.796994023,0.7590666869,1,-2.689171726,6,0,0,1,0,0,0,0,0,0,0
91,0,1,0,0,1,1,0,0,1,0,1,2,-0.65224689,0.5116191587,-0.229963921,-0.136463844,-0.220498928,1.1041659286,0.8569258471,6,0.1947864362,14,1,0,0,0,0,0,0,0,4,1
92,0,1,1,0,0,1,0,0,1,0,2,7,2.2326957226,-0.616229153,2.9325465007,-0.437773655,-0.35202716,2.5778759926,0.3676300462,5,0.6812372106,10,0,1,0,0,0,0,0,0,2,2
93,0,1,0,0,0,1,0,0,0,1,1,0,0.09807647,-0.146292356,0.2280794481,-0.437773655,-1.14119655,-0.229944073,-1.100257357,0,0.0094718554,20,0,1,0,0,0,0,0,0,2,2
94,0,1,0,0,0,1,0,0,1,0,1,2,0.1645503449,-0.616229153,-0.355111675,-0.437773655,0.2398498831,-0.759398094,0.8569258471,4,0.85496963,10,0,1,0,0,0,0,0,0,2,1
95,0,1,0,1,1,1,0,0,1,0,3,5,-0.658217545,-0.522241794,-0.676689483,-0.437773655,-1.075432434,3.0024606292,-1.149186937,4,1.1792701463,9,0,0,0,0,0,1,0,0,2,1
96,0,0,0,1,0,1,0,0,1,0,6,5,1.8602556467,-0.428254434,-0.165275815,-0.437773655,0.6344345783,1.2984874888,0.7101371068,6,0.9128804365,9,0,0,0,0,0,1,0,0,5,2
97,0,1,1,1,1,1,0,0,0,1,5,3,-0.693829756,-0.428254434,-0.520807967,-0.437773655,-0.088970696,-0.750214905,-1.883130638,4,0.4959226299,23,0,0,0,1,0,0,0,0,1,1
98,0,0,0,1,0,1,0,0,0,1,3,5,-0.6976286,-0.052304997,-0.324671491,3.1779440849,-1.47001713,0.2045130914,0.3187004661,4,0.6349085654,1,0,1,0,0,0,0,0,0,0,2
99,0,1,1,0,0,1,0,0,0,1,2,5,-0.670724152,-0.898191231,2.6335423531,-0.437773655,1.2920757371,0.5316312412,0.5144187865,4,0.8086409848,14,0,0,0,0,0,0,0,1,1,1
100,0,1,1,0,1,1,0,0,0,1,1,0,0.1902763028,-0.428254434,-0.266601158,-0.437773655,-0.417791276,0.281479247,0.3187004661,4,-0.106349758,22,0,0,0,0,1,0,0,0,2,2
101,0,0,0,1,0,0,1,0,1,0,3,1,0.0399383096,0.0416823622,-0.538971937,-0.437773655,2.1470092434,-0.282597555,-0.121665755,5,0.9244625978,14,0,1,0,0,0,0,0,0,1,1
102,0,0,1,0,1,0,1,0,0,1,4,2,0.0011937596,1.0755433146,-0.198907915,-0.437773655,-0.878140087,1.598325812,0.5633483666,5,-0.523307564,12,0,0,0,0,0,1,0,0,3,1
103,0,0,0,1,0,1,0,0,1,0,7,2,0.2359377014,-0.146292356,1.2267972687,-0.437773655,2.4100657069,-0.841896941,1.1015737476,6,0.2063685975,4,1,0,0,0,0,0,0,0,0,2
104,0,0,1,1,1,0,1,0,1,0,2,7,0.1444807381,0.887568596,-0.668927909,0.3155008738,-0.878140087,1.4307445961,0.8569258471,1,0.5306691137,25,0,0,1,0,0,0,0,0,3,2
105,0,0,1,1,1,0,1,0,0,1,4,1,-0.679785843,-0.710216512,0.831641698,-0.437773655,-0.878140087,-0.853106187,0.3187004661,4,1.2371809528,8,1,0,0,0,0,0,0,0,5,2
106,0,1,1,0,0,1,0,0,0,1,0,6,-0.120928372,0.0416823622,-0.576775167,-0.437773655,2.4100657069,-0.574223758,0.7101371068,6,0.8665517913,24,0,0,0,1,0,0,0,0,3,0
107,0,0,1,1,0,0,1,0,0,1,3,3,-0.664998981,0.4176317994,-0.556077174,-0.437773655,-0.220498928,-0.657879495,0.4165596263,6,-0.164260564,23,0,0,0,1,0,0,0,0,5,2
108,0,0,0,1,0,1,0,0,0,1,1,4,1.1639776266,-0.804203872,-0.024458354,-0.28711875,-1.009668319,3.7274890081,0.6612075268,4,1.0634485333,10,1,0,0,0,0,0,0,0,2,0
109,0,1,1,1,0,1,0,0,1,0,4,0,-0.424371281,0.1356697215,-0.545939692,-0.437773655,-0.35202716,-0.344038606,0.6122779467,1,0.5306691137,20,0,0,0,0,1,0,0,0,3,1
110,0,1,0,0,1,1,0,0,1,0,3,5,-0.218330169,-0.710216512,-0.657792723,-0.28711875,-0.154734812,-0.209012156,0.5144187865,4,-0.094767596,24,0,0,0,0,1,0,0,0,1,1
111,0,1,0,0,0,1,0,0,1,0,4,1,-0.715956092,-0.240279716,3.5840087772,3.4792538966,-0.154734812,2.3168684136,0.269770886,5,0.1368756297,6,0,0,0,0,0,0,0,1,3,2
112,0,1,1,1,0,1,0,0,1,0,3,0,0.1523506149,0.0416823622,-0.40943807,-0.437773655,-1.338488898,1.0214752653,0.4654892064,5,0.6001620815,17,0,0,0,0,0,1,0,0,6,2
113,0,1,1,1,0,0,0,1,1,0,5,1,-0.247405933,-0.710216512,-0.596547116,0.3155008738,-0.812375971,-0.345459243,1.1505033277,4,-1.3803875,10,0,0,0,0,0,0,1,0,0,1
114,0,1,1,1,1,1,0,0,1,0,2,5,0.03115837,-0.710216512,-0.648735703,5.2871127668,-0.220498928,0.3155026036,0.1719117258,4,0.4148475008,1,0,0,1,0,0,0,0,0,1,2
115,0,1,1,1,0,1,0,0,1,0,1,6,3.8928006728,1.2635180332,0.1267356115,-0.437773655,-0.615083623,-0.07510663,0.4654892064,6,0.8433874687,17,1,0,0,0,0,0,0,0,3,1
116,0,0,1,1,0,0,1,0,0,1,1,4,0.031035895,-0.616229153,-0.656623493,-0.437773655,0.0425575355,-0.937373337,0.7101371068,4,0.4959226299,17,0,0,0,0,0,0,1,0,2,2
117,0,0,1,1,0,1,0,0,0,1,2,1,-0.717509227,0.0416823622,-0.597213794,-0.437773655,-0.746611855,-0.085248899,0.3187004661,3,0.4495939847,4,1,0,0,0,0,0,0,0,0,1
118,0,0,1,1,1,1,0,0,0,1,2,5,0.0799123387,-0.240279716,-0.035931965,-0.437773655,-0.878140087,-0.813705989,1.1505033277,4,1.2140166302,11,0,0,1,0,0,0,0,0,3,2
119,0,0,0,1,1,1,0,0,0,1,6,1,2.8123154555,-0.146292356,-0.595593794,-0.136463844,1.7524245482,-0.656914421,-3.00851098,4,-0.083185435,17,0,0,0,0,0,1,0,0,5,2
120,0,0,0,1,1,1,0,0,0,1,5,5,3.2567862086,-0.052304997,0.205641712,-0.136463844,1.8181886641,-0.40054639,0.8569258471,2,0.1716221136,22,0,0,0,0,1,0,0,0,2,1
121,0,1,0,0,0,0,0,1,1,0,1,0,-0.664581464,-0.052304997,-0.407840725,-0.437773655,-0.220498928,-0.26392547,0.4165596263,0,-0.812861597,14,0,0,0,1,0,0,0,0,3,2
122,0,0,1,1,0,1,0,0,1,0,3,4,0.0680312896,-0.522241794,-0.677445853,-0.437773655,-1.009668319,1.3850144714,0.269770886,4,0.0558005006,14,0,0,0,1,0,0,0,0,5,1
123,0,1,1,0,0,0,1,0,1,0,2,6,0.0563975777,-0.522241794,3.1118320201,-0.437773655,-0.746611855,-0.852338923,0.9547850073,5,-0.03685679,6,0,0,0,0,1,0,0,0,2,2
124,0,0,1,1,1,1,0,0,0,1,2,3,-0.03301479,0.0416823622,2.9818987018,-0.437773655,-0.549319507,-0.460944442,-0.855609456,6,0.4264296621,25,0,0,0,0,1,0,0,0,4,1
125,0,0,1,0,1,1,0,0,1,0,4,0,-0.656505436,0.4176317994,-0.659796917,4.3831833317,-0.286263044,3.6516138058,0.4165596263,5,0.2295329201,3,0,0,0,0,1,0,0,0,1,0
126,0,0,1,1,0,0,0,1,0,1,5,2,-0.697281547,-0.804203872,-0.183511908,-0.437773655,-0.220498928,-0.236741551,1.0526441675,4,0.8202231461,25,0,0,1,0,0,0,0,0,2,2
127,0,0,1,0,0,1,0,0,0,1,6,3,2.9209673629,-0.146292356,1.9504882323,-0.437773655,0.1740857672,0.323918529,0.3187004661,4,-2.341706888,20,0,0,0,0,0,0,0,1,2,0
