advisor,performance_period,advisor_event_indicator,sf_face_2_face,sf_call_outbound,sf_call_inbound,sf_email_inbound,channel,primary_prod_sold,sf_email_campaigns,advisor_hh_children,annuity_mkt_opp,advisor_advising_years,advisor_aum,advisor_annuity_selling_years,advisor_age,advisor_net_worth,advisor_credit_hist_mos,advisor_firm_changes,advisor_credit_score,wholesaler,region,sf_email_responses,id_activity_last_6mos,id_top_producer,id_strategic_partner,region_char,wholesaler_char,channel_char,primary_prod_sold_char
47,0,0,0,0,1,0,0,0,5,2,4598518703,15,849513,1,23,161264,79,4,701,20,3,1,false,false,false,Texas,Tavares,bank,fixed
48,0,0,1,0,1,0,0,0,1,2,944391868,10,5815528,1,21,150478,67,5,691,20,0,1,false,false,false,California,Tavares,bank,fixed
49,0,0,0,1,1,0,0,1,3,1,938252549,12,47992,1,28,922828,86,1,703,24,5,1,false,false,false,South,Xavier,bank,va
50,0,0,0,0,0,0,0,0,6,0,14437705,9,3485488,1,29,217701,64,3,739,3,2,3,false,false,false,Florida,Chatterji,bank,fixed
51,0,0,0,1,1,1,0,0,6,2,3909894532,3,1475598,1,56,277608,82,6,766,17,7,3,true,false,true,West,Quigley,bank,fixed
52,0,0,1,1,1,0,0,1,4,4,409030431,5,3145711,1,69,416866,75,5,763,5,2,3,false,false,false,Florida,English,bank,va
53,0,0,1,0,1,1,0,0,1,4,14918777,3,971182,10,22,323475,62,2,790,1,2,0,false,false,true,Florida,Abbott,bank,fixed
54,0,0,0,0,0,0,0,1,2,0,650828199,3,1038576,1,41,134368,82,4,756,18,1,2,false,false,true,New York,Rodriguez,bank,va
55,0,0,1,0,0,0,0,1,4,5,668974744,17,6825509,1,35,660070,97,2,704,23,0,3,false,false,true,California,Werner,bank,va
56,0,0,0,1,1,1,1,1,1,5,317760662,10,532530,1,44,171177,89,5,733,9,2,0,true,false,true,Florida,Ingrid,wirehouse,va
57,0,0,0,1,0,0,0,1,7,2,227957304,4,3657804,1,22,130024,66,3,731,24,1,0,false,false,false,New York,Xavier,bank,va
58,0,0,0,0,0,0,0,1,4,2,141496393,3,468732,1,80,935733,86,3,743,22,2,2,false,false,false,Florida,Vasquez,bank,va
59,0,0,0,1,1,1,0,1,2,5,2896730279,3,1574081,1,39,161883,73,2,687,13,4,3,false,false,false,NE,Mambwe,bank,va
60,0,0,0,0,1,1,0,1,3,1,670749262,6,9590747,9,24,499442,89,5,794,17,7,0,false,false,true,West,Quigley,bank,va
61,0,0,1,1,1,1,0,0,4,1,380254759,22,1124097,2,38,327798,81,4,738,7,2,0,false,false,false,Florida,Griegio,bank,fixed
62,0,0,1,1,1,0,0,1,4,6,14108578,12,9469456,1,41,243133,71,5,704,16,1,2,false,false,true,New York,Patel,bank,va
63,0,0,0,1,0,0,0,1,3,4,2443518727,5,7245537,1,67,53683,82,4,793,25,5,0,true,false,true,South,Yang,bank,va
64,0,0,0,0,1,1,0,0,2,5,388007587,15,1052997,1,43,251578,81,1,728,18,5,2,false,false,false,South,Rodriguez,bank,fixed
65,0,0,1,0,1,0,0,0,1,2,922766263,9,874536,2,43,424191,84,6,752,14,2,1,false,false,false,Florida,Noth,bank,fixed
66,0,0,1,1,0,1,0,1,7,0,4315120817,3,904065,1,56,418989,87,4,608,25,3,2,false,false,false,Texas,Yang,bank,va
67,0,0,0,0,0,0,1,1,6,5,10807860,3,4987539,1,40,173101,84,6,764,16,1,0,false,false,false,New York,Patel,wirehouse,va
68,0,0,0,0,1,0,0,1,5,2,2707590251,8,1994554,1,42,384753,81,5,492,2,2,4,false,false,false,Florida,Bost,bank,va
69,0,0,0,1,1,0,0,1,2,1,539266868,2,45970,1,22,86947,88,5,757,18,3,3,false,false,true,Texas,Rodriguez,bank,va
70,0,0,0,1,0,1,0,1,4,1,75406665,15,338116,13,22,469821,91,4,686,10,2,1,false,false,true,Florida,Jasper,bank,va
71,0,0,1,0,0,0,0,1,2,4,4460149516,12,1810065,4,49,178682,78,5,794,19,6,2,false,false,false,MidWest,Szu,bank,va
72,0,0,0,0,1,1,2,1,1,4,671759487,4,844136,1,53,361117,69,4,766,14,6,2,false,false,true,MidWest,Noth,ria,va
73,0,0,0,1,0,1,0,0,3,0,59333018,6,798042,1,34,81668,89,2,780,4,0,0,true,true,false,California,Devon,bank,fixed
74,0,0,0,1,0,1,0,1,2,4,95621381,1,3163545,1,25,160631,99,4,767,3,2,4,false,false,false,Florida,Chatterji,bank,va
75,0,0,1,0,0,1,0,1,6,7,454964921,7,1427632,1,71,66056,70,4,715,25,5,0,false,true,false,South,Yang,bank,va
76,0,0,1,1,1,0,0,1,1,0,822538547,3,4643199,1,33,62456,71,5,526,25,4,1,false,false,true,NE,Yang,bank,va
77,0,0,0,0,0,0,1,1,2,2,559446516,7,444279,11,28,123088,96,5,800,22,4,5,false,false,false,NE,Vasquez,wirehouse,va
78,0,0,0,0,1,0,0,1,3,3,85716221,7,9315289,1,44,95784,100,6,787,14,1,5,false,false,true,New York,Noth,bank,va
79,0,0,0,0,1,0,0,1,6,7,269780405,17,112267,4,24,153970,91,4,772,15,6,0,false,false,true,MidWest,Ojj,bank,va
80,0,0,1,0,0,0,1,0,5,6,67531401,5,41842,1,22,172839,87,6,757,19,5,4,false,false,false,South,Szu,wirehouse,fixed
81,0,0,1,1,0,0,0,1,3,2,4877164210,11,431277,1,39,162520,85,2,634,16,1,0,false,false,false,New York,Patel,bank,va
82,0,0,0,1,1,0,1,0,1,5,927528293,11,51629,1,49,278842,78,0,784,20,2,3,false,false,false,Florida,Tavares,wirehouse,fixed
83,0,0,1,0,0,0,0,1,2,6,3303120930,20,371565,1,38,355035,36,6,711,2,2,0,false,false,false,Florida,Bost,bank,va
84,0,0,0,1,1,1,1,0,1,7,958269037,7,48119,1,55,74419,100,4,766,14,3,0,false,false,false,Texas,Noth,wirehouse,fixed
85,0,0,1,1,0,0,1,1,4,6,4145547464,6,3165678,2,45,223576,94,1,718,8,2,1,false,false,true,Florida,Hassan,wirehouse,va
86,0,0,1,1,1,0,0,0,1,0,331734400,76,9170,1,19,433866,67,5,795,20,2,2,false,false,false,Florida,Tavares,bank,fixed
87,0,0,1,0,1,0,1,0,6,5,15002240,6,1174772,16,44,169773,30,2,833,17,5,1,false,false,true,South,Quigley,wirehouse,fixed
88,0,0,1,0,1,0,2,0,3,3,89574357,3,637259,13,70,389782,95,0,792,12,1,0,true,false,false,New York,Lula,ria,fixed
89,0,0,0,0,1,1,1,0,2,1,853081118,12,9800480,1,27,244876,92,5,715,3,1,3,false,false,false,New York,Chatterji,wirehouse,fixed
90,0,0,0,1,0,0,1,1,5,3,649745791,12,3923781,1,19,77464,91,1,483,6,2,0,false,false,true,Florida,Funderburk,wirehouse,va
91,0,0,1,0,0,1,0,0,1,2,85954932,17,996323,3,39,394628,93,6,732,14,0,4,false,false,false,California,Noth,bank,fixed
92,0,0,1,1,0,0,0,0,2,7,3058946535,5,7836717,1,37,640482,83,5,774,10,1,2,false,false,false,New York,Jasper,bank,fixed
93,0,0,1,0,0,0,0,1,1,0,859178302,10,1987054,1,25,172063,53,0,716,20,1,2,false,false,false,New York,Tavares,bank,va
94,0,0,1,0,0,0,0,0,1,2,927680972,5,725633,1,46,83736,93,4,789,10,1,2,false,false,true,New York,Jasper,bank,fixed
95,0,0,1,0,1,1,0,0,3,5,79802052,6,30072,1,26,711314,52,4,817,9,5,2,false,false,false,South,Ingrid,bank,fixed
96,0,0,0,0,1,0,0,0,6,5,2675139518,7,1136241,1,52,427046,90,6,794,9,5,5,false,false,false,South,Ingrid,bank,fixed
97,0,0,1,1,1,1,0,1,5,3,43102949,7,367238,1,41,85268,37,4,758,23,3,1,false,false,true,Texas,Werner,bank,va
98,0,0,0,0,1,0,0,1,3,5,39188164,11,791474,25,20,244542,82,4,770,1,1,0,false,false,true,New York,Abbott,bank,va
99,0,0,1,1,0,0,0,1,2,5,66913741,2,7189982,1,62,299114,86,4,785,14,7,1,false,false,false,West,Noth,bank,va
100,0,0,1,1,0,1,0,1,1,0,954192091,7,917078,1,36,257382,82,4,706,22,4,2,false,false,false,NE,Vasquez,bank,va
101,0,0,0,0,1,0,1,0,3,1,799265754,12,327950,1,75,163279,73,5,795,14,1,1,false,false,false,New York,Noth,wirehouse,fixed
102,0,0,0,1,0,1,1,1,4,2,759338713,23,1063496,1,29,477067,87,5,670,12,5,3,true,false,false,South,Lula,wirehouse,va
103,0,0,0,0,1,0,0,0,7,2,1001247084,10,4147244,1,79,69973,98,6,733,4,0,0,false,false,false,California,Devon,bank,fixed
104,0,0,0,1,1,1,1,0,2,7,906998837,21,46860,6,29,449110,93,1,761,25,2,3,false,false,false,Florida,Yang,wirehouse,fixed
105,0,0,0,1,1,1,1,1,4,1,57575485,4,3292537,1,29,68103,82,4,822,8,0,5,false,false,false,California,Hassan,wirehouse,va
106,0,0,1,1,0,0,0,1,0,6,633489391,12,246183,1,79,114628,90,6,790,24,3,3,false,false,false,Texas,Xavier,bank,va
107,0,0,0,1,1,0,1,1,3,3,72813645,16,290952,1,39,100672,84,6,701,23,3,5,false,false,false,Texas,Werner,wirehouse,va
108,0,0,0,0,1,0,0,1,1,4,1957610962,3,1440824,2,27,832268,89,4,807,10,0,2,false,false,false,California,Jasper,bank,va
109,0,0,1,1,1,0,0,0,4,0,320785348,13,312879,1,37,153029,88,1,761,20,4,3,false,false,true,NE,Tavares,bank,fixed
110,0,0,1,0,0,1,0,0,3,5,533114873,4,70945,2,40,175555,86,4,707,24,4,1,false,true,false,NE,Xavier,bank,fixed
111,0,0,1,0,0,0,0,0,4,1,20301313,9,9245806,27,40,596939,81,5,727,6,7,3,false,false,false,West,Funderburk,bank,fixed
112,0,0,1,1,1,0,0,0,3,0,915108904,12,608127,1,22,380833,85,5,767,17,5,6,false,true,true,South,Quigley,bank,fixed
113,0,0,1,1,1,0,2,0,5,1,503151711,4,203417,6,30,152792,99,4,596,10,6,0,false,false,true,MidWest,Jasper,ria,fixed
114,0,0,1,1,1,1,0,0,2,5,790217849,4,90535,39,39,263058,79,4,751,1,2,1,false,false,false,Florida,Abbott,bank,fixed
115,0,0,1,1,1,0,0,0,1,6,4769718200,25,1767851,1,33,197894,85,6,788,17,0,3,false,false,false,California,Quigley,bank,fixed
116,0,0,0,1,1,0,1,1,1,4,790091636,5,73474,1,43,54045,90,4,758,17,6,2,false,false,true,MidWest,Quigley,wirehouse,va
117,0,0,0,1,1,0,0,1,2,1,18700776,12,201975,1,31,196202,82,3,754,4,0,0,false,false,false,California,Devon,bank,va
118,0,0,0,1,1,1,0,1,2,5,840459798,9,1416007,1,29,74676,99,4,820,11,2,3,false,false,false,Florida,Kanumba,bank,va
119,0,0,0,0,1,1,0,1,6,1,3656256371,10,205479,3,69,100833,14,4,708,17,5,5,true,false,false,South,Quigley,bank,va
120,0,0,0,0,1,1,0,1,5,5,4114292455,11,1938522,3,70,143602,93,2,730,22,4,2,false,false,false,NE,Vasquez,bank,va
121,0,0,1,0,0,0,2,0,1,0,73243905,11,611582,1,39,166394,84,0,645,14,3,3,false,false,false,Texas,Noth,ria,fixed
122,0,0,0,1,1,0,0,0,3,4,828216137,6,28436,1,27,441481,81,4,720,14,3,5,false,false,true,Texas,Noth,bank,fixed
123,0,0,1,1,0,0,1,0,2,6,816227362,6,8224505,1,31,68231,95,5,712,6,4,2,false,false,false,NE,Funderburk,wirehouse,fixed
124,0,0,0,1,1,1,0,1,2,3,724086112,12,7943464,1,34,133526,58,6,752,25,4,4,false,false,true,NE,Yang,bank,va
125,0,0,0,1,0,1,0,0,4,0,81566415,16,66610,33,38,819610,84,5,735,3,4,1,false,false,false,NE,Chatterji,bank,fixed
126,0,0,0,1,1,0,2,1,5,2,39545809,3,1096797,1,39,170929,97,4,786,25,2,2,false,false,true,Florida,Yang,ria,va
127,0,0,0,1,0,0,0,1,6,3,3768224355,10,5712561,1,45,264462,82,4,513,20,7,2,false,false,false,West,Tavares,bank,va
128,0,0,0,0,0,0,0,0,3,0,760993765,10,352974,1,27,369912,56,5,772,16,5,3,false,false,false,South,Patel,bank,fixed
129,0,0,0,0,0,1,2,1,2,2,50259286,10,8280730,1,21,130367,84,5,678,5,2,0,false,false,false,Florida,English,ria,va
130,0,0,1,0,0,0,0,1,2,7,14284007,1,328364,1,28,226243,87,6,829,3,5,3,false,false,true,South,Chatterji,bank,va
131,0,0,0,1,1,0,0,0,3,2,624255007,10,82997,1,24,242889,84,1,800,14,3,0,false,false,false,Texas,Noth,bank,fixed
132,0,0,0,1,0,0,0,1,3,6,47314490,10,1784425,1,68,149109,14,1,602,15,1,1,false,false,true,New York,Ojj,bank,va
133,0,0,1,1,1,0,0,1,4,3,39170298,6,112341,1,37,167644,96,4,593,3,1,0,false,false,false,New York,Chatterji,bank,va
134,0,0,0,0,1,0,0,1,2,1,570435991,6,678400,1,43,180363,73,5,777,5,0,0,false,false,true,California,English,bank,va
135,0,0,1,0,1,0,0,0,2,6,618004788,1,1753528,1,22,385312,85,6,766,2,2,1,false,false,false,Florida,Bost,bank,fixed
136,0,0,1,0,1,0,0,0,4,4,68202232,11,555934,1,31,193080,96,0,707,7,2,0,false,true,false,Florida,Griegio,bank,fixed
137,0,0,0,1,1,1,0,1,2,4,817797939,1,159983,1,37,368942,85,0,669,7,4,2,false,false,true,NE,Griegio,bank,va
138,0,0,0,1,1,1,1,1,4,7,506467622,4,605600,1,36,289499,64,2,713,8,0,2,false,false,false,California,Hassan,wirehouse,va
139,0,0,1,1,1,0,0,1,5,1,49255754,2,694709,1,44,407399,58,0,827,3,2,1,false,false,false,Florida,Chatterji,bank,va
140,0,0,1,0,1,0,1,1,4,1,934021470,8,46966,1,34,153456,93,3,843,19,0,0,false,false,true,California,Szu,wirehouse,va
141,0,0,1,1,1,1,2,1,1,5,62819633,5,93959,1,44,120601,69,4,696,6,1,0,false,false,true,New York,Funderburk,ria,va
142,0,0,1,1,0,0,0,0,4,5,2138888851,1,348132,12,36,157704,82,5,751,9,4,1,false,false,true,NE,Ingrid,bank,fixed
143,0,0,0,0,1,1,2,0,3,0,799086310,1,422243,1,27,126842,94,4,798,8,2,2,false,false,true,Florida,Hassan,ria,fixed
144,0,0,0,1,0,0,1,0,2,4,381026380,2,23032,2,21,165777,97,4,779,21,3,1,false,false,false,Texas,Underwood,wirehouse,fixed
145,0,0,1,1,0,0,0,0,1,1,41283795,5,1644957,1,30,276882,64,4,671,22,2,0,false,false,true,Florida,Vasquez,bank,fixed
146,0,0,1,1,1,0,0,0,6,6,45735039,15,1423081,1,33,62096,98,0,708,9,5,1,false,false,false,South,Ingrid,bank,fixed
147,0,0,1,0,0,0,1,1,0,6,447059644,19,394304,1,43,150259,87,4,771,6,5,1,false,false,false,South,Funderburk,wirehouse,va
148,0,0,0,1,1,1,2,0,4,6,907242412,8,44390,3,31,287098,89,5,700,18,6,1,false,true,true,MidWest,Rodriguez,ria,fixed
149,0,0,0,0,0,1,0,1,4,2,617010387,8,971369,1,32,504057,86,6,717,9,1,3,false,false,true,New York,Ingrid,bank,va
150,0,0,1,0,1,0,0,1,2,1,367251502,4,359525,1,51,231118,82,5,705,21,4,2,false,false,false,NE,Underwood,bank,va
151,0,0,0,0,1,0,0,0,7,1,2582683361,12,3986631,1,38,96972,94,5,701,10,6,3,false,false,false,MidWest,Jasper,bank,fixed
152,0,0,1,0,1,0,0,0,1,4,49162696,9,401996,5,43,152594,78,5,736,11,7,0,false,false,false,West,Kanumba,bank,fixed
153,0,0,0,1,1,1,0,1,4,5,1409585781,6,1095415,1,19,221685,81,4,800,1,6,2,false,false,true,MidWest,Abbott,bank,va
154,0,0,1,1,1,0,0,1,4,1,344751750,18,3744,16,45,480254,82,5,817,24,4,1,false,false,false,NE,Xavier,bank,va
155,0,0,1,0,1,0,0,0,3,3,55590938,16,51115,2,33,448683,89,3,842,1,4,2,true,false,false,NE,Abbott,bank,fixed
156,0,0,1,1,1,0,0,0,5,0,3738794815,6,255813,1,78,490692,30,6,728,10,1,1,false,false,false,New York,Jasper,bank,fixed
157,0,0,0,0,1,0,0,0,4,4,78535252,6,3233127,1,36,219045,57,1,761,12,0,2,false,false,false,California,Lula,bank,fixed
158,0,0,0,0,1,1,0,1,7,2,89171370,9,1396085,4,27,249245,88,4,625,2,6,6,true,false,false,MidWest,Bost,bank,va
159,0,0,1,1,0,0,1,0,2,3,59856374,4,85309,5,20,289146,57,5,759,17,0,3,false,true,false,California,Quigley,wirehouse,fixed
160,0,0,0,0,1,0,0,0,2,5,356324852,12,7737,1,45,82097,76,2,846,3,4,4,false,false,false,NE,Chatterji,bank,fixed
161,0,0,0,1,1,0,0,0,4,4,798545354,31,494223,1,72,132733,67,4,701,19,3,3,false,false,false,Texas,Szu,bank,fixed
162,0,0,0,0,1,0,1,0,4,4,346187135,1,229963,1,43,174544,92,4,752,8,2,0,false,false,false,Florida,Hassan,wirehouse,fixed
163,0,0,0,0,1,0,0,1,4,2,2928754484,6,339029,1,35,266085,97,6,722,24,5,1,false,false,true,South,Xavier,bank,va
164,0,0,0,1,0,0,1,1,2,3,22506945,2,488987,17,25,251120,68,5,771,14,5,3,false,false,false,South,Noth,wirehouse,va
165,0,0,0,1,0,1,0,1,6,4,2198770604,6,79845,6,30,133319,52,5,739,23,3,3,false,false,true,Texas,Werner,bank,va
166,0,0,0,1,1,0,1,1,7,1,413404882,6,50271,3,42,159999,84,5,729,2,5,3,false,false,false,South,Bost,wirehouse,va
167,0,0,0,0,1,0,1,1,0,5,458068644,1,13397,4,37,284929,95,5,577,3,3,3,true,false,false,Texas,Chatterji,wirehouse,va
168,0,0,0,0,1,1,0,1,7,4,363110927,3,68526,1,28,367890,82,5,735,19,0,1,false,false,false,California,Szu,bank,va
169,0,0,1,0,0,0,0,1,4,2,503898407,5,88188,1,39,383780,6,1,749,4,1,0,false,false,true,New York,Devon,bank,va
170,0,0,0,1,1,0,0,1,3,3,62685883,8,590128,1,41,297115,68,6,773,11,6,0,false,false,true,MidWest,Kanumba,bank,va
171,0,0,0,0,0,0,1,1,6,2,483516405,7,1123504,1,26,264206,94,2,645,20,0,2,false,false,false,California,Tavares,wirehouse,va
172,0,0,0,0,1,0,1,1,4,1,2591940612,4,10644,1,41,61120,94,1,734,24,5,0,false,false,false,South,Xavier,wirehouse,va
173,0,0,0,1,1,0,0,0,2,4,570677304,1,697476,1,72,51800,85,5,769,10,1,0,false,false,true,New York,Jasper,bank,fixed
174,0,0,0,1,1,1,0,1,1,1,629333486,6,1884541,1,50,199792,95,4,751,12,2,3,false,false,false,Florida,Lula,bank,va
175,0,0,1,1,1,0,0,1,0,7,361364276,8,1286591,1,42,287733,92,6,813,7,2,0,false,false,false,Florida,Griegio,bank,va
176,0,0,1,1,1,0,1,1,4,1,11857291,50,3255010,25,24,312250,67,3,835,21,3,0,false,true,true,Texas,Underwood,wirehouse,va
177,0,0,0,1,0,0,1,1,1,7,914593403,12,58759,16,40,958378,89,6,714,2,4,2,false,false,true,NE,Bost,wirehouse,va
178,0,0,0,1,0,0,0,1,4,4,512876742,6,9567843,1,54,406282,94,4,749,6,4,0,false,false,false,NE,Funderburk,bank,va
179,0,0,0,0,0,0,2,0,2,0,3845818054,68,9513633,11,37,97376,64,4,737,6,3,2,false,false,false,Texas,Funderburk,ria,fixed
180,0,0,0,0,1,0,0,1,5,5,803485406,2,893108,1,39,485374,95,2,527,4,1,3,false,true,true,New York,Devon,bank,va
181,0,0,1,1,1,1,0,0,5,7,1811628374,5,134247,1,21,232496,97,4,833,22,0,0,false,false,false,California,Vasquez,bank,fixed
182,0,0,0,0,1,0,0,1,1,1,62029997,10,5261656,19,39,194189,89,6,709,16,4,1,false,false,true,NE,Patel,bank,va
183,0,0,1,1,1,1,1,1,3,4,383757212,9,45893,25,62,195179,77,6,836,16,5,2,false,false,true,South,Patel,wirehouse,va
184,0,0,0,1,0,0,0,1,6,7,3786580820,10,472366,2,40,412098,88,4,774,2,6,0,false,false,true,MidWest,Bost,bank,va
185,0,0,0,0,0,0,1,1,6,6,37481088,18,500926,1,19,654155,56,2,798,9,2,1,false,false,true,Florida,Ingrid,wirehouse,va
186,0,0,0,1,1,1,0,0,4,7,928438835,7,884745,1,34,153310,89,4,841,15,0,7,false,false,false,California,Ojj,bank,fixed
187,0,0,1,1,1,0,2,1,4,0,2616710947,5,210326,6,27,370374,98,4,815,21,3,2,false,false,false,Texas,Underwood,ria,va
188,0,0,0,0,1,0,0,0,6,4,818920683,6,1898841,1,35,241734,97,4,748,3,5,1,false,false,false,South,Chatterji,bank,fixed
189,0,0,1,0,0,1,0,1,2,5,767941561,8,1063720,4,45,206759,74,5,715,2,7,4,false,false,true,West,Bost,bank,va
190,0,0,0,0,0,0,0,1,2,0,566324840,10,840796,1,42,127747,77,6,740,14,1,2,false,false,true,New York,Noth,bank,va
