advisor,performance_period,advisor_event_indicator,sf_face_2_face,sf_call_outbound,sf_call_inbound,sf_email_inbound,channel_ria,primary_prod_sold_annuity,sf_email_campaigns,advisor_hh_children,annuity_mkt_opp,advisor_advising_years,advisor_aum,advisor_annuity_selling_years,advisor_age,advisor_net_worth,advisor_credit_hist_mos,advisor_firm_changes,advisor_credit_score,wholesaler,region,sf_email_responses,id_activity_last_6mos,id_top_producer,id_strategic_partner,region_char,wholesaler_char
32,0,0,1,0,1,0,0,1,1,4,572985310,2,545422,1,51,107289,95,0,739,21,1,4,false,false,false,New York,Underwood
33,0,0,1,1,0,0,0,0,3,3,161681354,5,1611035,20,41,160385,89,5,727,18,0,7,false,true,false,California,Rodriguez
34,0,0,1,1,1,1,0,1,2,6,1435224112,3,3697401,13,23,230262,86,5,711,12,6,3,false,false,false,MidWest,Lula
35,0,0,0,1,1,0,0,0,1,4,132509687,9,33429,4,69,134083,33,5,757,19,3,4,false,false,false,Texas,Szu
36,0,0,0,0,0,0,0,1,4,1,857626177,20,1581782,1,30,124021,60,1,800,12,5,0,false,false,false,South,Lula
37,0,0,0,0,0,0,0,1,7,1,687612634,24,12283,1,22,316369,86,6,727,19,5,2,false,false,false,South,Szu
38,0,0,0,0,1,1,0,1,1,2,2225715978,7,727514,1,19,115780,67,1,751,17,1,1,false,false,false,New York,Quigley
39,0,0,1,0,0,0,0,1,1,4,414453397,10,1680751,1,62,737327,100,5,835,1,3,0,false,true,false,Texas,Abbott
40,0,0,0,1,1,1,0,0,5,0,72531239,15,274643,5,63,444037,56,4,768,3,4,2,false,false,false,NE,Chatterji
41,0,0,0,1,0,1,1,0,1,3,2507170641,4,861659,1,39,571862,85,6,718,7,5,2,false,false,false,South,Griegio
42,0,0,0,0,1,1,0,1,2,6,992789870,18,65020,1,22,264036,86,3,625,25,2,3,false,false,true,Florida,Yang
43,0,0,1,0,1,1,0,0,1,3,546680624,6,397440,1,38,358544,83,2,724,2,0,1,false,false,true,California,Bost
44,0,0,0,0,0,1,0,1,4,6,4697174598,11,473784,1,29,188398,40,6,789,5,1,4,false,false,false,New York,English
45,0,0,0,1,1,0,0,1,1,1,1384637697,5,9764856,1,44,188934,97,3,791,24,0,4,false,false,false,California,Xavier
46,0,0,1,1,0,0,1,1,4,0,697292390,7,4936133,1,41,299313,97,6,761,24,4,0,false,false,false,NE,Xavier
47,0,0,1,1,0,0,0,1,1,2,1069903184,4,662633,1,24,238438,84,2,775,19,5,4,false,false,false,South,Szu
48,0,0,0,1,0,0,0,1,3,4,3074777944,4,1963765,1,43,326328,66,2,783,2,0,2,false,false,false,California,Bost
49,0,0,1,1,1,0,0,1,3,5,822724074,15,296730,1,44,161420,84,4,763,7,0,1,false,false,false,California,Griegio
50,0,0,1,0,1,0,1,1,5,4,2773228881,79,1774302,1,32,72078,92,4,743,15,4,3,false,false,false,NE,Ojj
51,0,0,1,1,1,0,0,1,3,2,180147913,5,354685,1,29,61341,98,0,755,22,0,2,false,false,false,California,Vasquez
52,0,0,0,1,0,0,0,0,7,3,504957501,12,1005962,1,37,451038,94,4,747,19,6,0,false,false,false,MidWest,Szu
53,0,0,1,1,1,0,1,1,2,7,2227378308,12,5637374,1,33,337987,73,5,738,5,0,1,true,false,false,California,English
54,0,0,1,0,1,0,0,1,2,1,773999412,8,1101048,1,55,66548,98,2,644,17,6,0,false,false,false,MidWest,Quigley
55,0,0,0,0,1,1,0,0,2,6,1586485815,10,1383089,1,35,254421,51,2,753,10,1,4,false,false,true,New York,Jasper
56,0,0,0,1,1,0,0,1,3,2,2328015756,5,1314322,1,67,85078,23,2,748,2,2,5,false,false,false,Florida,Bost
57,0,0,0,0,1,1,0,0,4,3,698480090,8,1121247,1,36,171888,75,1,710,4,3,0,false,false,true,Texas,Devon
58,0,0,0,0,1,1,0,0,6,2,37560960,1,1092007,1,28,152692,87,3,729,6,2,3,false,false,false,Florida,Funderburk
59,0,0,0,0,1,1,0,1,2,2,656245374,2,952549,2,20,333909,90,4,706,14,2,2,false,false,false,Florida,Noth
60,0,0,0,1,1,0,0,0,6,3,691458370,9,27200,1,49,255638,63,4,734,14,2,1,false,false,true,Florida,Noth
61,0,0,0,1,1,0,0,1,2,0,171958590,6,2330,1,21,172349,67,1,679,3,4,5,false,false,false,NE,Chatterji
62,0,0,0,1,1,0,0,0,2,6,144262927,3,89134,3,29,274958,91,5,559,18,0,4,false,false,false,California,Rodriguez
63,0,0,0,1,0,0,0,1,7,6,375957044,13,3978875,11,55,467338,97,4,763,15,5,5,false,false,false,South,Ojj
64,0,0,0,0,0,1,0,1,1,7,2442093349,2,7356649,3,20,214215,85,5,820,7,0,5,false,false,false,California,Griegio
65,0,0,1,0,1,1,0,0,7,1,273266999,8,190725,1,63,151016,96,0,559,24,0,4,false,false,false,California,Xavier
66,0,0,0,1,0,1,1,1,2,3,618130910,8,653358,1,43,384353,78,5,698,16,3,1,false,false,true,Texas,Patel
67,0,0,1,0,0,1,0,0,5,3,216964502,16,719749,1,65,223889,83,0,820,13,2,2,false,false,true,Florida,Mambwe
68,0,0,0,1,0,0,0,1,3,3,36504259,8,848986,1,22,64806,98,6,749,18,7,1,false,false,false,West,Rodriguez
69,0,0,1,1,1,0,0,1,4,3,804636671,4,5167160,1,37,159211,82,5,746,3,4,2,false,false,false,NE,Chatterji
70,0,0,1,1,0,1,0,0,5,2,59529886,2,1015893,1,69,454894,63,6,786,6,5,2,false,false,false,South,Funderburk
71,0,0,1,1,0,0,0,1,1,4,132104785,12,927517,1,45,212140,97,5,714,4,0,2,false,false,true,California,Devon
72,0,0,0,0,1,0,0,1,7,2,398667585,9,821613,19,80,158306,92,4,762,15,3,1,false,false,false,Texas,Ojj
73,0,0,0,1,1,0,0,1,3,1,273225809,10,4552775,1,47,240049,34,4,831,6,0,5,false,false,false,California,Funderburk
74,0,0,0,0,1,0,0,1,5,1,132911389,11,1792989,1,35,133323,68,6,721,21,3,3,false,false,false,Texas,Underwood
75,0,0,0,0,1,0,0,1,1,5,33671687,3,636696,2,31,246455,83,5,765,17,4,0,false,false,false,NE,Quigley
76,0,0,0,1,1,1,0,1,2,2,669383164,9,480344,1,43,729949,88,3,740,25,1,5,false,false,false,New York,Yang
77,0,0,1,1,1,1,0,1,4,7,48791950,8,914318,1,31,207929,57,6,738,25,0,5,false,false,false,California,Yang
78,0,0,1,0,1,0,0,1,0,1,772187349,13,360309,2,33,75588,66,5,815,25,3,3,false,false,false,Texas,Yang
79,0,0,1,1,0,1,0,0,1,4,3616718510,3,5215260,8,32,75045,89,4,730,6,4,3,false,false,false,NE,Funderburk
80,0,0,1,1,1,0,1,1,4,4,190736692,10,1067806,1,30,136501,46,4,848,24,1,2,false,false,true,New York,Xavier
81,0,0,0,0,1,0,0,1,3,2,504977378,6,633010,6,19,142320,81,0,748,9,4,3,false,false,false,NE,Ingrid
82,0,0,0,1,1,0,1,1,0,6,184152868,18,2540344,20,29,241978,95,6,729,13,4,1,false,false,false,NE,Mambwe
83,0,0,1,0,1,0,0,0,7,0,1999370462,6,448272,1,19,80991,62,4,782,21,2,3,false,false,false,Florida,Underwood
84,0,0,0,0,0,0,1,0,2,1,657960496,3,1133259,1,44,103476,76,4,751,21,0,5,false,false,false,California,Underwood
85,0,0,1,1,0,1,0,1,3,6,2101979889,6,367354,1,35,194617,89,1,557,25,1,5,false,false,true,New York,Yang
86,0,0,0,0,1,0,0,1,6,4,215430479,10,347426,1,63,59722,42,4,738,15,4,3,false,false,true,NE,Ojj
87,0,0,1,1,1,1,0,1,4,1,359092296,10,97528,1,32,434772,70,4,752,25,4,3,false,false,false,NE,Yang
88,0,0,0,0,1,0,0,1,4,7,698829607,48,59238,1,44,328328,71,4,620,3,1,5,false,false,false,New York,Chatterji
89,0,0,1,1,1,0,1,1,5,0,60081099,9,251750,1,42,65846,41,4,840,3,3,3,false,false,false,Texas,Chatterji
90,0,0,0,0,0,1,0,1,2,1,22382635,7,465793,12,43,80486,99,0,753,19,1,0,false,false,true,New York,Szu
91,0,0,0,0,1,0,1,1,2,4,2291844853,4,1969799,3,32,242489,97,5,752,1,5,5,false,false,false,South,Abbott
92,0,0,1,1,0,1,0,1,4,1,2910633337,10,643726,1,21,154070,90,5,741,11,5,2,false,false,false,South,Kanumba
93,0,0,0,1,0,0,0,1,2,0,587018902,11,5812400,1,40,220192,100,4,835,19,1,0,false,false,true,New York,Szu
94,0,0,0,0,1,1,0,1,6,5,99126444,11,47090,1,79,301327,93,3,789,17,4,4,false,false,false,NE,Quigley
95,0,0,0,0,0,0,1,0,2,3,272623762,5,66264,1,62,428479,87,6,668,24,5,1,false,false,false,South,Xavier
96,0,0,0,0,1,0,1,0,1,6,194219053,18,593089,1,69,399243,84,6,717,3,2,1,false,false,true,Florida,Chatterji
97,0,0,0,1,1,0,0,1,4,3,865202082,9,869566,1,49,366381,46,1,841,5,2,1,false,false,false,Florida,English
98,0,0,1,0,0,0,0,0,6,3,1290682267,6,6400395,2,29,133628,90,3,792,1,2,5,false,false,false,Florida,Abbott
99,0,0,0,1,1,1,0,1,1,0,19390634,4,30931,1,22,752925,84,5,794,24,5,4,false,false,false,South,Xavier
100,0,0,0,0,1,0,0,0,0,2,17865051,26,419319,1,20,441132,70,5,647,22,5,0,false,false,true,South,Vasquez
101,0,0,1,1,1,0,1,1,7,2,746999327,1,79684,1,27,106143,99,5,711,1,5,2,false,false,false,South,Abbott
102,0,0,1,1,0,0,0,1,5,3,943142568,17,957382,9,32,150389,85,5,775,1,2,0,false,false,true,Florida,Abbott
103,0,0,1,0,1,0,1,1,5,3,851094984,4,16584,2,33,186410,65,2,738,8,4,2,false,false,false,NE,Hassan
104,0,0,0,1,1,0,0,1,6,2,71921367,1,970334,1,68,279765,76,4,741,5,1,0,false,false,false,New York,English
105,0,0,0,1,1,1,1,1,2,3,457195482,10,125894,1,24,228563,81,6,713,13,1,0,true,false,true,New York,Mambwe
106,0,0,1,1,0,0,0,0,1,5,1299431534,10,2695031,1,62,158786,81,4,614,5,2,0,false,false,false,Florida,English
107,0,0,0,1,1,1,0,1,6,5,3576594059,7,343523,21,78,226693,69,4,738,11,1,1,false,false,false,New York,Kanumba
108,0,0,0,0,1,0,0,1,7,4,985797298,11,7595668,1,41,134477,79,0,763,11,0,0,false,false,false,California,Kanumba
109,0,0,0,1,1,0,1,1,4,4,205321235,4,1602875,1,75,338455,86,6,842,11,0,1,false,false,false,California,Kanumba
110,0,0,0,1,0,0,0,1,3,3,555666947,1,400841,1,44,65159,60,4,796,11,2,0,false,true,false,Florida,Kanumba
111,0,0,0,0,0,1,0,1,7,2,631154368,7,446555,30,34,205056,64,2,556,1,3,0,false,false,false,Texas,Abbott
112,0,0,0,0,1,1,0,0,4,1,830419753,11,90877,1,30,298249,92,4,715,12,0,1,false,false,false,California,Lula
113,0,0,1,0,0,0,0,0,1,2,704888530,7,1413278,1,27,100222,85,3,832,8,1,4,false,false,false,New York,Hassan
114,0,0,0,1,1,0,1,1,5,0,995367512,12,521808,1,52,576578,83,2,698,24,3,1,false,false,false,Texas,Xavier
115,0,0,0,0,1,0,0,0,1,4,4816621293,5,274936,1,45,267134,86,6,732,19,3,4,false,false,true,Texas,Szu
116,0,0,1,1,0,0,0,0,1,7,723970141,5,9258036,1,51,494600,86,5,725,15,7,2,false,false,false,West,Ojj
117,0,0,0,0,1,0,0,0,5,6,558004367,1,77888,1,39,182496,63,6,797,23,5,3,false,false,true,South,Werner
118,0,0,0,0,0,1,0,1,3,6,539686524,10,223266,4,25,444732,54,6,607,8,1,4,false,false,false,New York,Hassan
119,0,0,0,0,0,1,0,1,5,1,748435319,5,614595,1,60,93097,97,3,833,22,0,2,true,false,false,California,Vasquez
120,0,0,0,0,0,1,1,1,6,0,1131744852,1,4380,1,25,123075,75,5,786,8,0,4,false,false,true,California,Hassan
121,0,0,0,1,0,0,0,1,6,1,21370512,8,1275477,1,25,175051,100,5,786,3,6,1,false,false,true,MidWest,Chatterji
122,0,0,0,0,0,0,0,1,0,1,562956340,21,8238793,1,56,361045,94,3,555,12,5,2,false,false,false,South,Lula
123,0,0,0,0,1,1,1,1,5,6,668333295,7,1783206,1,23,243300,85,4,738,12,1,0,false,false,false,New York,Lula
124,0,0,0,1,0,0,0,1,7,5,1699851059,10,242871,2,29,366557,84,6,722,25,2,3,false,false,false,Florida,Yang
125,0,0,0,1,1,0,0,1,4,1,760315694,1,5997437,1,33,72158,49,6,703,6,0,2,false,false,false,California,Funderburk
126,0,0,0,0,0,1,0,1,7,1,269188888,21,1363826,1,65,155866,94,5,775,24,2,1,false,false,false,Florida,Xavier
127,0,0,1,0,1,0,0,1,6,7,38981936,10,71477,2,29,297917,68,1,792,22,3,2,false,false,true,Texas,Vasquez
128,0,0,0,0,0,1,0,0,1,2,876586805,7,472605,1,80,229075,88,4,797,20,2,1,false,false,false,Florida,Tavares
129,0,0,1,1,0,0,0,0,4,1,764299143,4,1970934,1,37,169631,84,6,836,11,1,1,false,false,false,New York,Kanumba
130,0,0,1,0,1,0,0,1,1,3,809410694,2,517264,1,28,463516,90,2,744,22,4,4,false,false,true,NE,Vasquez
131,0,0,0,1,0,0,1,0,6,0,171067883,8,267841,1,37,681264,62,4,785,15,5,2,false,false,false,South,Ojj
132,0,0,0,0,0,1,1,1,4,4,175344441,7,236954,26,27,159139,80,2,727,7,2,0,false,false,false,Florida,Griegio
133,0,0,0,1,0,0,0,0,6,7,89889077,7,1005632,1,29,184600,94,6,817,14,3,3,true,false,true,Texas,Noth
134,0,0,1,0,0,1,0,1,2,6,628766972,20,803506,1,41,464206,70,4,791,21,1,1,false,false,false,New York,Underwood
135,0,0,0,0,1,1,1,1,3,0,91835968,1,275802,1,39,258703,87,4,796,7,5,0,false,false,true,South,Griegio
136,0,0,1,0,1,0,0,1,3,2,513208167,6,552194,1,39,151330,97,5,719,16,6,1,false,false,false,MidWest,Patel
137,0,0,1,1,1,1,0,0,1,5,665254677,2,66089,1,70,91395,87,4,744,10,2,4,false,false,false,Florida,Jasper
138,0,0,0,1,0,0,0,1,4,3,572040279,3,5512734,1,64,213312,85,6,742,3,1,3,false,false,false,New York,Chatterji
139,0,0,1,0,1,1,0,1,1,1,232146387,1,1840173,11,24,71947,21,1,777,22,2,2,false,false,false,Florida,Vasquez
140,0,0,0,1,1,0,0,1,7,2,2258823961,11,459500,1,37,185134,86,4,670,9,4,1,false,false,false,NE,Ingrid
141,0,0,1,0,0,0,1,1,3,6,13054951,8,1800823,1,37,95981,64,4,718,4,0,4,false,false,true,California,Devon
142,0,0,0,0,0,0,1,1,4,3,278244568,6,653213,1,24,186993,78,3,819,5,4,1,false,false,false,NE,English
143,0,0,0,0,1,1,1,0,3,5,783484891,1,832832,1,50,185336,84,4,753,17,3,3,false,false,false,Texas,Quigley
144,0,0,0,0,0,1,1,1,1,4,940717661,11,3526291,2,24,101658,84,4,827,4,3,0,false,false,false,Texas,Devon
145,0,0,0,0,0,0,0,1,4,4,50698006,7,607558,18,27,288541,91,5,755,1,2,0,false,false,false,Florida,Abbott
146,0,0,1,1,1,1,0,0,1,3,182172792,14,1115477,10,40,140992,96,3,848,11,5,3,false,false,true,South,Kanumba
147,0,0,0,0,1,0,0,1,5,0,160746126,2,4115518,1,23,473567,100,4,742,21,4,1,false,false,false,NE,Underwood
148,0,0,1,1,0,1,0,1,2,1,75572862,12,1019947,2,25,247958,75,5,802,9,1,2,false,false,false,New York,Ingrid
149,0,0,0,0,0,1,1,1,0,5,822017140,3,9240528,1,24,137889,94,3,798,17,1,4,false,false,false,New York,Quigley
150,0,0,1,0,0,0,0,1,4,0,935694462,12,7347325,2,61,166514,74,4,703,6,4,4,false,false,true,NE,Funderburk
151,0,0,0,0,1,0,0,0,0,6,282584294,3,422307,1,55,157634,51,5,816,20,4,3,false,false,false,NE,Tavares
152,0,0,1,1,0,0,0,1,3,0,3891242405,1,8269,1,45,531180,99,1,803,17,0,2,false,false,false,California,Quigley
153,0,0,1,0,1,0,1,1,5,2,25694377,5,21386,1,31,232482,96,4,679,25,1,1,false,false,false,New York,Yang
154,0,0,1,0,0,0,1,1,4,3,618346059,12,81024,1,47,139215,43,3,780,25,0,5,false,false,false,California,Yang
155,0,0,1,1,0,0,0,0,4,6,106117386,1,708706,1,32,155445,72,6,757,8,5,2,false,false,false,South,Hassan
156,0,0,0,1,1,1,0,0,4,3,3783447355,2,286762,1,42,87397,100,6,699,10,4,0,false,false,false,NE,Jasper
157,0,0,0,1,1,1,0,0,5,5,19088594,7,395975,1,40,184907,94,3,762,17,3,2,false,false,true,Texas,Quigley
158,0,0,1,1,0,0,0,1,2,4,663861723,4,561325,3,21,212195,100,6,847,9,1,1,true,false,false,New York,Ingrid
159,0,0,0,1,0,1,0,1,7,3,77008569,9,1461202,1,35,64972,92,1,713,24,1,0,false,false,true,New York,Xavier
160,0,0,1,0,1,0,0,1,6,4,52121877,3,1740030,1,19,118948,98,6,767,18,2,0,false,false,true,Florida,Rodriguez
161,0,0,0,1,1,1,0,1,1,0,42873790,9,372283,1,21,281968,65,6,776,13,0,5,false,true,true,California,Mambwe
162,0,0,1,1,1,0,0,1,2,2,830298435,3,882478,1,25,196318,91,6,783,17,2,1,false,false,false,Florida,Quigley
163,0,0,0,1,0,0,0,1,2,1,4401013665,5,69668,1,20,202468,84,5,742,17,1,1,false,false,false,New York,Quigley
164,0,0,0,1,1,0,0,1,4,0,277001286,6,769276,1,67,109716,60,5,705,19,5,4,false,false,false,South,Szu
165,0,0,0,0,0,0,0,1,1,6,2177161189,7,850924,1,57,138968,67,3,692,13,4,0,false,false,true,NE,Mambwe
166,0,0,0,0,1,0,1,1,6,6,591640138,7,9963109,1,39,86588,97,5,838,20,0,0,false,false,true,California,Tavares
167,0,0,1,1,1,0,1,1,3,4,825664762,4,422699,1,30,231836,95,5,665,11,4,2,false,false,false,NE,Kanumba
168,0,0,0,0,1,0,1,1,2,4,775155784,14,4314960,1,24,161732,90,4,802,25,7,3,false,false,false,West,Yang
169,0,0,1,1,0,1,0,0,1,7,28630880,5,341680,1,25,131215,100,6,712,23,2,2,false,false,false,Florida,Werner
170,0,0,0,0,1,0,0,0,1,1,56763994,5,169767,1,44,202373,100,6,768,9,5,0,false,false,false,South,Ingrid
171,0,0,1,0,1,0,0,1,2,4,816147480,12,36280,1,24,57358,80,4,790,3,1,4,false,false,false,New York,Chatterji
172,0,0,0,1,0,1,0,0,1,1,22287809,2,257129,1,37,425333,89,6,733,6,5,3,false,false,false,South,Funderburk
173,0,0,1,0,0,0,0,0,4,3,787162215,14,368175,4,19,244808,93,2,723,19,0,2,false,false,false,California,Szu
174,0,0,1,1,1,1,0,0,6,5,1639765143,18,1010363,1,68,141996,88,4,788,16,7,3,false,false,false,West,Patel
175,0,0,0,1,0,0,0,0,7,3,890646208,3,222042,1,24,243176,62,2,728,8,1,4,false,false,false,New York,Hassan
176,0,0,1,0,1,1,0,1,6,5,584898105,10,1726426,1,24,246353,95,4,481,10,2,0,false,false,true,Florida,Jasper
177,0,0,0,0,1,1,0,1,1,6,483580644,8,1434159,4,69,188093,28,1,607,19,5,0,false,false,false,South,Szu
178,0,0,0,0,1,1,0,1,3,2,767773236,6,241890,1,37,229918,34,2,610,14,0,1,false,false,false,California,Noth
179,0,0,0,0,1,1,1,1,1,1,14689687,17,4388297,2,22,279712,91,4,764,16,1,3,false,false,false,New York,Patel
180,0,0,0,1,1,0,0,0,2,5,337305824,5,76876,4,44,116645,82,4,711,12,1,1,false,false,false,New York,Lula
181,0,0,0,0,0,0,0,1,3,1,308100927,22,1397500,16,30,287984,76,1,636,16,2,0,false,false,false,Florida,Patel
182,0,0,0,0,0,1,0,1,2,2,83231442,5,1261029,1,62,158198,68,5,790,25,5,2,false,true,true,South,Yang
183,0,0,1,1,0,1,0,1,7,3,27486568,17,391881,1,33,730109,84,1,766,2,4,4,false,false,false,NE,Bost
184,0,0,0,1,1,0,0,1,3,5,86806700,12,1721779,1,54,88261,66,2,784,7,5,2,false,false,true,South,Griegio
185,0,0,1,1,1,0,0,1,1,6,333722564,4,593813,1,55,93759,62,6,804,15,0,0,false,false,false,California,Ojj
186,0,0,0,1,1,0,1,1,2,6,738325575,2,8839504,1,60,389184,84,6,778,16,2,2,false,false,false,Florida,Patel
187,0,0,1,0,0,1,1,1,7,1,1624272441,11,1092506,1,39,115437,68,1,647,2,1,5,false,true,false,New York,Bost
188,0,0,0,1,1,0,1,1,1,5,617478617,1,7060483,1,33,70856,86,3,757,12,3,5,false,false,false,Texas,Lula
189,0,0,0,1,1,0,0,1,4,1,633883526,6,793311,1,37,68346,88,5,710,9,4,3,false,false,false,NE,Ingrid
190,0,0,1,1,0,0,0,1,2,0,108990458,1,6579,1,75,123058,63,6,589,16,2,1,false,false,false,Florida,Patel
191,0,0,0,0,1,1,0,1,2,3,4241441698,10,1450060,13,28,183199,88,6,785,6,1,1,false,false,false,New York,Funderburk
192,0,0,1,1,1,1,1,1,2,5,452112326,9,156564,1,44,234784,51,4,744,13,0,2,false,false,false,California,Mambwe
193,0,0,1,1,0,0,0,1,1,5,276784105,3,1316095,4,19,275086,81,6,739,10,1,7,false,false,false,New York,Jasper
194,0,0,0,1,1,0,0,0,4,2,1499688813,49,949223,1,24,153516,95,2,598,5,0,0,false,false,false,California,English
195,0,0,0,0,1,0,0,1,4,5,60701032,2,702941,1,20,271585,83,2,739,20,2,4,false,false,false,Florida,Tavares
196,0,0,1,0,1,0,0,1,4,0,777303738,14,1658706,1,35,95994,81,6,707,8,2,0,false,false,false,Florida,Hassan
197,0,0,0,0,1,0,0,0,2,3,88114425,12,68959,1,22,241633,87,2,752,5,2,1,false,false,true,Florida,English
198,0,0,0,1,0,1,0,1,1,2,865665502,2,1829458,1,27,131042,87,3,751,11,4,4,false,false,true,NE,Kanumba
199,0,0,1,0,1,0,0,1,7,1,257091091,11,231499,1,32,295677,93,0,796,10,3,3,false,false,false,Texas,Jasper
200,0,0,1,0,1,1,0,1,1,1,700198449,6,286999,18,43,160641,82,5,773,18,5,2,false,false,true,South,Rodriguez
201,0,0,0,0,0,0,0,0,5,4,40024524,10,471969,1,68,64970,72,4,718,20,2,3,false,false,true,Florida,Tavares
202,0,0,0,0,1,0,0,0,3,0,2139203471,6,1252632,1,42,370830,99,5,772,23,5,1,true,false,false,South,Werner
203,0,0,0,0,1,0,0,1,3,3,29915146,1,803561,1,29,77508,83,3,430,8,4,3,false,true,false,NE,Hassan
204,0,0,0,0,0,0,0,0,0,3,224477434,12,11236,5,19,237902,65,5,673,19,6,2,false,false,true,MidWest,Szu
205,0,0,0,0,1,0,0,1,4,4,993361972,9,1294638,1,43,133871,96,6,799,22,5,1,false,false,false,South,Vasquez
206,0,0,1,0,1,0,0,0,2,5,69147489,8,1166023,1,48,327813,89,6,699,24,1,1,false,false,false,New York,Xavier
207,0,0,0,0,1,0,0,1,7,5,94226447,11,682288,1,35,214978,83,4,748,23,4,5,false,true,false,NE,Werner
208,0,0,0,1,1,0,0,1,6,4,3473459136,3,13163,20,36,182734,81,5,798,21,2,2,false,false,false,Florida,Underwood
209,0,0,1,1,1,0,0,0,7,2,586985249,13,3881365,1,42,241486,91,4,746,13,5,2,false,false,false,South,Mambwe
