advisor,advisor_sale,advisor_sale_type,sf_face_2_face,sf_call_outbound,sf_call_inbound,sf_email_inbound,channel,channel_type,primary_prod_sold_va,primary_prod_sold_type,sf_email_campaigns,advisor_hh_children,va_mkt_opp,advisor_advising_years,advisor_aum,advisor_annuity_selling_years,advisor_age,advisor_net_worth,advisor_credit_hist_mos,advisor_firm_changes,advisor_credit_score,wholesaler,wholesaler_i,wholesaler_name
60,0,no_advisor_sale,0,0,1,1,1,bank_broker,1,va,2,3,451137947,24,454081,1,58,196073,81,5,822,14,N,Noth
61,0,no_advisor_sale,0,1,1,1,1,bank_broker,1,va,4,5,72600313,18,3014854,3,42,418409,71,4,763,24,X,Xavier
62,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,7,3,520244439,15,4567204,3,50,69828,95,4,706,14,N,Noth
63,0,no_advisor_sale,0,0,0,0,1,bank_broker,1,va,4,6,3746508482,17,30374,1,67,265160,89,3,742,6,F,Funderburk
64,0,no_advisor_sale,0,1,0,0,0,captive,1,va,0,2,4216267185,62,332,2,39,201147,62,5,845,5,E,English
65,0,no_advisor_sale,0,0,1,0,0,captive,1,va,1,0,67980001,10,722434,2,37,255950,94,3,751,22,V,Vasquez
66,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,1,3,813178460,16,2024069,3,58,92915,89,5,679,7,G,Griegio
67,0,no_advisor_sale,0,1,0,0,1,bank_broker,1,va,2,1,798539043,11,137686,1,48,298852,78,3,819,4,D,Devon
68,0,no_advisor_sale,0,1,1,1,1,bank_broker,1,va,0,6,202500652,9,164644,1,50,273636,91,5,778,5,E,English
69,0,no_advisor_sale,0,0,0,1,0,captive,1,va,6,3,953189011,9,3461379,1,70,245627,88,1,811,6,F,Funderburk
70,0,no_advisor_sale,0,0,1,0,1,bank_broker,1,va,4,1,2893719581,14,181781,2,19,479326,82,4,680,20,T,Tavares
71,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,2,2,754448940,5,489654,1,56,91385,81,1,817,4,D,Devon
72,0,no_advisor_sale,0,1,1,0,0,captive,1,va,5,3,2524263619,15,1470826,3,39,279600,54,1,765,16,P,Patel
73,0,no_advisor_sale,0,1,0,0,1,bank_broker,1,va,2,3,880525091,17,2519893,3,37, ,69,1,610,19,S,Szu
74,0,no_advisor_sale,0,1,1,0,2,ria,1,va,3,6,1197360339,18,12420,2,21,278348,88,3,850,24,X,Xavier
75,0,no_advisor_sale,0,0,0,0,1,bank_broker,1,va,1,1,246654854,7,280777,1,30, ,98,1,748,8,H,Hassan
76,0,no_advisor_sale,0,0,1,0,1,bank_broker,1,va,5,0,3922466915,11,3232948,3,43,126930,77,2,779,20,T,Tavares
77,0,no_advisor_sale,1,0,1,0,0,captive,1,va,1,5,3264170830,8,4244945,3,29,55561,86,3,705,12,L,Lula
78,0,no_advisor_sale,1,0,0,0,1,bank_broker,1,va,6,3,38124087,22,4267536,2,37,216092,86,1,704,24,X,Xavier
79,0,no_advisor_sale,0,0,1,0,0,captive,1,va,1,4,504394635,10,375165,2,60,125089,56,0,672,12,L,Lula
80,0,no_advisor_sale,1,1,1,0,0,captive,1,va,0,5,11451962,5,4070614,2,47, ,100,3,682,14,N,Noth
81,0,no_advisor_sale,1,0,0,1,0,captive,1,va,1,6,81554705,16,2442650,1,51,71354,94,5,722,2,B,Bost
82,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,2,2,98773169,11,321164,1,26,289550,100,3,741,23,W,Werner
83,0,no_advisor_sale,1,0,0,1,1,bank_broker,1,va,1,4,389826790,7,3670048,2,24,297751,65,1,800,24,X,Xavier
84,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,3,0,94278173,7,494533,1,26,386918,89,5,836,13,M,Mambwe
85,0,no_advisor_sale,1,0,1,1,1,bank_broker,1,va,7,5,17339968,6,4270654,2,56,84982,82,3,750,11,K,Kanumba
86,0,no_advisor_sale,0,1,0,0,1,bank_broker,1,va,3,0,942366170,14,4766609,2,49,149868,85,4,779,8,H,Hassan
87,0,no_advisor_sale,0,0,0,0,1,bank_broker,1,va,6,3,153910878,19,3625074,2,35,177804,90,3,762,10,J,Jasper
88,0,no_advisor_sale,0,1,0,0,0,captive,1,va,5,2,29847195,9,19007,1,36, ,89,2,798,1,A,Abbott
89,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,4,4,4043395789,17,4594842,2,60,118923,53,1,840,11,K,Kanumba
90,0,no_advisor_sale,0,1,0,0,1,bank_broker,1,va,7,2,1136708226,23,3404947,3,37,269616,99,1,638,16,P,Patel
91,0,no_advisor_sale,1,1,0,1,1,bank_broker,1,va,6,2,813213298,7,516044,3,26,480673,81,3,677,14,N,Noth
92,0,no_advisor_sale,0,1,0,0,1,bank_broker,1,va,3,3,798428786,21,271099,2,68,115319,58,3,699,14,N,Noth
93,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,4,1,22392815,16,1968143,2,58,317292,83,1,769,2,B,Bost
94,0,no_advisor_sale,0,1,1,1,1,bank_broker,1,va,4,1,606912175,17,2705235,1,53,108645,53,2,818,5,E,English
95,0,no_advisor_sale,0,0,1,0,2,ria,1,va,4,1,274686623,14,267846,3,47, ,53,5,732,25,Y,Yang
96,0,no_advisor_sale,0,0,1,1,1,bank_broker,1,va,5,0,948828001,18,1596750,1,21,94446,96,3,589,12,L,Lula
97,0,no_advisor_sale,1,0,0,0,1,bank_broker,1,va,5,5,4370586496,16,4711352,2,35,279311,95,5,750,13,M,Mambwe
98,0,no_advisor_sale,0,0,0,0,1,bank_broker,1,va,6,5,21712634,16,2081116,1,36, ,87,5,624,17,Q,Quigley
99,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,7,3,29264811,15,456089,1,58,80105,26,3,787,1,A,Abbott
100,0,no_advisor_sale,1,0,1,0,1,bank_broker,1,va,6,0,3030104825,8,1383625,2,19,72413,97,4,791,7,G,Griegio
101,0,no_advisor_sale,1,0,1,0,1,bank_broker,1,va,5,3,507496087,2,3976103,2,78,72769,91,4,699,17,Q,Quigley
102,0,no_advisor_sale,0,0,1,1,0,captive,1,va,2,4,47984144,12,164928,1,31,173761,59,3,826,15,O,Ojj
103,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,2,4,3615545088,15,487385,2,21,51852,97,3,762,20,T,Tavares
104,0,no_advisor_sale,0,1,1,1,2,ria,1,va,2,6,4150651710,17,76946,1,45,94663,59,2,692,10,J,Jasper
105,0,no_advisor_sale,0,1,0,0,1,bank_broker,1,va,3,6,612991555,17,458985,1,44,138403,83,3,702,23,W,Werner
106,0,no_advisor_sale,1,0,1,0,1,bank_broker,1,va,5,2,3205231127,11,862925,2,46,361549,83,4,787,20,T,Tavares
107,0,no_advisor_sale,0,1,1,0,0,captive,1,va,4,6,4068784912,23,3922799,1,29,330447,82,4,702,16,P,Patel
108,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,2,3,755452126,14,776392,2,47,67121,90,0,787,24,X,Xavier
109,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,7,7,856013689,11,1742847,3,49,287886,70,1,689,5,E,English
110,0,no_advisor_sale,1,0,1,1,1,bank_broker,1,va,4,4,816358995,17,224746,2,40,113081,87,5,790,8,H,Hassan
111,0,no_advisor_sale,0,0,1,0,1,bank_broker,1,va,0,6,989835316,16,4253089,1,31,234069,62,5,757,23,W,Werner
112,0,no_advisor_sale,0,1,1,0,0,captive,1,va,6,5,479720876,7,2637864,2,49,75048,92,3,776,15,O,Ojj
113,0,no_advisor_sale,1,0,0,0,1,bank_broker,1,va,3,2,71374088,10,4440472,3,31,206677,92,1,785,11,K,Kanumba
114,0,no_advisor_sale,0,1,1,0,2,ria,1,va,5,3,1151065556,17,3567954,1,33,92308,83,5,704,1,A,Abbott
115,0,no_advisor_sale,1,0,1,1,1,bank_broker,1,va,2,0,706214113,24,889313,2,25, ,48,2,789,17,Q,Quigley
116,0,no_advisor_sale,0,1,0,0,1,bank_broker,1,va,6,5,1220723864,13,4527591,1,26, ,53,1,668,17,Q,Quigley
117,0,no_advisor_sale,1,0,0,1,1,bank_broker,1,va,7,6,64508665,34,3390551,2,51, ,96,1,773,22,V,Vasquez
118,0,no_advisor_sale,0,0,1,0,2,ria,1,va,6,6,36552470,21,1065118,3,46,231541,96,4,773,15,O,Ojj
119,0,no_advisor_sale,0,0,1,1,0,captive,0,fixed,5,2,4146149800,15,2239574,6,36,291304,86,4,809,25,Y,Yang
120,0,no_advisor_sale,0,0,1,1,0,captive,1,va,4,4,277870382,14,2199709,2,53,294536,96,4,836,17,Q,Quigley
121,0,no_advisor_sale,1,1,0,1,1,bank_broker,1,va,6,3,94006711,9,495652,2,70,110295,70,3,693,15,O,Ojj
122,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,1,1,47270587,17,27454,2,49,117203,91,5,777,15,O,Ojj
123,0,no_advisor_sale,0,1,1,1,2,ria,1,va,2,5,755191508,15,349800,3,62,124293,87,1,777,9,I,Ingrid
124,0,no_advisor_sale,1,1,1,1,1,bank_broker,1,va,6,1,318406767,13,2279121,3,37,220950,71,3,777,25,Y,Yang
125,0,no_advisor_sale,1,1,0,1,2,ria,1,va,1,5,58732634,7,2242013,3,43,79661,82,2,773,24,X,Xavier
126,0,no_advisor_sale,1,1,1,1,2,ria,1,va,6,7,79346705,8,732722,2,65,300831,54,5,737,14,N,Noth
127,0,no_advisor_sale,1,0,1,0,1,bank_broker,1,va,4,5,333930225,15,641918,1,63,89828,75,1,774,25,Y,Yang
128,0,no_advisor_sale,0,1,0,0,0,captive,1,va,3,3,1852101077,15,282166,3,46,65666,83,5,665,3,C,Chatterji
129,0,no_advisor_sale,1,1,1,1,1,bank_broker,1,va,3,4,3741378595,18,253458,2,50,211537,90,3,712,17,Q,Quigley
130,0,no_advisor_sale,0,1,0,0,1,bank_broker,1,va,0,4,1546891058,12,358421,1,35,171459,37,1,784,11,K,Kanumba
131,0,no_advisor_sale,1,0,0,0,1,bank_broker,1,va,4,2,147918979,8,3658497,3,29,243656,65,3,726,14,N,Noth
132,0,no_advisor_sale,0,0,0,1,0,captive,1,va,5,6,3549573549,15,839562,3,36,125501,70,5,760,25,Y,Yang
133,0,no_advisor_sale,0,1,1,1,1,bank_broker,1,va,3,3,138295176,24,429897,1,67, ,89,2,753,3,C,Chatterji
134,0,no_advisor_sale,0,0,1,0,1,bank_broker,0,fixed,2,0,913549427,22,385010,4,23,73129,95,2,841,14,N,Noth
135,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,0,1,418750611,14,923431,3,35,96647,97,3,821,20,T,Tavares
136,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,1,0,797501674,11,91059,2,33,273000,88,1,793,22,V,Vasquez
137,0,no_advisor_sale,0,1,1,1,1,bank_broker,1,va,3,6,205654200,21,3329795,2,41,206252,98,1,740,10,J,Jasper
138,0,no_advisor_sale,0,0,1,0,0,captive,1,va,3,7,817825883,29,1411552,3,23,411040,81,1,678,25,Y,Yang
139,0,no_advisor_sale,0,0,1,1,1,bank_broker,1,va,5,1,70782462,21,314143,2,20,167048,94,0,726,16,P,Patel
140,0,no_advisor_sale,0,1,1,1,1,bank_broker,1,va,2,1,236586235,8,955864,1,26, ,97,3,775,13,M,Mambwe
141,0,no_advisor_sale,0,1,0,0,1,bank_broker,1,va,5,6,56330915,6,1316095,2,40,352983,87,4,661,15,O,Ojj
142,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,3,2,3451774474,21,3995087,3,37,265418,90,5,722,25,Y,Yang
143,0,no_advisor_sale,1,0,1,1,1,bank_broker,1,va,7,5,668179790,18,3219354,1,68,288326,67,5,765,20,T,Tavares
144,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,1,2,331917712,15,3481571,2,33,198462,87,3,684,18,R,Rodriguez
145,0,no_advisor_sale,0,0,1,0,0,captive,1,va,6,4,296124621,18,421678,2,78, ,97,1,769,25,Y,Yang
146,0,no_advisor_sale,1,1,0,1,1,bank_broker,1,va,3,0,278511343,61,749290,3,54,121422,70,4,719,15,O,Ojj
147,0,no_advisor_sale,1,1,1,1,1,bank_broker,1,va,3,5,27480689,17,442723,2,46,148659,66,5,712,21,U,Underwood
148,0,no_advisor_sale,0,0,1,1,0,captive,1,va,5,3,3462412637,10,168908,3,45, ,100,3,771,18,R,Rodriguez
149,0,no_advisor_sale,1,0,1,0,1,bank_broker,1,va,4,7,4868933358,18,44396,1,39,286940,100,3,783,5,E,English
150,0,no_advisor_sale,0,1,1,1,1,bank_broker,1,va,3,3,334890489,18,291857,2,19,203967,100,2,713,3,C,Chatterji
151,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,4,2,438292225,13,2316927,3,60,283454,79,5,849,2,B,Bost
152,0,no_advisor_sale,1,0,1,1,1,bank_broker,1,va,3,5,50662961,7,2625062,1,39,131244,56,5,843,25,Y,Yang
153,0,no_advisor_sale,0,0,1,0,1,bank_broker,1,va,3,2,41239761,19,256968,1,83,262753,81,5,789,9,I,Ingrid
154,0,no_advisor_sale,1,1,0,1,1,bank_broker,1,va,1,5,723508434,8,464871,1,41,488626,96,5,781,21,U,Underwood
155,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,7,0,49218258,16,533977,1,34,142116,83,4,787,25,Y,Yang
156,0,no_advisor_sale,0,1,1,0,0,captive,1,va,3,1,1469062611,16,1978924,2,31,50460,60,1,761,6,F,Funderburk
157,0,no_advisor_sale,0,1,0,1,2,ria,1,va,2,3,442191056,8,481287,1,27,248108,57,5,780,20,T,Tavares
158,0,no_advisor_sale,0,1,0,0,0,captive,1,va,2,3,79393532,19,1548849,3,59,290333,54,3,773,19,S,Szu
159,0,no_advisor_sale,0,0,0,0,0,captive,1,va,3,3,791576191,32,1612648,3,69,229456,67,3,718,9,I,Ingrid
160,0,no_advisor_sale,0,0,1,0,1,bank_broker,1,va,1,4,851398664,15,59441,3,33, ,97,4,754,21,U,Underwood
161,0,no_advisor_sale,1,1,1,1,0,captive,1,va,1,0,277643224,14,174828,2,60,294808,78,5,774,19,S,Szu
162,0,no_advisor_sale,1,0,0,1,0,captive,1,va,4,5,299242889,7,309280,3,64,375791,92,3,719,21,U,Underwood
163,0,no_advisor_sale,1,0,0,1,1,bank_broker,1,va,1,4,55786560,13,2146822,1,20,58614,64,2,778,19,S,Szu
164,0,no_advisor_sale,0,0,1,1,0,captive,1,va,4,0,133720080,8,4160328,3,50,144798,48,0,681,24,X,Xavier
165,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,2,3,280386140,12,113560,2,22, ,99,4,844,18,R,Rodriguez
166,0,no_advisor_sale,1,0,1,0,0,captive,1,va,1,1,2004135286,7,4987024,2,50,145373,85,2,713,6,F,Funderburk
167,0,no_advisor_sale,0,1,1,1,0,captive,1,va,2,2,1699177480,17,1329929,1,50,64296,78,1,818,21,U,Underwood
168,0,no_advisor_sale,1,0,0,0,1,bank_broker,1,va,2,2,128923269,13,83811,1,66,226613,86,4,796,9,I,Ingrid
169,0,no_advisor_sale,1,0,0,0,0,captive,1,va,7,5,49648865,13,2276357,2,37,170954,66,3,799,16,P,Patel
170,0,no_advisor_sale,1,1,0,0,1,bank_broker,1,va,2,0,719374308,35,1517370,3,89,329020,97,3,830,12,L,Lula
171,0,no_advisor_sale,0,1,1,0,0,captive,1,va,3,0,591928486,6,1886202,3,26,60389,89,3,814,25,Y,Yang
172,0,no_advisor_sale,0,1,1,0,0,captive,1,va,4,3,692227933,12,3718238,3,37, ,98,2,731,11,K,Kanumba
173,0,no_advisor_sale,1,0,1,0,1,bank_broker,1,va,7,7,37174404,9,2665092,2,34,211039,42,5,835,15,O,Ojj
174,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,3,4,200036523,12,58141,2,70,112528,76,4,692,14,N,Noth
175,0,no_advisor_sale,1,1,1,1,2,ria,0,fixed,2,0,793173313,19,91834,18,41,134406,72,3,716,19,S,Szu
176,0,no_advisor_sale,0,0,0,0,1,bank_broker,1,va,6,6,751671827,19,4137097,2,38,225336,83,3,838,4,D,Devon
177,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,2,4,337088062,7,269441,2,28,166976,82,5,847,23,W,Werner
178,0,no_advisor_sale,0,1,1,0,0,captive,0,fixed,4,0,529482305,8,323608,6,48,53480,84,3,791,4,D,Devon
179,0,no_advisor_sale,1,0,1,0,1,bank_broker,0,fixed,7,7,418218771,16,3082897,8,67,234244,95,5,782,25,Y,Yang
180,0,no_advisor_sale,0,0,1,0,1,bank_broker,1,va,1,2,994665942,17,1535933,1,37,212054,90,3,739,5,E,English
181,0,no_advisor_sale,0,1,0,0,0,captive,1,va,3,3,74400351,29,522080,1,53,462729,98,4,743,24,X,Xavier
182,0,no_advisor_sale,0,0,0,0,1,bank_broker,1,va,6,7,75331920,10,1072901,3,72,138141,84,5,796,23,W,Werner
183,0,no_advisor_sale,0,0,1,1,2,ria,1,va,3,5,1275832020,8,29401,3,26,142366,94,5,714,5,E,English
184,0,no_advisor_sale,1,1,1,1,0,captive,1,va,3,6,610604891,7,260862,1,29,99748,61,5,658,16,P,Patel
185,0,no_advisor_sale,0,0,1,0,1,bank_broker,1,va,2,2,992575851,20,1355225,3,19,121377,62,2,755,19,S,Szu
186,0,no_advisor_sale,0,0,0,0,1,bank_broker,1,va,3,2,49256225,7,145085,1,37,298684,74,4,712,13,M,Mambwe
187,0,no_advisor_sale,0,1,1,0,0,captive,1,va,3,7,75076663,8,449685,2,63,145467,98,3,669,20,T,Tavares
188,0,no_advisor_sale,0,1,0,0,0,captive,1,va,3,6,696210179,7,61541,2,59,78860,93,1,772,17,Q,Quigley
189,0,no_advisor_sale,0,1,0,1,2,ria,1,va,1,4,34520859,9,4741437,3,37,96748,57,4,787,9,I,Ingrid
190,0,no_advisor_sale,1,0,1,0,1,bank_broker,1,va,4,4,757390990,14,844987,1,55,210086,53,3,769,14,N,Noth
191,0,no_advisor_sale,1,1,0,1,1,bank_broker,1,va,5,1,99220882,14,94197,1,44,135711,91,5,723,7,G,Griegio
192,0,no_advisor_sale,0,0,0,0,0,captive,1,va,3,5,917105646,14,4766307,2,54,276171,75,5,762,22,V,Vasquez
193,0,no_advisor_sale,1,0,1,0,0,captive,1,va,4,4,116885829,2,12337,1,82,207497,87,3,766,24,X,Xavier
194,0,no_advisor_sale,1,1,1,1,0,captive,1,va,2,5,783738049,10,4768774,2,32,138739,90,5,819,10,J,Jasper
195,0,no_advisor_sale,1,1,0,1,1,bank_broker,1,va,0,7,874685758,49,1028822,2,27,76269,57,5,764,1,A,Abbott
196,0,no_advisor_sale,1,1,0,0,1,bank_broker,1,va,2,2,482354787,14,25558,2,43,206110,99,5,687,24,X,Xavier
197,0,no_advisor_sale,0,0,1,0,1,bank_broker,1,va,1,6,329239568,4,1330068,3,21, ,84,4,822,14,N,Noth
198,0,no_advisor_sale,1,1,1,0,0,captive,1,va,1,4,71061900,20,2605854,3,84,198068,53,2,796,20,T,Tavares
199,0,no_advisor_sale,0,0,1,0,0,captive,1,va,5,1,20088521,12,1334971,3,48,249080,74,4,669,6,F,Funderburk
200,0,no_advisor_sale,1,1,0,0,0,captive,1,va,1,3,210446207,9,3110321,1,27, ,80,2,701,3,C,Chatterji
201,0,no_advisor_sale,0,1,1,0,2,ria,1,va,1,2,979474463,13,816422,2,33,216707,93,3,766,5,E,English
