"analytic_partition","advisor","advisor_churn","advisor_churn_type","sf_face_2_face","sf_call_outbound","sf_call_inbound","sf_email_inbound","channel","channel_type","primary_prod_sold_va","primary_prod_sold_type","sf_email_campaigns","advisor_hh_children","advisor_advising_years","advisor_aum","advisor_annuity_selling_years","advisor_age","advisor_net_worth","advisor_credit_hist_mos","advisor_firm_changes","advisor_credit_score","wholesaler","wholesaler_i","wholesaler_name","advisor_net_worth_imp","channel_type_enc","va_mkt_opp","d_bank","d_wirehouse","d_ria","advisor_aum_bin","advisor_net_worth_log"
0,2477,0,no_advisor_churn,0,1,1,0,0,bank,1,va,3,1,9,2647331,2,27,70448,51,3,725,4,D,Devon,70448,1,0.0006585798,1,0,0,4,11.162630128
1,2478,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,4,3,14,1422984,2,39,51814,82,5,749,4,D,Devon,51814,3,-0.680995539,0,1,0,2,10.855415662
0,2479,0,no_advisor_churn,1,1,0,1,1,wirehouse,1,va,3,1,16,2375171,1,54,111720,93,5,698,10,J,Jasper,111720,3,1.5514881386,0,1,0,4,11.62375102
1,2480,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,5,2,16,3006069,2,32,488325,56,4,785,12,L,Lula,488325,3,-0.317607597,0,1,0,5,13.098736447
0,2481,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,2,4,10,409387,1,21,165211,82,4,779,25,Y,Yang,165211,3,-0.652850216,0,1,0,1,12.014978724
1,2482,0,no_advisor_churn,1,1,1,0,2,ria,1,va,5,0,18,174962,2,43,144089,77,3,652,15,O,Ojj,144089,2,0.1225565714,0,0,1,1,11.878186443
1,2483,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,2,2,6,252149,3,29,73184,81,4,787,3,C,Chatterji,73184,3,-0.05145144,0,1,0,1,11.200732097
1,2484,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,1,2,8,590418,2,49,203820,93,4,715,3,C,Chatterji,203820,3,3.0865686514,0,1,0,1,12.22499253
1,2485,0,no_advisor_churn,0,1,0,0,0,bank,1,va,1,6,15,2610790,2,62,250212,52,5,660,15,O,Ojj,250212,1,0.1790651825,1,0,0,4,12.430063837
0,2486,0,no_advisor_churn,1,1,0,1,1,wirehouse,1,va,1,6,12,308850,3,28,202134,92,3,794,6,F,Funderburk,202134,3,-0.295149661,0,1,0,1,12.216686123
1,2487,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,3,5,10,3757162,3,25,116735,87,0,693,15,O,Ojj,116735,3,0.0957592923,0,1,0,6,11.667661688
1,2488,0,no_advisor_churn,0,1,0,0,0,bank,1,va,4,0,24,1585404,3,35,140394,96,5,750,14,N,Noth,140394,1,-0.22749052,1,0,0,3,11.852208035
0,2489,0,no_advisor_churn,1,0,1,1,1,wirehouse,1,va,6,2,16,1190772,2,40,177030,89,4,774,23,W,Werner,177030,3,0.1368315291,0,1,0,2,12.084074489
1,2490,0,no_advisor_churn,0,0,1,1,0,bank,1,va,6,0,9,200410,3,21,52640,52,0,762,14,N,Noth,52640,1,0.1323145763,1,0,0,1,10.871231566
0,2491,0,no_advisor_churn,1,0,1,0,2,ria,1,va,3,1,10,411705,1,43,248362,92,5,715,8,H,Hassan,248362,2,-0.256432919,0,0,1,1,12.422642638
1,2492,0,no_advisor_churn,1,1,0,1,0,bank,1,va,4,0,16,2104562,2,34,100296,64,2,746,20,T,Tavares,100296,1,2.1612220813,1,0,0,3,11.515881093
1,2493,0,no_advisor_churn,0,1,1,0,0,bank,1,va,1,3,26,211146,3,49,268983,95,5,626,11,K,Kanumba,268983,1,-0.307330548,1,0,0,1,12.50240346
2,2494,0,no_advisor_churn,0,0,1,0,1,wirehouse,0,fixed,2,0,7,515358,17,27,198253,65,3,821,23,W,Werner,198253,3,-0.645385601,0,1,0,1,12.197299272
0,2495,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,5,1,12,3342179,1,31,65280,87,2,779,19,S,Szu,65280,3,-0.705953574,0,1,0,5,11.08644099
2,2496,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,4,1,14,88246,1,41,,86,4,835,25,Y,Yang,468943.33646,3,-0.669822113,0,1,0,1,13.058237222
0,2497,0,no_advisor_churn,0,0,0,1,2,ria,1,va,2,5,11,4825025,2,19,332530,90,2,734,6,F,Funderburk,332530,2,0.1600725086,0,0,1,7,12.714485361
1,2498,0,no_advisor_churn,1,1,0,0,1,wirehouse,1,va,1,0,18,277963,3,36,215856,58,3,788,10,J,Jasper,215856,3,-0.25145194,0,1,0,1,12.282366798
0,2499,0,no_advisor_churn,1,1,1,0,0,bank,1,va,2,1,9,500872,2,33,190340,86,5,812,16,P,Patel,190340,1,-0.101511896,1,0,0,1,12.156567226
1,2500,0,no_advisor_churn,1,1,1,0,0,bank,1,va,4,3,11,2353962,1,38,,99,1,690,14,N,Noth,160371.30636,1,-0.469665963,1,0,0,4,11.98524707
2,2501,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,2,3,13,73717,3,52,,87,3,710,21,U,Underwood,220427.7983,3,-0.395221809,0,1,0,1,12.303325475
1,2502,0,no_advisor_churn,0,0,1,0,1,wirehouse,0,fixed,3,2,13,3190735,6,67,,97,0,774,6,F,Funderburk,209035.60974,3,1.978438756,0,1,0,5,12.250259898
0,2503,0,no_advisor_churn,0,0,1,1,2,ria,1,va,6,4,14,4691313,2,43,307262,62,5,632,22,V,Vasquez,307262,2,2.2870660002,0,0,1,7,12.635456083
1,2504,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,3,2,7,421079,3,47,251708,51,3,799,24,X,Xavier,251708,3,-0.649734875,0,1,0,1,12.436024964
2,2505,0,no_advisor_churn,0,1,0,1,1,wirehouse,1,va,1,1,16,2511774,3,35,59905,88,5,726,24,X,Xavier,59905,3,0.109661388,0,1,0,4,11.000515253
1,2506,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,1,2,13,191683,2,60,286649,57,4,679,5,E,English,286649,3,3.2492932173,0,1,0,1,12.56601375
1,2507,0,no_advisor_churn,0,1,1,1,0,bank,1,va,0,5,14,449311,1,20,214033,87,0,742,24,X,Xavier,214033,1,-0.008371718,1,0,0,1,12.273885488
1,2508,0,no_advisor_churn,0,1,1,0,0,bank,0,fixed,1,4,15,321961,16,32,63030,71,3,668,8,H,Hassan,63030,1,0.1035115893,1,0,0,1,11.051366083
1,2509,0,no_advisor_churn,1,1,1,0,0,bank,1,va,3,2,18,794757,2,55,295733,95,3,797,11,K,Kanumba,295733,1,-0.391637102,1,0,0,2,12.597212299
1,2510,0,no_advisor_churn,1,0,0,0,1,wirehouse,1,va,2,2,12,466162,3,38,256637,88,4,796,18,R,Rodriguez,256637,3,-0.644164204,0,1,0,1,12.455417914
1,2511,0,no_advisor_churn,0,0,0,1,1,wirehouse,1,va,4,4,17,1553982,3,43,437297,72,3,654,7,G,Griegio,437297,3,0.4443814901,0,1,0,3,12.988367877
1,2512,0,no_advisor_churn,0,0,1,1,0,bank,1,va,1,5,19,4355178,2,78,248202,70,3,717,20,T,Tavares,248202,1,-0.376169218,1,0,0,7,12.42199821
1,2513,0,no_advisor_churn,1,1,0,1,1,wirehouse,1,va,4,7,13,3691286,1,37,,90,3,787,3,C,Chatterji,80234.692479,3,-0.632116324,0,1,0,6,11.292711275
1,2514,0,no_advisor_churn,1,1,0,0,1,wirehouse,1,va,6,1,12,4116518,2,70,121692,96,4,779,14,N,Noth,121692,3,3.2950771255,0,1,0,6,11.709248541
0,2515,0,no_advisor_churn,1,1,0,1,0,bank,1,va,1,7,23,315008,2,38,88306,96,4,756,23,W,Werner,88306,1,0.0839241382,1,0,0,1,11.388563334
1,2516,0,no_advisor_churn,1,0,0,0,0,bank,1,va,2,3,15,3277074,2,55,232549,74,4,756,4,D,Devon,232549,1,-0.671703772,1,0,0,5,12.356856234
1,2517,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,6,7,17,2384700,2,70,,91,4,820,23,W,Werner,175754.59451,3,-0.419963516,0,1,0,4,12.076843952
1,2518,0,no_advisor_churn,1,1,0,0,0,bank,1,va,5,3,18,4524176,1,58,161624,55,2,782,19,S,Szu,161624,1,-0.635401907,1,0,0,7,11.993027929
1,2519,0,no_advisor_churn,0,0,0,0,2,ria,1,va,0,6,9,4004852,3,43,162833,67,2,677,13,M,Mambwe,162833,2,0.1537663853,0,0,1,6,12.000480415
1,2520,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,2,2,12,4245895,3,48,88090,98,5,748,22,V,Vasquez,88090,3,0.1050458716,0,1,0,6,11.386114298
1,2521,0,no_advisor_churn,0,0,1,0,0,bank,1,va,4,4,9,2020493,1,73,114377,82,5,773,25,Y,Yang,114377,1,-0.690501871,1,0,0,3,11.647255289
2,2522,0,no_advisor_churn,0,0,0,1,1,wirehouse,1,va,3,5,9,331300,3,56,212178,55,4,702,18,R,Rodriguez,212178,3,0.7420366625,0,1,0,1,12.265180824
1,2523,0,no_advisor_churn,0,0,1,1,0,bank,1,va,4,1,9,86319,1,72,225982,90,3,777,4,D,Devon,225982,1,0.1584685259,1,0,0,1,12.328210629
0,2524,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,2,6,14,911815,3,46,168075,91,5,750,4,D,Devon,168075,3,-0.546105201,0,1,0,2,12.032165587
2,2525,0,no_advisor_churn,0,1,0,1,1,wirehouse,1,va,2,4,18,1450771,2,47,,94,1,756,3,C,Chatterji,172053.2787,3,-0.580333258,0,1,0,3,12.055559468
0,2526,0,no_advisor_churn,0,0,0,0,0,bank,1,va,1,4,13,39642,1,51,241723,87,2,789,23,W,Werner,241723,1,-0.264151816,1,0,0,1,12.395547721
2,2527,0,no_advisor_churn,0,0,1,1,1,wirehouse,1,va,3,4,17,4526636,1,64,,57,3,706,11,K,Kanumba,325415.56372,3,-0.53443238,0,1,0,7,12.692858302
1,2528,0,no_advisor_churn,0,0,1,1,1,wirehouse,1,va,4,6,9,1568709,3,86,287216,96,1,707,3,C,Chatterji,287216,3,-0.155555179,0,1,0,3,12.567989825
1,2529,0,no_advisor_churn,0,0,0,0,0,bank,1,va,4,3,16,3069254,3,53,250006,63,0,792,24,X,Xavier,250006,1,0.0288181499,1,0,0,5,12.429240197
2,2530,0,no_advisor_churn,1,1,0,0,1,wirehouse,1,va,6,0,12,367812,2,64,,54,5,792,7,G,Griegio,126130.79499,3,-0.026242467,0,1,0,1,11.745074703
1,2531,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,1,2,14,1518354,1,46,194382,83,2,700,6,F,Funderburk,194382,3,2.2452024085,0,1,0,3,12.177580574
2,2532,0,no_advisor_churn,0,1,1,0,1,wirehouse,0,fixed,2,6,2,37796,14,39,231439,89,5,749,6,F,Funderburk,231439,3,0.029800945,0,1,0,1,12.352071619
0,2533,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,4,0,15,3827076,1,40,192850,65,3,811,9,I,Ingrid,192850,3,0.075244254,0,1,0,6,12.169667964
1,2534,0,no_advisor_churn,1,1,0,1,1,wirehouse,1,va,3,0,13,1812691,2,42,494843,65,5,710,10,J,Jasper,494843,3,0.8222709955,0,1,0,3,13.11199582
1,2535,0,no_advisor_churn,1,1,1,1,0,bank,1,va,3,5,29,76769,2,67,,85,0,772,9,I,Ingrid,213367.89021,1,-0.704611692,1,0,0,1,12.270773139
1,2536,0,no_advisor_churn,0,0,0,0,2,ria,1,va,4,3,18,1234676,3,34,80730,93,4,663,12,L,Lula,80730,2,-0.637381774,0,0,1,2,11.298865532
0,2537,0,no_advisor_churn,1,1,1,1,1,wirehouse,1,va,4,5,16,3698819,3,34,318199,97,4,726,13,M,Mambwe,318199,3,-0.697674168,0,1,0,6,12.670432252
1,2538,0,no_advisor_churn,1,1,1,1,0,bank,1,va,2,1,16,3322727,3,23,421147,70,4,725,11,K,Kanumba,421147,1,-0.392972012,1,0,0,5,12.95073722
2,2539,0,no_advisor_churn,0,1,1,0,0,bank,1,va,7,6,14,1396192,1,44,127598,81,3,781,2,B,Bost,127598,1,-0.256170999,1,0,0,2,11.756639976
1,2540,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,0,3,9,729725,3,45,208056,89,5,723,14,N,Noth,208056,3,-0.358321448,0,1,0,2,12.245562553
1,2541,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,0,4,18,3054850,3,39,68469,82,5,718,13,M,Mambwe,68469,3,3.4234415412,0,1,0,5,11.134136367
1,2542,0,no_advisor_churn,0,1,0,0,0,bank,1,va,2,1,4,4665925,3,20,282036,84,5,781,10,J,Jasper,282036,1,-0.008284618,1,0,0,7,12.549790001
0,2543,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,3,5,9,4189275,3,38,,75,3,701,19,S,Szu,320891.3082,3,-0.525236988,0,1,0,6,12.678857741
1,2544,0,no_advisor_churn,1,0,1,0,0,bank,1,va,5,3,28,344819,3,48,290964,83,5,718,14,N,Noth,290964,1,-0.267194431,1,0,0,1,12.580954827
1,2545,0,no_advisor_churn,0,0,0,1,0,bank,1,va,7,2,16,1859858,2,42,93711,92,5,793,22,V,Vasquez,93711,1,-0.006654298,1,0,0,3,11.447970857
1,2546,0,no_advisor_churn,0,1,1,1,0,bank,1,va,2,2,18,4123792,1,32,376022,64,3,690,10,J,Jasper,376022,1,1.9394844117,1,0,0,6,12.837402931
1,2547,0,no_advisor_churn,1,1,0,0,0,bank,1,va,6,5,13,4890222,3,61,401841,87,4,712,16,P,Patel,401841,1,-0.068023277,1,0,0,7,12.903811767
1,2548,0,no_advisor_churn,0,0,0,1,1,wirehouse,1,va,2,5,16,3368297,2,50,,65,1,655,25,Y,Yang,423921.146,3,-0.090190499,0,1,0,5,12.957302741
1,2549,0,no_advisor_churn,0,1,1,0,0,bank,1,va,2,4,14,61392,3,37,415781,85,2,799,3,C,Chatterji,415781,1,-0.362353495,1,0,0,1,12.937913958
1,2550,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,3,0,7,49211,3,23,68076,97,1,780,23,W,Werner,68076,3,-0.255475054,0,1,0,1,11.128380007
1,2551,0,no_advisor_churn,0,0,0,0,1,wirehouse,1,va,5,2,10,430817,1,34,213633,54,4,800,7,G,Griegio,213633,3,-0.642142252,0,1,0,1,12.272014869
1,2552,0,no_advisor_churn,0,0,0,0,0,bank,1,va,4,0,21,3196942,1,48,196632,83,3,799,10,J,Jasper,196632,1,-0.436725334,1,0,0,5,12.18908924
0,2553,0,no_advisor_churn,0,0,0,0,0,bank,1,va,1,5,29,25281,2,31,172003,73,1,822,2,B,Bost,172003,1,1.6762821747,1,0,0,1,12.055267198
0,2554,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,3,5,4,2470995,1,52,113999,93,4,757,5,E,English,113999,3,0.0722288992,0,1,0,4,11.643944955
0,2555,0,no_advisor_churn,0,1,0,1,0,bank,1,va,1,6,1,1333647,3,22,244430,55,2,620,12,L,Lula,244430,1,3.1866237902,1,0,0,2,12.406684248
1,2556,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,4,0,18,2037435,3,40,143864,81,3,778,25,Y,Yang,143864,3,-0.239197973,0,1,0,3,11.876623688
0,2557,0,no_advisor_churn,0,0,1,1,0,bank,1,va,5,6,13,30100,1,57,91059,91,3,755,1,A,Abbott,91059,1,-0.638479044,1,0,0,1,11.419262927
0,2558,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,5,5,11,1055091,2,51,68849,91,5,793,14,N,Noth,68849,3,-0.704306901,0,1,0,2,11.13967098
1,2559,0,no_advisor_churn,1,0,0,0,1,wirehouse,1,va,6,1,34,3055407,2,67,76307,90,1,846,19,S,Szu,76307,3,-0.243779829,0,1,0,5,11.242519956
0,2560,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,4,1,15,93126,2,69,284581,82,1,608,24,X,Xavier,284581,3,0.4550246812,0,1,0,1,12.558773202
2,2561,0,no_advisor_churn,1,1,1,0,0,bank,1,va,4,2,24,8377,3,54,,84,4,786,13,M,Mambwe,461276.74034,1,-0.303641192,1,0,0,1,13.041753446
1,2562,0,no_advisor_churn,1,1,1,1,1,wirehouse,1,va,4,4,8,3699358,3,61,118827,86,4,780,2,B,Bost,118827,3,-0.236245827,0,1,0,6,11.685423933
1,2563,0,no_advisor_churn,1,1,1,1,0,bank,1,va,4,3,21,262082,2,45,252623,56,3,604,11,K,Kanumba,252623,1,-0.712091701,1,0,0,1,12.439653538
1,2564,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,0,2,79,2286392,3,43,152810,84,5,663,4,D,Devon,152810,3,-0.335172782,0,1,0,4,11.936950599
1,2565,0,no_advisor_churn,0,0,1,0,0,bank,1,va,6,6,12,3570400,3,53,,65,5,772,21,U,Underwood,408761.47432,1,0.0270074359,1,0,0,5,12.920887073
0,2566,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,2,3,12,1534006,2,39,155179,52,4,703,13,M,Mambwe,155179,3,-0.706404704,0,1,0,3,11.952334568
1,2567,0,no_advisor_churn,0,0,1,0,2,ria,1,va,1,1,3,2352582,3,40,94657,82,5,749,11,K,Kanumba,94657,2,-0.461603085,0,0,1,4,11.458015111
0,2568,0,no_advisor_churn,0,1,0,1,0,bank,1,va,6,4,22,4603844,2,36,395385,78,3,798,21,U,Underwood,395385,1,-0.688077758,1,0,0,7,12.887615253
1,2569,0,no_advisor_churn,1,1,0,1,0,bank,1,va,7,3,13,2847088,2,90,152338,65,5,841,2,B,Bost,152338,1,-0.454217669,1,0,0,4,11.933857015
0,2570,0,no_advisor_churn,1,1,0,0,1,wirehouse,1,va,2,4,10,3326897,1,49,160221,58,5,791,3,C,Chatterji,160221,3,-0.058206491,0,1,0,5,11.984309391
1,2571,0,no_advisor_churn,0,0,1,0,2,ria,1,va,4,5,11,3495548,1,59,137755,96,2,733,14,N,Noth,137755,2,0.2615697924,0,0,1,5,11.833232024
2,2572,0,no_advisor_churn,1,1,1,0,2,ria,1,va,5,7,15,989666,1,20,161368,94,3,796,13,M,Mambwe,161368,2,1.5908145634,0,0,1,2,11.99144275
2,2573,0,no_advisor_churn,0,0,1,1,0,bank,1,va,2,4,8,4105438,1,33,166827,65,3,819,16,P,Patel,166827,1,0.0766881155,1,0,0,6,12.024712626
0,2574,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,2,5,10,4863865,2,48,242159,67,3,657,20,T,Tavares,242159,3,0.1113517882,0,1,0,7,12.397349814
2,2575,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,5,0,8,1071862,1,31,254738,93,3,641,11,K,Kanumba,254738,3,-0.333222221,0,1,0,2,12.447990845
0,2576,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,3,2,10,324609,3,26,90687,58,2,697,17,Q,Quigley,90687,3,1.5770834076,0,1,0,1,11.415169296
1,2577,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,5,4,16,894013,3,66,,61,1,608,12,L,Lula,341673.57598,3,-0.634638685,0,1,0,2,12.741611104
1,2578,0,no_advisor_churn,1,1,1,1,1,wirehouse,1,va,1,6,2,10035,2,41,107469,99,3,798,19,S,Szu,107469,3,1.5619883309,0,1,0,1,11.584957713
0,2579,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,0,1,9,3192493,3,60,98780,100,2,786,5,E,English,98780,3,-0.244183386,0,1,0,5,11.500650434
1,2580,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,2,6,7,4171581,1,87,415327,97,1,654,9,I,Ingrid,415327,3,-0.660900236,0,1,0,6,12.936821441
1,2581,0,no_advisor_churn,1,1,1,1,2,ria,1,va,2,0,14,4340680,2,27,190168,92,3,813,8,H,Hassan,190168,2,-0.073716165,0,0,1,7,12.155663171
1,2582,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,6,1,12,3700536,1,28,93849,65,4,711,2,B,Bost,93849,3,2.4247937393,0,1,0,6,11.449442387
1,2583,0,no_advisor_churn,0,0,1,0,2,ria,1,va,3,7,12,449232,3,50,138160,88,5,743,8,H,Hassan,138160,2,-0.641071594,0,0,1,1,11.836167713
0,2584,0,no_advisor_churn,0,1,0,1,1,wirehouse,1,va,4,6,22,326791,3,26,266639,90,4,708,18,R,Rodriguez,266639,3,-0.706559153,0,1,0,1,12.493650963
1,2585,0,no_advisor_churn,1,0,0,0,1,wirehouse,1,va,0,5,15,1278939,1,32,192475,75,2,674,13,M,Mambwe,192475,3,-0.457334571,0,1,0,2,12.167721554
0,2586,0,no_advisor_churn,1,0,0,0,0,bank,1,va,4,5,17,1274141,3,29,133697,82,5,768,7,G,Griegio,133697,1,-0.279082443,1,0,0,2,11.803331325
0,2587,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,2,4,18,239397,3,45,246254,83,3,676,10,J,Jasper,246254,3,2.8781692456,0,1,0,1,12.414118803
1,2588,0,no_advisor_churn,0,0,1,0,2,ria,1,va,1,3,10,771919,1,33,87205,84,1,677,5,E,English,87205,2,-0.576618295,0,0,1,2,11.376016948
1,2589,0,no_advisor_churn,0,1,1,1,2,ria,1,va,6,0,17,3603431,3,34,,52,2,791,2,B,Bost,390515.76329,2,1.342448451,0,0,1,6,12.875223614
2,2590,0,no_advisor_churn,1,0,0,0,2,ria,1,va,4,4,13,2376277,2,37,282470,87,0,745,7,G,Griegio,282470,2,2.6440214924,0,0,1,4,12.551327629
2,2591,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,4,4,22,415696,3,45,,80,3,656,23,W,Werner,165142.91421,3,-0.672778996,0,1,0,1,12.014566525
0,2592,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,5,4,36,307752,3,24,272780,88,3,776,10,J,Jasper,272780,3,-0.149968112,0,1,0,1,12.516420888
2,2593,0,no_advisor_churn,1,0,0,1,2,ria,1,va,7,3,5,379220,3,36,274116,66,3,814,11,K,Kanumba,274116,2,1.8301996541,0,0,1,1,12.521306653
2,2594,0,no_advisor_churn,1,1,0,1,0,bank,1,va,1,7,7,52312,1,50,220562,78,3,795,13,M,Mambwe,220562,1,-0.046270872,1,0,0,1,12.303934113
2,2595,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,1,1,8,68062,2,27,86100,83,5,690,1,A,Abbott,86100,3,-0.652902637,0,1,0,1,11.36326469
0,2596,0,no_advisor_churn,1,1,1,1,1,wirehouse,1,va,5,0,8,4636635,2,21,,85,3,708,2,B,Bost,362612.78073,3,-0.071693996,0,1,0,7,12.801090824
1,2597,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,4,1,14,26293,3,69,482553,87,1,762,19,S,Szu,482553,3,0.8722286375,0,1,0,1,13.086846038
1,2598,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,5,1,18,165045,1,42,66971,86,3,682,7,G,Griegio,66971,3,0.1107922412,0,1,0,1,11.112014969
0,2599,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,2,7,17,436236,3,28,153759,89,1,630,7,G,Griegio,153759,3,0.1292223628,0,1,0,1,11.943141721
1,2600,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,3,6,14,242294,2,33,63791,99,0,621,23,W,Werner,63791,3,0.1210635558,0,1,0,1,11.063367394
1,2601,0,no_advisor_churn,0,0,0,1,1,wirehouse,1,va,5,3,18,89252,2,61,323117,99,5,749,20,T,Tavares,323117,3,-0.654167759,0,1,0,1,12.685769766
1,2602,0,no_advisor_churn,0,1,0,0,0,bank,1,va,5,1,36,1947168,3,35,,61,2,690,8,H,Hassan,240535.53334,1,-0.646758991,1,0,0,3,12.390623105
1,2603,0,no_advisor_churn,1,1,0,1,0,bank,1,va,2,4,15,146075,2,51,139239,91,3,728,16,P,Patel,139239,1,-0.658155268,1,0,0,1,11.84394716
0,2604,0,no_advisor_churn,0,1,1,0,0,bank,1,va,1,1,11,598581,1,56,406269,68,1,758,2,B,Bost,406269,1,-0.029678082,1,0,0,1,12.914770781
0,2605,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,1,0,8,4720692,1,55,201935,74,4,718,21,U,Underwood,201935,3,-0.001202592,0,1,0,7,12.215701142
0,2606,0,no_advisor_churn,1,0,0,0,0,bank,1,va,2,2,12,299539,2,35,184961,98,3,803,24,X,Xavier,184961,1,-0.704706932,1,0,0,1,12.127900271
1,2607,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,6,2,21,188040,2,27,177560,94,1,723,18,R,Rodriguez,177560,3,2.7578012587,0,1,0,1,12.087063859
1,2608,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,4,4,15,730838,1,38,175717,77,3,807,25,Y,Yang,175717,3,-0.346563754,0,1,0,2,12.076630025
1,2609,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,2,3,16,2413360,1,33,97637,86,5,775,24,X,Xavier,97637,3,1.6153742037,0,1,0,4,11.489011799
