Exposure,Age,Bluebook,Rating_Category,DrivingUnderInfluence,Income,Occupation,Marital_Status,Education,Revoked,Gender,MotorVehicleRecordPoint,Car_Age,Travel_Time,Car_Type,uniqueRecordID,CarUse,Claims,PurePremium,_PartInd_,Origination_Source
0.416666667,31,5000,A,0,9830,Doctor,S,Masters,0,F,4,6,69.1,Hatchback,31,P,0,0,0,
0.416666667,49,5000,A,0,9167,Home Maker,S,Less High School,0,F,5,5,73.1,Hatchback,32,C,0,0,0,
0.416666667,34,5000,A,0,21049,Clerical,M,Masters,0,F,1,0,68.7,Sports Car,33,C,0,0,0,
0.25,28,3000,A,0,11697,Doctor,S,High School,1,F,5,13,75.9,Station Wag,34,C,0,0,0,
0.5,40,6000,B,0,31472,(missing),M,High School,1,F,11,8,65,Sedan,35,C,0,0,1,
1.333333333,33,16000,A,0,17197,Blue Collar,M,Bachelors,0,F,2,1,74.8,Van,36,C,0,0,0,
0.25,35,3000,A,0,9827,Doctor,M,High School,0,M,0,6,77.1,Station Wag,37,C,0,0,0,
2.666666667,60,32000,A,1,59284,Doctor,M,Masters,0,F,0,5,83.6,Hatchback,38,C,0,0,0,
0.166666667,35,2000,D,0,69282,Blue Collar,S,Less High School,0,F,8,8,66.3,Van,39,C,0,0,2,
0.166666667,24,2000,A,0,51027,Clerical,M,Less High School,0,M,2,13,69.8,Station Wag,40,C,0,0,0,
0.75,52,9000,A,0,6209,Blue Collar,S,Bachelors,0,F,4,0,71.5,Sports Car,41,C,0,0,0,
0.583333333,32,7000,D,0,13641,Clerical,S,Masters,1,F,4,8,51.6,Sedan,42,P,0,0,2,
0.166666667,39,2000,A,1,48312,Clerical,M,High School,0,M,3,1,67.7,Sedan,43,C,0,0,0,
0.666666667,32,8000,A,0,18522,Blue Collar,S,Less High School,0,F,6,3,67.3,Hatchback,44,C,0,0,0,
0.75,40,9000,B,0,17696,Clerical,S,High School,1,F,2,2,65.5,Van,45,C,0,0,1,
0.5,19,6000,D,0,13742,Clerical,S,Masters,1,F,3,1,66,Van,46,C,0,0,2,
0.666666667,22,8000,A,0,29986,Home Maker,S,Bachelors,0,F,4,5,67.9,SUV,47,C,0,0,0,
0.583333333,70,7000,A,0,37133,Blue Collar,M,Masters,0,F,1,6,79.2,SUV,48,C,0,0,0,
0.666666667,18,8000,D,0,13696,Blue Collar,S,Less High School,0,F,5,4,61.2,Hatchback,49,C,0,0,2,
2.083333333,34,25000,A,0,12964,Blue Collar,M,Bachelors,1,M,3,2,67.5,Station Wag,50,C,0,0,0,
0.75,42,9000,B,0,30687,Clerical,S,Less High School,0,M,13,9,75.1,Sedan,51,C,0,0,1,
1.416666667,45,17000,A,0,37530,Clerical,S,Masters,0,M,3,3,71.6,Van,52,C,0,0,0,
0.083333333,23,1000,B,0,38072,Doctor,M,Less High School,1,F,1,7,69.3,Van,53,C,0,0,1,
1.083333333,45,13000,B,0,68411,Doctor,S,Less High School,0,F,5,9,70.7,Sports Car,54,C,0,0,1,
0.416666667,49,5000,A,0,42244,Blue Collar,S,Bachelors,0,F,1,4,69.6,Sedan,55,P,0,0,0,
0.25,37,3000,D,0,28957,Lawyer,S,High School,1,F,3,3,77.1,Van,56,C,0,0,2,
3.583333333,38,43000,B,0,9687,Doctor,M,Masters,0,F,14,2,76.5,Sedan,57,C,0,0,1,
1.75,51,21000,A,0,34248,Lawyer,S,High School,1,F,2,4,67,Sports Car,58,C,0,0,0,
0.083333333,39,1000,A,0,39747,Clerical,S,Masters,1,F,2,7,69.4,Van,59,C,0,0,0,
0.5,49,6000,D,1,79963,Home Maker,S,Bachelors,1,F,2,1,69.5,Van,60,C,0,0,2,
0.083333333,43,1000,A,0,18291,Clerical,S,Masters,1,F,2,14,74.3,Sedan,61,P,0,0,0,
0.583333333,63,7000,A,0,167912,Clerical,S,Masters,0,M,2,8,75,Van,62,C,0,0,0,
0.833333333,57,10000,B,0,7208,Lawyer,S,High School,1,F,2,1,72.3,SUV,63,C,0,0,1,
1.166666667,33,14000,A,1,192055,Clerical,M,High School,0,F,4,15,65.8,Van,64,C,0,0,0,
1.666666667,31,20000,A,0,36298,Home Maker,M,High School,0,F,0,9,72.3,Van,65,C,0,0,0,
0.333333333,56,4000,A,0,17618,Doctor,S,High School,1,F,3,14,79.9,Sedan,66,C,0,0,0,
0.333333333,68,4000,D,1,36677,Clerical,S,Bachelors,0,F,1,6,61.7,Van,67,C,0,0,2,
1.333333333,53,16000,A,1,123920,Blue Collar,S,Masters,0,F,4,7,75,Sedan,68,C,0,0,0,
0.583333333,70,7000,A,0,9836,Clerical,S,Bachelors,0,F,4,9,68.6,Van,69,C,0,0,0,
0.083333333,19,1000,A,1,11272,Clerical,S,High School,1,M,1,0,72.2,Sports Car,70,C,0,0,0,
0.083333333,56,1000,D,0,10067,Clerical,S,Less High School,1,F,2,11,66.6,Station Wag,71,P,0,0,2,
1.333333333,16,16000,A,0,223163,Doctor,S,Bachelors,1,F,0,2,77.5,Van,72,C,0,0,0,
0.166666667,29,2000,B,0,34883,Manager,M,Masters,1,F,3,2,69,Sports Car,73,C,0,0,1,
0.333333333,39,4000,A,0,38757,Doctor,S,High School,1,F,1,7,79.5,Sports Car,74,C,0,0,0,
1.5,68,18000,A,0,38957,Clerical,S,Masters,1,F,5,2,73.1,Van,75,C,0,0,0,
0.416666667,29,5000,C,0,63522,Clerical,S,Bachelors,1,F,0,5,63.2,Van,76,C,0,0,2,
0.5,39,6000,B,0,56576,Lawyer,M,Bachelors,0,F,4,2,79.2,Van,77,C,0,0,1,
0.583333333,67,7000,A,1,35144,Home Maker,M,Masters,1,F,2,7,66,Sports Car,78,C,0,0,0,
0.083333333,32,1000,A,0,23705,Blue Collar,S,Bachelors,1,M,6,12,71.8,Sports Car,79,P,0,0,0,
0.416666667,32,5000,A,1,6085,Manager,M,Bachelors,0,F,4,14,65.1,Station Wag,80,C,0,0,0,
0.583333333,24,7000,B,0,70738,Blue Collar,M,Bachelors,1,M,12,14,70.7,Sedan,81,C,0,0,1,
0.5,43,6000,B,1,20744,Home Maker,S,High School,1,F,2,3,67.7,SUV,82,C,0,0,1,
1.916666667,53,23000,C,1,96496,Doctor,S,Bachelors,0,M,1,7,68.1,Hatchback,83,C,0,0,2,
0.833333333,38,10000,A,0,11505,Manager,S,High School,1,F,1,6,65.4,Van,84,C,0,0,0,
2.833333333,53,34000,A,0,39008,Clerical,S,Bachelors,0,F,2,7,65.1,Sports Car,85,C,0,0,0,
0.916666667,33,11000,A,0,18918,Doctor,S,High School,0,F,1,8,71.3,Sedan,86,C,0,0,0,
0.666666667,47,8000,A,0,24274,Home Maker,M,High School,1,F,0,11,66.3,Van,87,C,0,0,0,
0.916666667,31,11000,A,1,146290,Clerical,S,Less High School,1,M,5,14,83.6,Sedan,88,C,0,0,0,
1,23,12000,A,0,29523,Doctor,M,Masters,0,F,4,5,81.2,Sedan,89,C,0,0,0,
0.416666667,25,5000,A,0,11750,Doctor,S,Less High School,0,F,5,0,77,Station Wag,90,P,0,0,0,
0.25,48,3000,A,0,13519,Home Maker,S,Less High School,0,F,2,10,66.5,Van,91,C,0,0,0,
1.916666667,37,23000,A,0,10653,Doctor,S,Bachelors,0,F,5,9,66.7,Sports Car,92,C,0,0,0,
0.75,43,9000,A,0,59728,Blue Collar,M,Less High School,0,F,5,7,76.6,Hatchback,93,P,0,0,0,
1.833333333,23,22000,A,1,17370,Doctor,M,Less High School,0,M,4,8,74,SUV,94,C,0,0,0,
0.333333333,41,4000,A,1,31079,Clerical,M,Less High School,0,F,0,12,72.7,Hatchback,95,C,0,0,0,
0.083333333,39,1000,B,0,51290,Doctor,S,Less High School,0,F,3,7,68.2,Van,96,C,0,0,1,
3.75,41,45000,B,0,16922,Home Maker,M,High School,0,F,1,5,77.6,Sedan,97,P,0,0,1,
0.416666667,24,5000,B,1,36103,Clerical,S,High School,0,F,5,4,76.1,Sedan,98,C,0,0,1,
1.5,36,18000,A,0,16473,Blue Collar,S,Masters,1,F,2,11,58.6,Van,99,C,0,0,0,
0.666666667,39,8000,A,0,15643,Blue Collar,M,Bachelors,0,M,2,4,73.7,Hatchback,100,C,0,0,0,
0.75,43,9000,B,0,14278,Professional,S,Masters,0,F,0,0,76.7,Van,101,P,0,0,1,
0.583333333,18,7000,A,0,14993,Clerical,M,Masters,0,F,4,9,73.2,Van,102,C,0,0,0,
0.666666667,63,8000,A,1,7252,Blue Collar,S,Masters,1,F,2,13,69.1,Hatchback,103,C,0,0,0,
0.583333333,71,7000,B,0,91538,Doctor,S,Less High School,0,F,3,13,74.2,Sedan,104,C,0,0,1,
0.333333333,37,4000,A,0,26986,Home Maker,M,High School,0,F,3,5,76.1,Hatchback,105,C,0,0,0,
0.5,45,6000,B,0,55732,(missing),S,Bachelors,0,F,8,8,73.7,SUV,106,C,0,0,1,
0.416666667,16,5000,A,0,11066,Clerical,S,High School,1,F,2,9,77.8,Station Wag,107,C,0,0,0,
1.416666667,37,17000,B,0,15233,Clerical,S,Bachelors,1,F,9,5,69.6,Van,108,C,0,0,1,
0.25,16,3000,D,0,13771,Clerical,S,Masters,0,F,4,12,74.9,Sedan,109,C,0,0,2,
1.25,19,15000,D,0,9857,Blue Collar,S,Bachelors,1,F,4,8,65.7,Station Wag,110,C,0,0,2,
0.583333333,47,7000,A,0,30865,Lawyer,M,High School,0,F,5,5,71.9,Van,111,C,0,0,0,
0.416666667,41,5000,A,0,38984,Clerical,S,Less High School,0,F,0,8,65.7,Sedan,112,C,0,0,0,
0.416666667,30,5000,A,1,23881,Clerical,S,High School,0,F,3,11,71.1,Van,113,C,0,0,0,
0.583333333,45,7000,A,0,23895,Manager,S,Less High School,0,F,7,15,74.1,Sedan,114,C,0,0,0,
0.083333333,46,1000,D,0,32091,Blue Collar,M,Masters,0,F,4,0,71.8,Van,115,C,0,0,2,
0.416666667,40,5000,A,0,39831,Clerical,S,Bachelors,1,F,4,6,61.7,SUV,116,C,0,0,0,
0.083333333,82,1000,A,1,12234,Clerical,S,Less High School,0,M,1,10,71.3,Hatchback,117,C,0,0,0,
0.083333333,37,1000,B,0,51217,Lawyer,M,Masters,0,M,3,5,64,Hatchback,118,C,0,0,1,
0.583333333,51,7000,A,1,13044,Blue Collar,S,Bachelors,0,F,5,4,76.5,Van,119,C,0,0,0,
2.166666667,38,26000,B,0,62074,Clerical,M,Less High School,1,F,13,8,77.5,Station Wag,120,C,0,0,1,
1.25,43,15000,A,0,27002,Clerical,S,Less High School,1,F,14,9,75.6,Sedan,121,C,0,0,0,
1.5,35,18000,A,0,82587,Doctor,S,Bachelors,0,F,3,13,81.8,Station Wag,122,C,0,0,0,
0.25,31,3000,C,0,53049,Doctor,S,Less High School,1,M,9,10,77.3,Sports Car,123,C,0,0,2,
0.833333333,64,10000,A,0,15594,Doctor,M,High School,0,F,2,2,60.5,Hatchback,124,C,0,0,0,
1.083333333,22,13000,D,0,20147,Lawyer,M,High School,0,M,15,5,74.4,Station Wag,125,C,0,0,2,
0.5,32,6000,A,0,17274,Lawyer,S,Bachelors,0,F,0,2,61.2,Sports Car,126,C,0,0,0,
1.666666667,39,20000,A,0,5190,Blue Collar,M,Less High School,0,F,0,9,75.4,SUV,127,C,0,0,0,
1.75,43,21000,A,0,7091,Clerical,M,Masters,0,F,2,0,71.1,Van,128,C,0,0,0,
0.5,23,6000,A,0,5484,Home Maker,S,Masters,0,F,1,8,61.9,Sedan,129,C,0,0,0,
0.166666667,51,2000,B,0,8483,Blue Collar,S,Bachelors,0,F,4,12,70.4,Sedan,130,P,0,0,1,
1.5,62,18000,A,1,13304,Lawyer,S,Less High School,0,F,2,6,67.6,Sedan,131,P,0,0,0,
4,48,48000,B,0,37497,Home Maker,S,Masters,0,F,4,12,80.3,Station Wag,132,C,0,0,1,
1.916666667,41,23000,A,0,15234,Clerical,M,Masters,0,F,3,2,68,Sports Car,133,C,0,0,0,
0.916666667,21,11000,A,0,8744,Doctor,M,High School,1,F,11,15,73.1,Sports Car,134,C,0,0,0,
0.25,34,3000,B,0,106254,Blue Collar,S,High School,0,F,3,4,75.2,SUV,135,C,0,0,1,
0.25,39,3000,B,0,15334,Home Maker,S,Less High School,0,M,3,9,58.1,Sports Car,136,C,0,0,1,
0.083333333,39,1000,B,0,114360,Home Maker,S,Masters,1,M,5,10,68.7,SUV,137,C,0,0,1,
0.5,25,6000,A,0,38287,Doctor,S,High School,1,F,3,15,61.2,Hatchback,138,C,0,0,0,
0.166666667,44,2000,A,0,10750,Doctor,S,Less High School,1,M,3,0,68.1,SUV,139,C,0,0,0,
0.416666667,79,5000,A,0,50297,Home Maker,S,High School,0,F,0,14,77.9,SUV,140,C,0,0,0,
0.5,36,6000,B,1,94990,Home Maker,S,Less High School,0,F,5,3,67.6,SUV,141,C,0,0,1,
0.75,20,9000,D,0,13998,Lawyer,S,High School,0,F,7,1,74.6,Sports Car,142,C,0,0,2,
1.416666667,82,17000,A,0,15477,Clerical,S,High School,0,F,15,9,66.6,Van,143,P,0,0,0,
1.583333333,24,19000,C,1,15418,(missing),S,Bachelors,1,M,3,8,69.1,Van,144,C,0,0,2,
0.416666667,54,5000,A,1,94354,Lawyer,M,Masters,0,F,2,8,66.5,Hatchback,145,C,0,0,0,
1.5,82,18000,B,0,31419,Doctor,S,Bachelors,1,F,2,8,82.6,SUV,146,C,0,0,1,
4.416666667,41,53000,B,0,35570,Manager,S,Masters,0,F,5,6,70.4,Hatchback,147,C,0,0,1,
0.083333333,51,1000,A,0,9621,Doctor,S,Less High School,0,F,8,4,78.5,SUV,148,C,0,0,0,
2.916666667,59,35000,A,0,25553,Doctor,S,Bachelors,0,M,3,0,67.8,Van,149,C,0,0,0,
0.666666667,72,8000,A,1,42438,Doctor,M,Masters,0,M,5,6,71.1,Sedan,150,P,0,0,0,
0.333333333,59,4000,B,1,12948,Clerical,S,Masters,1,F,1,4,70,Station Wag,151,C,0,0,1,
0.416666667,45,5000,B,1,101328,Doctor,S,Bachelors,1,F,5,5,77,Van,152,C,0,0,1,
0.166666667,35,2000,B,0,16430,Blue Collar,M,High School,0,F,2,9,58.4,Sports Car,153,C,0,0,1,
0.833333333,60,10000,B,0,31798,Blue Collar,S,Less High School,0,F,8,6,70.5,Hatchback,154,C,0,0,1,
0.75,68,9000,A,0,24270,Home Maker,S,High School,1,M,1,9,69.1,Van,155,C,0,0,0,
0.75,43,9000,A,0,16976,Lawyer,S,Masters,0,F,4,9,76.6,Sports Car,156,C,0,0,0,
0.5,20,6000,A,1,133125,Doctor,S,Masters,0,F,6,0,71.9,Sedan,157,C,0,0,0,
2.666666667,48,32000,A,1,5938,Clerical,S,Masters,0,M,5,3,78.9,SUV,158,C,0,0,0,
0.5,44,6000,A,0,42600,Doctor,M,Less High School,1,F,5,6,59,Station Wag,159,C,0,0,0,
0.416666667,23,5000,A,0,26175,Clerical,S,Less High School,1,F,9,11,72.1,SUV,160,C,0,0,0,
0.666666667,41,8000,A,0,32069,Clerical,M,High School,1,F,5,6,68.1,Van,161,C,0,0,0,
0.416666667,51,5000,A,0,26476,Home Maker,S,High School,0,M,9,5,73.6,Hatchback,162,C,0,0,0,
0.666666667,33,8000,A,0,30448,Clerical,M,Masters,0,F,4,8,75.5,Sports Car,163,C,0,0,0,
1.5,24,18000,B,0,42787,Lawyer,S,Masters,1,F,1,14,71.6,Sedan,164,C,0,0,1,
0.083333333,35,1000,A,0,7899,Lawyer,S,Masters,0,M,7,6,72.2,Hatchback,165,C,0,0,0,
0.416666667,39,5000,A,0,59395,Blue Collar,M,Masters,1,F,10,5,70.5,Van,166,C,0,0,0,
1.916666667,37,23000,A,0,44881,Clerical,S,High School,1,F,4,2,64.7,Sports Car,167,C,0,0,0,
1.333333333,48,16000,D,0,29093,Clerical,S,Masters,0,F,5,7,69.8,Sports Car,168,C,0,0,2,
0.083333333,24,1000,A,0,27481,Clerical,M,Bachelors,0,F,2,2,70.8,Sports Car,169,C,0,0,0,
0.166666667,40,2000,D,0,25737,Home Maker,S,High School,1,M,7,0,72.8,SUV,170,C,0,0,2,
0.583333333,60,7000,D,0,8345,Blue Collar,M,Masters,0,F,2,7,76.3,Sedan,171,C,0,0,2,
3.25,31,39000,D,0,82172,Manager,M,High School,0,F,3,6,71.4,Hatchback,172,C,0,0,2,
0.5,48,6000,A,0,76624,Blue Collar,S,Less High School,0,F,7,0,69.3,Van,173,C,0,0,0,
0.416666667,37,5000,A,0,10419,Lawyer,S,Bachelors,1,M,5,10,66.2,Sedan,174,C,0,0,0,
1.666666667,42,20000,A,0,12588,Doctor,S,Bachelors,1,F,5,7,76.1,Sports Car,175,C,0,0,0,
3.916666667,45,47000,D,1,66136,Home Maker,S,Bachelors,1,M,7,5,74.5,Sedan,176,C,0,0,2,
0.083333333,32,1000,B,0,20501,Clerical,S,Bachelors,1,F,3,2,70.5,Station Wag,177,C,0,0,1,
0.416666667,40,5000,B,0,7930,Clerical,M,Bachelors,0,F,3,13,76.2,Van,178,C,0,0,1,
3.583333333,50,43000,D,0,37057,Clerical,S,Less High School,0,F,3,2,71.4,Station Wag,179,C,0,0,2,
0.416666667,55,5000,A,0,36954,Blue Collar,M,Bachelors,1,F,4,13,73.1,SUV,180,C,0,0,0,
0.333333333,55,4000,A,0,14871,Lawyer,S,Less High School,0,F,5,2,64.8,Station Wag,181,P,0,0,0,
0.083333333,30,1000,B,0,73261,Blue Collar,S,Masters,0,M,13,9,73.2,Hatchback,182,C,0,0,1,
0.166666667,44,2000,C,0,59508,Manager,M,High School,1,F,7,14,74.6,SUV,183,C,0,0,2,
4.5,39,54000,A,0,25851,Blue Collar,S,High School,0,F,7,5,64.4,Van,184,C,0,0,0,
0.166666667,44,2000,A,0,36044,Clerical,S,High School,1,F,7,4,62.9,Sedan,185,C,0,0,0,
0.5,52,6000,B,0,53564,Doctor,M,High School,0,F,3,2,74.3,Van,186,C,0,0,1,
0.25,42,3000,A,0,6859,Doctor,M,Bachelors,0,F,4,9,70.9,Sedan,187,C,0,0,0,
0.5,31,6000,B,0,29918,Blue Collar,S,Masters,0,F,0,8,53.9,Van,188,C,0,0,1,
0.5,63,6000,B,0,17683,Blue Collar,M,Less High School,1,F,8,0,76.5,Sports Car,189,C,0,0,1,
3.5,33,42000,A,0,12636,Doctor,S,Less High School,1,M,4,5,70.2,Van,190,C,0,0,0,
1.333333333,21,16000,A,0,38939,Clerical,M,Masters,1,F,4,9,78.9,Hatchback,191,C,0,0,0,
0.583333333,42,7000,B,0,22173,Clerical,S,Masters,1,F,5,15,75.9,SUV,192,C,0,0,1,
0.833333333,40,10000,A,0,6702,Clerical,S,Masters,0,F,1,6,81.2,Sports Car,193,C,0,0,0,
0.833333333,17,10000,A,0,50345,Clerical,S,Less High School,0,F,2,14,75.5,Hatchback,194,C,0,0,0,
0.166666667,44,2000,C,0,51935,Doctor,S,Masters,1,F,0,7,71.9,Van,195,C,0,0,2,
0.25,44,3000,A,0,13262,Blue Collar,S,Masters,0,F,6,9,58.9,Sedan,196,C,0,0,0,
1.666666667,29,20000,A,0,18887,Doctor,M,Less High School,0,M,4,0,69.5,Van,197,C,0,0,0,
0.416666667,48,5000,A,1,69445,Doctor,S,Masters,0,F,4,4,74.2,Van,198,P,0,0,0,
3.25,81,39000,A,0,27460,Clerical,M,Bachelors,1,F,11,11,51.3,Van,199,C,0,0,0,
1.333333333,46,16000,A,0,16152,Blue Collar,M,Masters,0,F,4,9,71.5,Hatchback,200,C,0,0,0,
1,53,12000,B,0,32195,Blue Collar,S,High School,0,F,5,9,73,Van,201,C,0,0,1,
0.5,42,6000,A,0,7683,Clerical,M,Less High School,0,F,2,1,71.4,Hatchback,202,C,0,0,0,
0.333333333,23,4000,B,0,61610,Blue Collar,S,Bachelors,0,M,4,15,66.4,Van,203,P,0,0,1,
0.416666667,37,5000,A,0,91836,Clerical,S,Masters,0,F,0,8,62.7,Van,204,P,0,0,0,
0.333333333,19,4000,C,0,10304,Clerical,S,Bachelors,0,M,1,13,74.5,Van,205,C,0,0,2,
1.666666667,22,20000,D,1,30492,Clerical,M,Bachelors,0,F,0,2,65.1,SUV,206,C,0,0,2,
1.916666667,43,23000,A,0,6335,Blue Collar,S,Less High School,0,M,0,1,73.2,SUV,207,C,0,0,0,
2.25,68,27000,C,0,19937,Home Maker,M,Bachelors,0,F,3,12,67.6,Van,208,C,0,0,2,
0.5,17,6000,A,0,24458,Clerical,M,Masters,0,M,4,15,77.6,Van,209,C,0,0,0,
0.416666667,17,5000,A,0,70314,Blue Collar,S,Less High School,0,F,13,9,72,Sports Car,210,C,0,0,0,
0.916666667,43,11000,A,0,41539,Clerical,S,Less High School,0,F,1,6,83.2,Hatchback,211,C,0,0,0,
0.083333333,46,1000,B,0,27474,Clerical,S,Less High School,0,F,3,5,73,Sports Car,212,C,0,0,1,
1.166666667,44,14000,A,1,18725,Blue Collar,M,High School,1,F,11,8,74,Station Wag,213,C,0,0,0,
1,56,12000,B,0,9201,Home Maker,M,Bachelors,0,F,4,14,73.7,Van,214,C,0,0,1,
0.25,61,3000,A,0,9206,Clerical,M,High School,1,F,5,8,68.1,Van,215,C,0,0,0,
3.916666667,50,47000,B,1,30224,Lawyer,S,High School,0,F,12,4,61.1,Sports Car,216,C,0,0,1,
0.666666667,29,8000,B,0,28045,Doctor,M,Masters,1,F,2,4,71.2,Station Wag,217,C,0,0,1,
0.666666667,31,8000,C,0,187546,Home Maker,S,Less High School,0,F,4,6,68.8,Sports Car,218,P,0,0,2,
4.416666667,38,53000,A,0,5038,Blue Collar,M,Less High School,0,F,14,15,70.6,Van,219,C,0,0,0,
0.416666667,31,5000,A,0,7022,Home Maker,S,High School,1,F,1,11,61.2,Hatchback,220,C,0,0,0,
2.166666667,51,26000,A,0,9308,Clerical,S,High School,1,F,3,14,76.9,SUV,221,C,0,0,0,
2.083333333,24,25000,A,0,37234,Blue Collar,S,High School,0,F,2,8,72,Station Wag,222,C,0,0,0,
0.166666667,36,2000,A,1,34869,(missing),S,High School,0,F,3,1,68.2,Sports Car,223,C,0,0,0,
0.166666667,34,2000,A,0,9743,Home Maker,S,Masters,1,F,5,0,74.4,Hatchback,224,C,0,0,0,
0.166666667,49,2000,A,1,36243,Doctor,S,Less High School,0,F,3,4,66.3,SUV,225,C,0,0,0,
0.166666667,17,2000,B,0,14797,Doctor,M,Less High School,0,F,2,5,60.8,Van,226,C,0,0,1,
0.416666667,70,5000,A,0,54217,Lawyer,S,Masters,0,F,10,5,76.9,SUV,227,C,0,0,0,
0.25,31,3000,A,0,10160,Clerical,S,Masters,0,F,1,13,72.8,SUV,228,C,0,0,0,
0.333333333,21,4000,A,0,41844,Clerical,S,Less High School,0,F,2,12,76,Van,229,C,0,0,0,
0.166666667,39,2000,A,0,22880,Clerical,S,Bachelors,1,F,5,10,73.5,Hatchback,230,C,0,0,0,
1.416666667,43,17000,B,0,16105,Doctor,M,High School,0,F,3,12,69.9,Sports Car,231,C,0,0,1,
1,31,12000,D,0,5898,Blue Collar,S,Masters,0,F,2,13,71.4,Van,232,C,0,0,2,
1,49,12000,A,0,15515,Clerical,S,High School,0,F,1,8,62.5,Sports Car,233,C,0,0,0,
0.333333333,37,4000,A,0,24205,Clerical,M,Less High School,1,F,4,9,70.6,Van,234,C,0,0,0,
0.416666667,35,5000,A,0,57569,Doctor,S,High School,1,M,3,8,69.1,SUV,235,C,0,0,0,
1.416666667,22,17000,B,0,27033,Lawyer,S,Masters,0,F,4,9,59.2,Van,236,C,0,0,1,
0.416666667,52,5000,B,0,12704,Doctor,S,Bachelors,0,F,4,8,60.6,Van,237,C,0,0,1,
0.25,44,3000,A,0,11789,Blue Collar,M,Masters,1,M,5,0,79.6,Sedan,238,C,0,0,0,
0.25,38,3000,A,0,8098,Blue Collar,M,Less High School,0,F,11,2,72.5,Sedan,239,C,0,0,0,
1,48,12000,B,1,15490,Clerical,S,Masters,0,F,4,12,67.8,SUV,240,C,0,0,1,
1.416666667,69,17000,B,0,5757,Lawyer,S,High School,0,F,4,14,60.8,Van,241,C,0,0,1,
0.75,44,9000,A,0,13367,Clerical,M,Bachelors,1,M,5,5,71.8,Sedan,242,C,0,0,0,
