acct_number,claim_indicator,new_driver,bundle,ever_deferred_payment,no_fault_state,marital_status,vehicle_history,num_auto_drivers,num_claims,deductible,liability_limit,num_prior_claims,claim_amt,income,policy_age_mos,owner_age,vehicle_age,auto_points,credit_score,avg_claim,claim_indicator_type,marital_status_type,vehicle_history_type,deductible_level,liability_limit_level,channel,channel_type
45,0,0,1,0,0,2,1,1,0,2,6,0,0,17696,9,40,2,2,655,0,no_claim,divorced,potential_damage,250,350000,2,crosssell
46,0,0,1,0,0,2,2,2,0,2,6,0,0,13742,6,19,1,3,660,0,no_claim,divorced,severe_damage,250,350000,3,affinity
47,0,0,0,0,0,0,0,1,0,4,1,2,0,29986,8,22,5,4,679,0,no_claim,single,no_damage,1000,100000,0,website
48,0,0,0,0,0,1,0,1,0,1,1,1,0,37133,7,70,6,1,792,0,no_claim,married,no_damage,100,100000,3,affinity
49,0,0,0,0,0,0,2,1,0,1,0,1,0,13696,8,18,4,5,612,0,no_claim,single,severe_damage,100,50000,1,agent
50,0,0,1,1,0,1,0,1,0,1,4,0,0,12964,25,34,2,3,675,0,no_claim,married,no_damage,100,250000,0,website
51,0,0,0,1,0,2,1,2,0,2,2,0,0,30687,9,42,9,13,751,0,no_claim,divorced,potential_damage,250,150000,1,agent
52,0,0,0,1,0,0,0,1,0,2,5,0,0,37530,17,45,3,3,716,0,no_claim,single,no_damage,250,300000,3,affinity
53,0,0,1,0,0,1,1,1,0,3,5,3,0,38072,1,23,7,1,693,0,no_claim,married,potential_damage,500,300000,1,agent
54,0,0,0,0,0,0,1,1,0,3,3,0,0,68411,13,45,9,5,707,0,no_claim,single,potential_damage,500,200000,1,agent
55,0,0,0,0,1,0,0,2,0,1,2,0,0,42244,5,49,4,1,696,0,no_claim,single,no_damage,100,150000,0,website
56,0,0,1,0,0,0,2,1,0,5,7,0,0,28957,3,37,3,3,771,0,no_claim,single,severe_damage,1500,500000,2,crosssell
57,0,0,0,0,0,1,1,1,0,3,2,0,0,9687,43,38,2,14,765,0,no_claim,married,potential_damage,500,150000,3,affinity
58,0,0,1,0,0,0,0,2,0,5,3,6,0,34248,21,51,4,2,670,0,no_claim,single,no_damage,1500,200000,2,crosssell
59,0,0,1,0,0,0,0,1,0,2,5,1,0,39747,1,39,7,2,694,0,no_claim,single,no_damage,250,300000,3,affinity
60,0,1,1,0,0,0,2,2,0,4,6,0,0,79963,6,49,1,2,695,0,no_claim,single,severe_damage,1000,350000,0,website
61,0,0,1,0,1,0,0,2,0,2,2,2,0,18291,1,43,14,2,743,0,no_claim,single,no_damage,250,150000,3,affinity
62,0,0,0,1,0,0,0,1,0,2,5,0,0,167912,7,63,8,2,750,0,no_claim,single,no_damage,250,300000,3,affinity
63,0,0,1,0,0,0,1,1,0,5,1,1,0,7208,10,57,1,2,723,0,no_claim,single,potential_damage,1500,100000,2,crosssell
64,0,1,0,0,0,1,0,1,0,2,7,0,0,192055,14,33,15,4,658,0,no_claim,married,no_damage,250,500000,2,crosssell
65,0,0,0,0,0,1,0,2,0,4,7,3,0,36298,20,31,9,0,723,0,no_claim,married,no_damage,1000,500000,2,crosssell
66,0,0,1,0,0,0,0,1,0,3,2,1,0,17618,4,56,14,3,799,0,no_claim,single,no_damage,500,150000,2,crosssell
67,0,1,0,0,0,0,2,1,0,2,6,0,0,36677,4,68,6,1,617,0,no_claim,single,severe_damage,250,350000,0,website
68,0,1,0,0,0,0,0,2,0,1,2,0,0,123920,16,53,7,4,750,0,no_claim,single,no_damage,100,150000,3,affinity
69,0,0,0,0,0,0,0,2,0,2,6,2,0,9836,7,70,9,4,686,0,no_claim,single,no_damage,250,350000,0,website
70,0,1,1,1,0,0,0,1,0,2,3,2,0,11272,1,19,0,1,722,0,no_claim,single,no_damage,250,200000,2,crosssell
71,0,0,1,0,1,0,2,1,0,2,4,1,0,10067,1,56,11,2,666,0,no_claim,single,severe_damage,250,250000,1,agent
72,0,0,1,0,0,0,0,2,0,3,7,2,0,223163,16,16,2,0,775,0,no_claim,single,no_damage,500,500000,0,website
73,0,0,1,0,0,1,1,2,0,6,3,0,0,34883,2,29,2,3,690,0,no_claim,married,potential_damage,2000,200000,3,affinity
74,0,0,1,0,0,0,0,1,0,3,3,0,0,38757,4,39,7,1,795,0,no_claim,single,no_damage,500,200000,2,crosssell
75,0,0,1,0,0,0,0,1,0,2,6,4,0,38957,18,68,2,5,731,0,no_claim,single,no_damage,250,350000,3,affinity
76,0,0,1,0,0,0,3,1,0,2,6,0,0,63522,5,29,5,0,632,0,no_claim,single,salvage,250,350000,0,website
77,0,0,0,0,0,1,1,1,0,5,6,1,0,56576,6,39,2,4,792,0,no_claim,married,potential_damage,1500,350000,0,website
78,0,1,1,0,0,1,0,2,0,4,3,0,0,35144,7,67,7,2,660,0,no_claim,married,no_damage,1000,200000,3,affinity
79,0,0,1,1,1,0,0,1,0,1,3,2,0,23705,1,32,12,6,718,0,no_claim,single,no_damage,100,200000,0,website
80,0,1,0,0,0,1,0,2,0,6,4,0,0,6085,5,32,14,4,651,0,no_claim,married,no_damage,2000,250000,0,website
81,0,0,1,1,0,1,1,2,0,1,2,3,0,70738,7,24,14,12,707,0,no_claim,married,potential_damage,100,150000,0,website
82,0,1,1,0,0,0,1,1,0,4,1,0,0,20744,6,43,3,2,677,0,no_claim,single,potential_damage,1000,100000,2,crosssell
83,0,1,0,1,0,0,3,2,0,3,0,0,0,96496,23,53,7,1,681,0,no_claim,single,salvage,500,50000,0,website
84,0,0,1,0,0,0,0,2,0,6,6,1,0,11505,10,38,6,1,654,0,no_claim,single,no_damage,2000,350000,2,crosssell
85,0,0,0,0,0,0,0,1,0,2,3,6,0,39008,34,53,7,2,651,0,no_claim,single,no_damage,250,200000,0,website
86,0,0,0,0,0,2,0,1,0,3,2,0,0,18918,11,33,8,1,713,0,no_claim,divorced,no_damage,500,150000,2,crosssell
87,0,0,1,0,0,1,0,1,0,4,7,2,0,24274,8,47,11,0,663,0,no_claim,married,no_damage,1000,500000,2,crosssell
88,0,1,1,1,0,2,0,1,0,2,2,3,0,146290,11,31,14,5,836,0,no_claim,divorced,no_damage,250,150000,1,agent
89,0,0,0,0,0,1,0,1,0,3,2,0,0,29523,12,23,5,4,812,0,no_claim,married,no_damage,500,150000,3,affinity
90,0,0,0,0,1,0,0,4,0,3,4,0,0,11750,5,25,0,5,770,0,no_claim,single,no_damage,500,250000,1,agent
91,0,0,0,0,0,0,0,1,0,4,6,3,0,13519,3,48,10,2,665,0,no_claim,single,no_damage,1000,350000,1,agent
92,0,0,0,0,0,0,0,1,0,3,3,2,0,10653,23,37,9,5,667,0,no_claim,single,no_damage,500,200000,0,website
93,0,0,0,0,1,1,0,1,0,1,0,0,0,59728,9,43,7,5,766,0,no_claim,married,no_damage,100,50000,1,agent
94,0,1,0,1,0,1,0,2,0,3,1,2,0,17370,22,23,8,4,740,0,no_claim,married,no_damage,500,100000,1,agent
95,0,1,0,0,0,1,0,1,0,2,0,2,0,31079,4,41,12,0,727,0,no_claim,married,no_damage,250,50000,1,agent
96,0,0,0,0,0,0,1,2,0,3,7,1,0,51290,1,39,7,3,682,0,no_claim,single,potential_damage,500,500000,1,agent
97,0,0,0,0,1,1,1,1,0,4,2,1,0,16922,45,41,5,1,776,0,no_claim,married,potential_damage,1000,150000,2,crosssell
98,0,1,0,0,0,0,1,1,0,2,2,0,0,36103,5,24,4,5,761,0,no_claim,single,potential_damage,250,150000,2,crosssell
99,0,0,1,0,0,0,0,1,0,1,7,0,0,16473,18,36,11,2,586,0,no_claim,single,no_damage,100,500000,3,affinity
100,0,0,0,1,0,1,0,1,0,1,0,0,0,15643,8,39,4,2,737,0,no_claim,married,no_damage,100,50000,0,website
101,0,0,0,0,1,0,1,1,0,7,5,2,0,14278,9,43,0,0,767,0,no_claim,single,potential_damage,3000,300000,3,affinity
102,0,0,0,0,0,1,0,1,0,2,7,0,0,14993,7,18,9,4,732,0,no_claim,married,no_damage,250,500000,3,affinity
103,0,1,1,0,0,0,0,1,0,1,0,0,0,7252,8,63,13,2,691,0,no_claim,single,no_damage,100,50000,3,affinity
104,0,0,0,0,0,0,1,2,0,3,2,2,0,91538,7,71,13,3,742,0,no_claim,single,potential_damage,500,150000,1,agent
105,0,0,0,0,0,1,0,1,0,4,0,2,0,26986,4,37,5,3,761,0,no_claim,married,no_damage,1000,50000,2,crosssell
106,0,0,0,0,0,0,1,1,0,0,1,2,0,55732,6,45,8,8,737,0,no_claim,single,potential_damage,0,100000,0,website
107,0,0,1,0,0,0,0,2,0,2,4,2,0,11066,5,16,9,2,778,0,no_claim,single,no_damage,250,250000,2,crosssell
108,0,0,1,0,0,0,1,1,0,2,6,0,0,15233,17,37,5,9,696,0,no_claim,single,potential_damage,250,350000,0,website
109,0,0,0,0,0,0,2,1,0,2,2,2,0,13771,3,16,12,4,749,0,no_claim,single,severe_damage,250,150000,3,affinity
110,0,0,1,0,0,0,2,1,0,1,4,2,0,9857,15,19,8,4,657,0,no_claim,single,severe_damage,100,250000,0,website
111,0,0,0,0,0,1,0,2,0,5,5,1,0,30865,7,47,5,5,719,0,no_claim,married,no_damage,1500,300000,2,crosssell
112,0,0,0,0,0,0,0,1,0,2,2,3,0,38984,5,41,8,0,657,0,no_claim,single,no_damage,250,150000,1,agent
113,0,1,0,0,0,0,0,2,0,2,7,0,0,23881,5,30,11,3,711,0,no_claim,single,no_damage,250,500000,2,crosssell
114,0,0,0,0,0,0,0,1,0,6,2,4,0,23895,7,45,15,7,741,0,no_claim,single,no_damage,2000,150000,1,agent
115,0,0,0,0,0,1,2,1,0,1,5,2,0,32091,1,46,0,4,718,0,no_claim,married,severe_damage,100,300000,3,affinity
116,0,0,1,0,0,2,0,1,0,2,1,0,0,39831,5,40,6,4,617,0,no_claim,divorced,no_damage,250,100000,0,website
117,0,1,0,1,0,0,0,1,0,2,0,0,0,12234,1,82,10,1,713,0,no_claim,single,no_damage,250,50000,1,agent
118,0,0,0,1,0,1,1,1,0,5,0,3,0,51217,1,37,5,3,640,0,no_claim,married,potential_damage,1500,50000,3,affinity
119,0,1,0,0,0,0,0,1,0,1,7,0,0,13044,7,51,4,5,765,0,no_claim,single,no_damage,100,500000,0,website
120,0,0,1,0,0,1,1,1,0,2,4,1,0,62074,26,38,8,13,775,0,no_claim,married,potential_damage,250,250000,1,agent
121,0,0,1,0,0,0,0,2,0,2,2,1,0,27002,15,43,9,14,756,0,no_claim,single,no_damage,250,150000,1,agent
122,0,0,0,0,0,0,0,1,0,3,4,1,0,82587,18,35,13,3,818,0,no_claim,single,no_damage,500,250000,0,website
123,0,0,1,1,0,0,3,1,0,3,3,0,0,53049,3,31,10,9,773,0,no_claim,single,salvage,500,200000,1,agent
124,0,0,0,0,0,1,0,1,0,3,0,3,0,15594,10,64,2,2,605,0,no_claim,married,no_damage,500,50000,2,crosssell
125,0,0,0,1,0,1,2,2,0,5,4,1,0,20147,13,22,5,15,744,0,no_claim,married,severe_damage,1500,250000,2,crosssell
126,0,0,0,0,0,0,0,1,0,5,3,0,0,17274,6,32,2,0,612,0,no_claim,single,no_damage,1500,200000,0,website
127,0,0,0,0,0,1,0,1,0,1,1,0,0,5190,20,39,9,0,754,0,no_claim,married,no_damage,100,100000,1,agent
128,0,0,0,0,0,1,0,2,0,2,6,0,0,7091,21,43,0,2,711,0,no_claim,married,no_damage,250,350000,3,affinity
129,0,0,0,0,0,0,0,1,0,4,2,1,0,5484,6,23,8,1,619,0,no_claim,single,no_damage,1000,150000,3,affinity
130,0,0,0,0,1,0,1,1,0,1,2,2,0,8483,2,51,12,4,704,0,no_claim,single,potential_damage,100,150000,0,website
131,0,1,0,0,1,0,0,1,0,5,2,1,0,13304,18,62,6,2,676,0,no_claim,single,no_damage,1500,150000,1,agent
132,0,0,0,0,0,0,1,1,0,4,4,0,0,37497,48,48,12,4,803,0,no_claim,single,potential_damage,1000,250000,3,affinity
133,0,0,0,0,0,1,0,2,0,2,3,0,0,15234,23,41,2,3,680,0,no_claim,married,no_damage,250,200000,3,affinity
134,0,0,1,0,0,1,0,1,0,3,3,2,0,8744,11,21,15,11,731,0,no_claim,married,no_damage,500,200000,2,crosssell
135,0,0,0,0,0,0,1,1,0,1,1,0,0,106254,3,34,4,3,752,0,no_claim,single,potential_damage,100,100000,2,crosssell
136,0,0,0,1,0,0,1,1,0,4,3,1,0,15334,3,39,9,3,581,0,no_claim,single,potential_damage,1000,200000,1,agent
137,0,0,1,1,0,0,1,2,0,4,1,3,0,114360,1,39,10,5,687,0,no_claim,single,potential_damage,1000,100000,3,affinity
138,0,0,1,0,0,0,0,2,0,3,0,0,0,38287,6,25,15,3,612,0,no_claim,single,no_damage,500,50000,2,crosssell
139,0,0,1,1,0,0,0,1,0,3,1,3,0,10750,2,44,0,3,681,0,no_claim,single,no_damage,500,100000,1,agent
140,0,0,0,0,0,0,0,2,0,4,1,3,0,50297,5,79,14,0,779,0,no_claim,single,no_damage,1000,100000,2,crosssell
141,0,1,0,0,0,0,1,2,0,4,1,5,0,94990,6,36,3,5,676,0,no_claim,single,potential_damage,1000,100000,1,agent
142,0,0,0,0,0,0,2,1,0,5,3,2,0,13998,9,20,1,7,746,0,no_claim,single,severe_damage,1500,200000,2,crosssell
143,0,0,0,0,1,0,0,2,0,2,7,2,0,15477,17,82,9,15,666,0,no_claim,single,no_damage,250,500000,2,crosssell
144,0,1,1,1,0,0,3,1,0,0,7,1,0,15418,19,24,8,3,691,0,no_claim,single,salvage,0,500000,0,website
145,0,1,0,0,0,1,0,1,0,5,0,2,0,94354,5,54,8,2,665,0,no_claim,married,no_damage,1500,50000,3,affinity
146,0,0,1,0,0,0,1,1,0,3,1,2,0,31419,18,82,8,2,826,0,no_claim,single,potential_damage,500,100000,0,website
147,0,0,0,0,0,0,1,2,0,6,0,1,0,35570,53,41,6,5,704,0,no_claim,single,potential_damage,2000,50000,3,affinity
148,0,0,0,0,0,0,0,1,0,3,1,0,0,9621,1,51,4,8,785,0,no_claim,single,no_damage,500,100000,1,agent
149,0,0,0,1,0,0,0,1,0,3,5,2,0,25553,35,59,0,3,678,0,no_claim,single,no_damage,500,300000,0,website
150,0,1,0,1,1,1,0,1,0,3,2,4,0,42438,8,72,6,5,711,0,no_claim,married,no_damage,500,150000,3,affinity
151,0,1,1,0,0,0,1,1,0,2,4,1,0,12948,4,59,4,1,700,0,no_claim,single,potential_damage,250,250000,3,affinity
152,0,1,1,0,0,0,1,1,0,3,5,0,0,101328,5,45,5,5,770,0,no_claim,single,potential_damage,500,300000,0,website
153,0,0,0,0,0,1,1,5,0,1,3,3,0,16430,2,35,9,2,584,0,no_claim,married,potential_damage,100,200000,2,crosssell
154,0,0,0,0,0,0,1,1,0,1,0,2,0,31798,10,60,6,8,705,0,no_claim,single,potential_damage,100,50000,1,agent
155,0,0,1,1,0,0,0,2,0,4,7,0,0,24270,9,68,9,1,691,0,no_claim,single,no_damage,1000,500000,2,crosssell
156,0,0,0,0,0,0,0,2,0,5,3,1,0,16976,9,43,9,4,766,0,no_claim,single,no_damage,1500,200000,3,affinity
157,0,1,0,0,0,2,0,1,0,3,2,2,0,133125,6,20,0,6,719,0,no_claim,divorced,no_damage,500,150000,3,affinity
158,0,1,0,1,0,0,0,1,0,2,1,2,0,5938,32,48,3,5,789,0,no_claim,single,no_damage,250,100000,3,affinity
159,0,0,1,0,0,1,0,1,0,3,4,0,0,42600,6,44,6,5,590,0,no_claim,married,no_damage,500,250000,1,agent
160,0,0,1,0,0,0,0,4,0,2,1,0,0,26175,5,23,11,9,721,0,no_claim,single,no_damage,250,100000,1,agent
161,0,0,1,0,0,1,0,1,0,2,6,2,0,32069,8,41,6,5,681,0,no_claim,married,no_damage,250,350000,2,crosssell
162,0,0,0,1,0,0,0,2,0,4,0,2,0,26476,5,51,5,9,736,0,no_claim,single,no_damage,1000,50000,2,crosssell
163,0,0,0,0,0,1,0,2,0,2,3,1,0,30448,8,33,8,4,755,0,no_claim,married,no_damage,250,200000,3,affinity
164,0,0,1,0,0,0,1,2,0,5,2,2,0,42787,18,24,14,1,716,0,no_claim,single,potential_damage,1500,150000,3,affinity
165,0,0,0,1,0,0,0,1,0,5,0,0,0,7899,1,35,6,7,722,0,no_claim,single,no_damage,1500,50000,3,affinity
166,0,0,1,0,0,1,0,2,0,1,5,1,0,59395,5,39,5,10,705,0,no_claim,married,no_damage,100,300000,3,affinity
167,0,0,1,0,0,2,0,1,0,2,3,1,0,44881,23,37,2,4,647,0,no_claim,divorced,no_damage,250,200000,2,crosssell
168,0,0,0,0,0,0,2,2,0,2,3,1,0,29093,16,48,7,5,698,0,no_claim,single,severe_damage,250,200000,3,affinity
169,0,0,0,0,0,1,0,1,0,2,3,3,0,27481,1,24,2,2,708,0,no_claim,married,no_damage,250,200000,0,website
170,0,0,1,1,0,0,2,2,0,4,1,0,0,25737,2,40,0,7,728,0,no_claim,single,severe_damage,1000,100000,2,crosssell
171,0,0,0,0,0,1,2,1,0,1,2,0,0,8345,7,60,7,2,763,0,no_claim,married,severe_damage,100,150000,3,affinity
172,0,0,0,0,0,1,2,1,0,6,0,1,0,82172,39,31,6,3,714,0,no_claim,married,severe_damage,2000,50000,2,crosssell
173,0,0,0,0,0,0,0,1,0,1,5,6,0,76624,6,48,0,7,693,0,no_claim,single,no_damage,100,300000,1,agent
174,0,0,1,1,0,0,0,1,0,5,2,1,0,10419,5,37,10,5,662,0,no_claim,single,no_damage,1500,150000,0,website
175,0,0,1,0,0,0,0,1,0,3,3,2,0,12588,20,42,7,5,761,0,no_claim,single,no_damage,500,200000,0,website
176,0,1,1,1,0,0,2,1,0,4,2,6,0,66136,47,45,5,7,745,0,no_claim,single,severe_damage,1000,150000,0,website
177,0,0,1,0,0,0,1,2,0,2,4,0,0,20501,1,32,2,3,705,0,no_claim,single,potential_damage,250,250000,0,website
178,0,0,0,0,0,1,1,1,0,2,5,3,0,7930,5,40,13,3,762,0,no_claim,married,potential_damage,250,300000,0,website
179,0,0,0,0,0,0,2,2,0,2,4,0,0,37057,43,50,2,3,714,0,no_claim,single,severe_damage,250,250000,1,agent
180,0,0,1,0,0,1,0,1,0,1,1,2,0,36954,5,55,13,4,731,0,no_claim,married,no_damage,100,100000,0,website
181,0,0,0,0,1,0,0,1,0,5,4,0,0,14871,4,55,2,5,648,0,no_claim,single,no_damage,1500,250000,1,agent
182,0,0,0,1,0,0,1,1,0,1,0,0,0,73261,1,30,9,13,732,0,no_claim,single,potential_damage,100,50000,3,affinity
183,0,0,1,0,0,1,3,1,0,6,1,1,0,59508,2,44,14,7,746,0,no_claim,married,salvage,2000,100000,2,crosssell
184,0,0,0,0,0,0,0,1,0,1,6,4,0,25851,54,39,5,7,644,0,no_claim,single,no_damage,100,350000,2,crosssell
185,0,0,1,0,0,0,0,2,0,2,2,0,0,36044,2,44,4,7,629,0,no_claim,single,no_damage,250,150000,2,crosssell
186,0,0,0,0,0,1,1,1,0,3,5,0,0,53564,6,52,2,3,743,0,no_claim,married,potential_damage,500,300000,2,crosssell
187,0,0,0,0,0,1,0,1,0,3,2,1,0,6859,3,42,9,4,709,0,no_claim,married,no_damage,500,150000,0,website
188,0,0,0,0,0,0,1,1,0,1,6,1,0,29918,6,31,8,0,539,0,no_claim,single,potential_damage,100,350000,3,affinity
189,0,0,1,0,0,1,1,2,0,1,3,1,0,17683,6,63,0,8,765,0,no_claim,married,potential_damage,100,200000,1,agent
190,0,0,1,1,0,0,0,2,0,3,7,0,0,12636,42,33,5,4,702,0,no_claim,single,no_damage,500,500000,1,agent
191,0,0,1,0,0,1,0,1,0,2,0,0,0,38939,16,21,9,4,789,0,no_claim,married,no_damage,250,50000,3,affinity
192,0,0,1,0,0,2,1,1,0,2,1,1,0,22173,7,42,15,5,759,0,no_claim,divorced,potential_damage,250,100000,3,affinity
193,0,0,0,0,0,0,0,1,0,2,3,0,0,6702,10,40,6,1,812,0,no_claim,single,no_damage,250,200000,3,affinity
194,0,0,0,0,0,0,0,2,0,2,0,1,0,50345,10,17,14,2,755,0,no_claim,single,no_damage,250,50000,1,agent
195,0,0,1,0,0,0,3,1,0,3,6,0,0,51935,2,44,7,0,719,0,no_claim,single,salvage,500,350000,3,affinity
196,0,0,0,0,0,0,0,1,0,1,2,6,0,13262,3,44,9,6,589,0,no_claim,single,no_damage,100,150000,3,affinity
197,0,0,0,1,0,1,0,2,0,3,7,1,0,18887,20,29,0,4,695,0,no_claim,married,no_damage,500,500000,1,agent
198,0,1,0,0,1,2,0,2,0,3,6,2,0,69445,5,48,4,4,742,0,no_claim,divorced,no_damage,500,350000,3,affinity
199,0,0,1,0,0,1,0,1,0,2,6,5,0,27460,39,81,11,11,513,0,no_claim,married,no_damage,250,350000,0,website
200,0,0,0,0,0,1,0,1,0,1,0,2,0,16152,16,46,9,4,715,0,no_claim,married,no_damage,100,50000,3,affinity
201,0,0,0,0,0,0,1,1,0,1,5,2,0,32195,12,53,9,5,730,0,no_claim,single,potential_damage,100,300000,2,crosssell
202,0,0,0,0,0,1,0,1,0,2,0,0,0,7683,6,42,1,2,714,0,no_claim,married,no_damage,250,50000,1,agent
203,0,0,0,1,1,0,1,1,0,1,6,5,0,61610,4,23,15,4,664,0,no_claim,single,potential_damage,100,350000,0,website
204,0,0,0,0,1,0,0,2,0,2,5,2,0,91836,5,37,8,0,627,0,no_claim,single,no_damage,250,300000,3,affinity
205,0,0,0,1,0,0,3,1,0,2,5,3,0,10304,4,19,13,1,745,0,no_claim,single,salvage,250,300000,0,website
206,0,1,0,0,0,1,2,1,0,2,1,2,0,30492,20,22,2,0,651,0,no_claim,married,severe_damage,250,100000,0,website
