account_id,event_indicator,gender,ever_missed_obligation,at_current_job_1_year,smoker,uses_direct_deposit,business_owner,homeowner,num_dependents,years_at_residence,age,debt_to_income,num_transactions,credit_history_mos,credit_score,amount,net_worth,id_important_activity,id_direct_contact,id_current_fs_relationship,job_in_education,job_in_energy,job_in_media,job_in_transport,job_in_hospitality,job_in_healthcare,job_in_manufacturing,job_in_financial,citizenship_us,citizenship_latam,citizenship_eu,citizenship_middle_east,citizenship_africa,citizenship_india,citizenship_china,citizenship_other,region_ca,region_ny,region_fl,region_tx,region_ne,region_so,region_mw,region_we,marital_status_single,marital_status_married,marital_status_divorced,analytic_partition
14,0,0,1,0,0,0,1,1,3,-0.430962773,1.0845083526,0.1730233691,-0.650430175,0.0255770956,-0.951531461,-0.659851104,0.1783569374,false,false,true,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
15,0,1,1,0,0,0,1,1,3,-0.129769532,0.167723573,0.2467113074,0.3075135245,0.8497254971,0.4326875569,2.1090080676,4.210019767,false,false,false,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
16,0,0,0,1,1,0,1,0,3,-0.430962773,0.1022389459,0.6888389376,-0.277896514,0.0740564133,1.3242184495,0.6014313419,-0.436855912,false,false,true,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
17,0,1,0,1,0,0,0,0,3,-0.430962773,-0.749061207,-0.453324107,1.7444290743,0.6073289084,-0.740379407,-0.702681726,3.0968990576,false,false,false,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
18,0,0,0,0,1,1,0,1,0,-0.430962773,-0.159699563,-0.121728384,0.3075135245,-0.847050624,0.1159594766,-0.479171705,-0.626484458,false,false,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2
19,0,0,0,1,0,0,1,0,5,-0.430962773,-0.356153444,0.0624914615,0.1478562412,0.5588495907,0.9019143425,1.6788304663,-0.883492029,false,false,false,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
20,0,0,0,1,0,0,1,0,4,-0.430962773,0.2332082001,-0.821763799,0.2010753356,0.510370273,1.3476797888,0.5534744436,0.991741621,false,false,true,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2
21,0,1,1,1,0,0,1,0,3,-0.430962773,-0.22518419,0.6519949684,1.0525808466,0.1225357311,-1.068838157,-0.579388953,1.3520917331,true,false,false,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
22,0,0,1,1,0,1,1,0,6,-0.430962773,1.6083853695,-0.048040446,1.584771791,0.510370273,0.8080689854,0.7553579854,1.6498150997,false,false,false,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2
23,0,1,1,0,1,0,0,1,1,0.3220203284,-1.272938224,1.5362502288,2.0105245465,0.6558082262,-0.998454139,1.55858142,0.4800335273,false,false,false,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
24,0,0,1,1,1,1,0,1,3,-0.430962773,0.0367543188,-1.632331121,1.8508672632,-0.168340175,-0.142115255,1.4980928147,2.0588235016,false,false,true,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
25,0,1,1,1,1,0,1,0,5,-0.430962773,-0.159699563,-0.895451737,0.5736089967,1.0921220858,0.5148022444,-0.550539085,-0.693533046,false,false,false,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
26,0,0,0,1,1,0,0,0,3,0.0208270878,-1.207453596,-0.048040446,1.4251145077,1.1406014036,1.2538344317,0.8569660266,-0.792291531,false,false,false,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
27,0,1,1,1,1,0,0,0,3,-0.280366153,-1.272938224,0.2835552766,1.4783336021,1.0436427681,0.2215355034,2.435291192,-0.643426843,false,false,true,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2
28,0,1,1,1,0,0,1,1,3,-0.430962773,0.0367543188,-0.711231891,-1.342278403,0.6558082262,0.8667223336,2.2316163661,-0.282872461,false,false,true,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2
29,0,0,1,0,0,0,1,1,2,-0.430962773,-0.159699563,-1.116515552,0.1478562412,-1.428802437,0.5148022444,-0.530762143,0.9379285205,false,false,true,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2
30,0,0,0,1,0,0,1,1,5,-0.430962773,-0.22518419,0.6888389376,-0.597211081,-0.653133353,0.5851862622,1.9607683871,4.6341381328,false,false,false,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
31,0,0,0,1,1,0,1,0,2,-0.129769532,1.8048392509,-0.121728384,0.2542944301,0.4618909552,-0.165576595,0.6334778511,0.5329153974,false,false,true,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2
32,0,0,1,1,0,0,1,0,5,-0.430962773,-0.22518419,-0.416480138,1.0525808466,-0.168340175,-0.271152621,0.8991777089,-0.200731933,false,false,false,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
33,0,1,0,0,0,0,0,0,6,-0.430962773,-1.141968969,1.2783424446,1.584771791,0.7527668617,0.3153808605,-0.562328064,0.1893394481,false,false,false,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2
34,0,0,1,0,0,1,0,0,1,-0.430962773,-1.403907478,-0.3427922,-1.129402025,-0.119860858,0.8784530032,-0.755051299,0.4854466794,true,false,false,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
35,0,1,1,0,1,0,1,0,2,1.3761966705,-0.749061207,0.0624914615,0.2542944301,0.316453002,0.9605676907,-0.505793391,-0.354216725,false,false,false,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
36,0,1,0,1,0,0,1,1,2,-0.430962773,0.3641774543,-0.158572354,1.7976481688,-1.234885166,0.2098048338,-0.644100911,-0.886556078,false,false,false,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
37,0,1,0,0,0,0,1,0,6,-0.430962773,-0.814545834,-0.416480138,1.0525808466,0.8497254971,1.406333137,-0.676962964,-0.906129939,false,true,false,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
38,0,0,0,1,0,0,0,0,1,-0.430962773,-1.010999715,0.1361793999,0.6268280911,0.9951634503,0.4326875569,0.5716494236,1.1114557932,false,false,false,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
39,0,0,0,1,1,0,0,0,0,0.9244068096,0.757085217,1.2783424446,0.2542944301,-0.459216082,-0.095192577,2.1675015028,1.1644277823,false,false,false,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
40,0,0,1,1,1,0,1,0,6,-0.430962773,0.0367543188,-0.711231891,-1.129402025,-0.022902222,-1.362104898,-0.637307138,1.6367478346,false,false,false,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
41,0,0,0,0,0,1,0,1,7,-0.430962773,0.8880544713,-1.263891429,1.7976481688,0.8982048149,0.9722983603,-0.698975369,2.0568649138,false,false,true,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
42,0,0,1,1,0,0,1,0,1,-0.430962773,-0.22518419,-0.527012045,-0.543991986,0.7527668617,1.1717197442,-0.749874051,0.5302058173,true,false,true,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
43,0,0,0,0,1,1,1,0,1,-0.430962773,-1.534876732,0.6151509993,-1.501935686,0.6073289084,0.5148022444,-0.542638502,-0.329590187,false,false,true,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
44,0,0,1,1,0,0,0,1,2,-0.430962773,-0.094214935,0.8730587835,0.2010753356,0.316453002,0.9136450121,1.8649055619,-0.899274882,false,false,false,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
45,0,1,1,1,1,0,1,0,4,-0.129769532,-0.094214935,-0.011196477,-0.171458325,0.1710150488,-0.024808559,-0.725014523,-0.865882763,false,false,true,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
46,0,0,1,0,1,1,0,0,4,-0.430962773,-0.159699563,-0.895451737,0.1478562412,0.0255770956,0.2801888516,-0.521609118,-0.616739583,false,false,true,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
47,0,1,1,1,1,0,1,1,6,-0.430962773,-0.028730308,1.0572786295,0.360732619,0.2679736843,-0.224229943,-0.547830313,0.5394219942,false,true,false,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
48,0,0,0,0,1,0,1,1,4,-0.430962773,-0.814545834,-0.527012045,1.6912099799,-1.719678343,0.9605676907,-0.769002927,0.668574637,false,false,false,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
49,0,0,1,1,0,0,0,1,5,-0.430962773,-0.356153444,0.9467467219,0.2542944301,0.8012461794,1.0426823782,1.4467281076,-0.472807413,false,false,true,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2
50,0,1,1,1,0,0,1,0,2,-0.430962773,1.1499929797,-0.821763799,-1.66159297,0.5588495907,-0.693456729,-0.542172477,1.1631300677,false,false,true,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
51,0,1,0,1,0,1,0,0,7,0.1714237081,-0.68357658,0.0624914615,0.360732619,-0.265298811,-0.96326213,-0.807493689,4.1953363666,false,false,false,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
52,0,1,1,0,0,1,1,1,3,-0.430962773,1.5429007424,-1.042827614,-0.437553798,0.2679736843,0.7494156372,0.1356246633,-0.147441523,false,false,false,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
53,0,0,1,1,0,0,0,0,1,0.3220203284,-0.487122698,-1.411267306,0.5736089967,0.6073289084,0.5851862622,-0.645600929,2.2155105241,false,false,false,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
54,0,1,1,1,0,1,1,0,5,-0.430962773,1.5429007424,0.2098673382,0.5203899023,-0.459216082,0.2449968427,0.3426126365,-0.396752926,false,false,true,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
55,0,0,1,1,0,0,1,1,4,-0.430962773,0.2332082001,-0.269104261,0.2010753356,0.3649323198,-0.095192577,1.8054363866,1.2438647383,true,false,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2
56,0,0,1,0,0,0,1,1,2,0.1714237081,-1.076484342,-1.22704746,0.2010753356,0.2679736843,0.268458182,1.6594321703,0.3798271297,false,false,true,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
57,0,0,0,1,1,1,0,1,3,-0.430962773,-1.207453596,-1.374423337,-0.543991986,-1.962074932,0.9722983603,-0.499786035,-0.836407819,false,false,true,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
58,0,1,1,1,0,0,1,1,0,3.6351459751,-0.945515088,-1.816550967,0.6268280911,0.7042875439,0.268458182,-0.641450393,0.325455291,false,false,false,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
59,0,1,0,1,0,1,0,1,3,-0.430962773,0.167723573,1.167810537,0.5203899023,0.8497254971,0.8784530032,-0.018039841,1.6633990475,false,false,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2
60,0,1,1,1,0,0,0,1,7,-0.430962773,1.1499929797,-1.042827614,2.063743641,-1.186405848,0.5499942533,2.2746945639,-0.714380591,false,false,true,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
61,0,1,1,0,0,0,1,0,1,0.4726169487,0.3641774543,1.4257183213,-0.22467742,0.0740564133,0.0690367981,-0.605275192,0.3600610137,false,false,false,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2
62,0,0,0,1,0,0,1,1,2,-0.430962773,0.5606313357,1.5362502288,0.0946371468,0.510370273,0.5969169319,-0.735980677,1.7249744039,false,false,false,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2
63,0,0,1,1,0,0,0,1,4,-0.430962773,-0.421638071,-0.600699984,-0.22467742,-0.168340175,0.3857648783,-0.68160137,0.4051626042,false,false,false,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2
64,0,0,1,0,0,0,1,0,5,-0.430962773,1.6083853695,-1.816550967,-0.171458325,1.0921220858,-0.822494095,-0.704392912,1.1706159585,false,false,false,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
65,0,1,1,0,1,0,1,1,3,-0.430962773,-0.749061207,0.2098673382,0.8929235633,-2.883181969,0.9957596996,-0.794008087,-0.491179687,true,false,false,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
66,0,1,1,1,0,0,1,1,4,-0.129769532,-0.68357658,-0.269104261,1.5315526966,0.3649323198,0.8784530032,0.8012760238,4.0825493468,false,false,false,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
67,0,1,0,1,0,0,1,0,3,-0.430962773,-1.403907478,-0.600699984,0.5736089967,0.7527668617,0.4326875569,2.0936146751,0.567635271,false,false,false,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
68,0,1,0,0,1,0,0,1,1,-0.280366153,-1.338422851,0.6519949684,0.0946371468,1.0921220858,0.7611463068,-0.222821477,-0.957690063,false,false,false,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
69,0,1,1,1,0,1,1,1,1,-0.430962773,-0.552607325,-1.558643183,-1.129402025,0.4134116375,-0.224229943,0.1757173876,4.2714269011,false,false,false,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
70,0,1,0,0,0,0,0,0,7,-0.430962773,1.280962234,-0.527012045,0.1478562412,-0.459216082,0.0338447892,0.1816082364,0.532663064,false,false,false,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
71,0,0,0,1,0,1,0,0,0,-0.129769532,-0.880030461,0.2467113074,0.3075135245,0.7042875439,0.7259542979,-0.806051924,-0.736688065,true,false,false,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
72,0,1,0,0,0,0,1,1,6,-0.430962773,-0.749061207,0.0993354307,0.2010753356,0.4134116375,0.3271115301,-0.256382567,0.8230327145,false,false,true,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
73,0,0,0,1,0,0,1,0,2,0.7738101893,1.0845083526,1.2414984754,0.2010753356,-0.07138154,0.2449968427,-0.364806226,0.7848582766,false,false,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2
74,0,0,0,1,0,0,0,0,4,-0.430962773,-0.22518419,-1.411267306,0.2542944301,0.2679736843,-1.983830389,1.8018101286,-0.13326279,false,false,true,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
75,0,1,0,1,1,1,1,0,0,-0.430962773,-0.356153444,-0.3427922,0.4139517134,-0.556174717,-0.681726059,-0.739832666,0.6734470747,false,false,true,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
76,0,0,0,1,1,0,1,0,5,0.4726169487,1.9358085051,-1.595487152,0.6268280911,0.6558082262,0.233266173,-0.55087404,-0.250838136,false,false,false,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
77,0,1,0,1,0,0,1,0,1,-0.430962773,-0.356153444,1.3888743521,0.6268280911,1.1406014036,0.5851862622,1.3788049452,-0.560679514,false,false,false,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
78,0,0,1,1,0,0,0,1,7,-0.430962773,0.4951467086,0.1730233691,-1.395497497,0.8497254971,-0.810763425,-0.137538878,2.6048729688,false,false,false,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
79,0,1,0,1,0,0,1,0,2,-0.430962773,1.7393546238,-0.048040446,0.360732619,0.9466841326,0.7846076461,-0.230183217,-0.007348426,false,false,false,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
80,0,1,0,1,0,0,1,0,4,-0.430962773,-1.272938224,-0.011196477,0.6268280911,1.0436427681,0.819799655,0.9107919288,-0.852845538,false,false,false,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
81,0,0,0,1,0,1,1,0,3,-0.430962773,2.0667777594,-0.563856015,0.0414180523,0.510370273,0.7142236283,-0.582898704,-0.436369269,false,false,false,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2
82,0,1,1,1,0,0,1,0,5,3.7857425954,-1.403907478,0.7993708452,0.360732619,0.4618909552,-0.118653916,-0.55153667,0.3131209943,false,true,false,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
83,0,0,0,0,0,0,1,1,2,0.0208270878,0.3641774543,1.6467821364,-0.065020137,0.4618909552,-0.9749928,2.2247861853,-0.469460991,false,false,false,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
84,0,0,0,1,0,0,0,1,4,-0.430962773,-0.356153444,0.1361793999,-1.289059309,0.510370273,-0.189037934,0.0942503699,-0.188499772,false,false,false,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
85,0,0,1,0,1,0,1,0,2,-0.430962773,0.9535390984,-1.521799213,-1.129402025,-0.604654035,0.2567275123,2.4093466993,1.1417237847,false,false,false,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
86,0,1,1,1,1,1,1,1,2,-0.430962773,-0.22518419,0.6519949684,0.73326628,0.1225357311,0.9136450121,0.5799869044,-0.86134677,false,false,false,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2
87,0,0,0,1,0,0,0,0,1,-0.430962773,-0.749061207,-0.232260292,1.7444290743,-2.059033567,0.0573061284,2.5085954883,-0.293854972,false,false,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2
88,0,0,0,0,0,1,1,0,1,-0.430962773,0.2986928272,0.6151509993,0.73326628,0.9466841326,0.8080689854,-0.806998538,-0.087674556,false,false,true,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
89,0,1,1,1,0,0,1,1,5,-0.129769532,-0.421638071,-1.742863028,0.73326628,0.7527668617,-0.224229943,-0.363917866,1.5527328299,false,false,false,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
90,0,0,0,0,0,1,0,1,5,-0.430962773,1.8048392509,0.9099027527,-0.118239231,0.4134116375,0.9605676907,-0.831493984,-0.839441828,true,false,false,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
91,0,0,1,1,0,0,1,0,4,-0.430962773,-0.356153444,-0.674387922,-0.065020137,0.4134116375,0.4209568873,0.4973548239,0.4789100429,false,false,false,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
92,0,1,1,0,1,0,1,0,0,-0.430962773,-0.290668817,-1.22704746,0.6800471856,0.4134116375,-0.96326213,2.6667891743,-0.003142869,false,false,true,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
93,0,0,0,1,0,0,0,1,1,3.7857425954,0.0367543188,-0.711231891,-1.874469347,-0.265298811,1.2538344317,-0.622765698,-0.116777008,false,false,true,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2
94,0,0,1,0,0,0,1,1,1,1.2256000502,-0.290668817,-1.632331121,0.2010753356,0.316453002,-0.036539229,2.4443131472,0.3202464087,false,false,false,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
95,0,0,0,1,0,0,1,0,0,-0.430962773,-0.159699563,-1.263891429,-1.289059309,-3.222537193,-1.057107487,-0.428047292,-0.736844271,false,false,true,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
96,0,0,1,1,0,0,1,1,1,-0.430962773,-1.076484342,0.1730233691,-0.70364927,-0.70161267,0.0103834499,-0.785095357,0.0366717361,false,false,true,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2
97,0,0,0,1,1,0,0,1,1,0.4726169487,1.7393546238,-0.637543953,-1.821250253,0.8497254971,0.1394208159,-0.585126887,1.0015886313,false,false,true,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
