"MaxDifferences.Metric","MaxDifferences.MetricLabel","MaxDifferences.Value","MaxDifferences.Base","MaxDifferences.Compare","bias_var"
"MISCEVENTKS","Event Misclassification Rate at Maximum KS","0.0215569263","           0","           1","job_in_education"
"MCE","Misclassification Rate","0.0132791736","           0","           1","job_in_education"
"ASE","Average Squared Error","0.0077034545","           0","           1","job_in_education"
"RASE","Root Average Squared Error"," 0.022311528","           0","           1","job_in_education"
"MCLL","Multi-Class Log Loss","0.0142436524","           0","           1","job_in_education"
"maxKS","Best Kolmogorov-Smirnov Along ROC","0.0125481364","           1","           0","job_in_education"
"cutoffKS","Kolmogorov-Smirnov at Cutoff","0.0337357065","           1","           0","job_in_education"
"GAIN","Gain","2.9131023193","           1","           0","job_in_education"
"LIFT","Lift","2.9131023193","           1","           0","job_in_education"
"RESP","% Captured Response","14.565511597","           1","           0","job_in_education"
"CUMRESP","Cumulative % Captured Response","29.131023193","           1","           0","job_in_education"
"CUMLIFT","Cumulative Lift","2.9131023193","           1","           0","job_in_education"
"PREDICTED_EVENT","Average Prediction for Event","0.5405194138","           0","           1","job_in_education"
"INTO_EVENT","Proportion Into Event Level","0.5532470789","           0","           1","job_in_education"
"P_event_indicator0","Average P_event_indicator0","0.2775080545","           1","           0","job_in_hospitality"
"P_event_indicator1","Average P_event_indicator1","0.2775080545","           0","           1","job_in_hospitality"
"TPR","True Positive Rate","0.0255460822","           1","           0","job_in_hospitality"
"FPR","False Positive Rate","0.1980191087","           1","           0","job_in_hospitality"
"TNR","True Negative Rate","0.1980191087","           0","           1","job_in_hospitality"
"FNR","False Negative Rate","0.0255460822","           0","           1","job_in_hospitality"
"FDR","False Discovery Rate","0.0169000575","           0","           1","job_in_hospitality"
"ACC","Accuracy","0.0204527173","           1","           0","job_in_hospitality"
"P_event_indicator0","Average P_event_indicator0","0.2608617321","           1","           0","gender"
"P_event_indicator1","Average P_event_indicator1","0.2608617321","           0","           1","gender"
"TPR","True Positive Rate","0.0221152282","           1","           0","gender"
"FPR","False Positive Rate","0.1143410853","           1","           0","gender"
"TNR","True Negative Rate","0.1143410853","           0","           1","gender"
"FNR","False Negative Rate","0.0221152282","           0","           1","gender"
"FDR","False Discovery Rate","0.0126574864","           0","           1","gender"
"ACC","Accuracy","0.0104854922","           1","           0","gender"
"C","Area Under ROC","0.0106637012","           0","           1","gender"
"F1","F1 Score","0.0173856328","           1","           0","gender"
"GINI","Gini Coefficient","0.0213274025","           0","           1","gender"
"MISCEVENT","Event Misclassification Rate at Cutoff","0.0104854922","           0","           1","gender"
"MISCEVENTKS","Event Misclassification Rate at Maximum KS","0.0175535904","           1","           0","gender"
"MCE","Misclassification Rate","0.0104854922","           0","           1","gender"
"ASE","Average Squared Error","0.0077031605","           0","           1","gender"
"RASE","Root Average Squared Error","0.0218702886","           0","           1","gender"
"MCLL","Multi-Class Log Loss","0.0263859452","           0","           1","gender"
"maxKS","Best Kolmogorov-Smirnov Along ROC","0.0231321666","           0","           1","gender"
